,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A37IRE9GZ0CZ7I,B000052WYN,Aliza M. Beer Books & Belongings By Beverly ...,"[0, 1]","This eyeliner was completely useless. It felt like the inside of the bottle was dried out or the liner was just so light and useless that you couldn't even see it. Also, the brush sucks. Overall, terrible.",1,Awful,1369785600,"05 29, 2013",-0.3643
1,A2UFXLVH3I78Y4,B000052WYN,Amazon Customer,"[0, 0]","I heard that this eyeliner had super staying power, and it was super cheap, so I decided to give it a try.This stuff is awful. It smells bad, and the brush is kind of gloppy. I've been wearing eyeliner for years (gel is my preference), but this stuff was awful especially once it dried. It dried into this plastic strip on my eye, and it just felt awful.",2,Feels like plastic,1403222400,"06 20, 2014",-0.2283
2,A2569HQNP3JZUZ,B000052WYN,Amazon Frequent Flyer,"[0, 0]","I get the brown and it always gives me the perfect soft, natural liner. Unlike powders, it gives the definition to make the eyelashes stand out. The liquid blends well with the eyelashes, but dries really fast. It never flakes unlike other liquids. The brush is exceptional; thin for a good line but large enough to control and leave a mark. You do not need another brush.",5,A favorite for years,1389657600,"01 14, 2014",0.1735
3,AULEC463O7J5P,B000052WYN,anakonda,"[0, 0]","The brown is rather light. Maybe good for blondes, and in the day time.For the night time, it does not show much.I do not know about being waterproof... It seems to come off very easily, or maybe I have oily eye lids...",3,It is okay. Nothing special,1398556800,"04 27, 2014",0.2803
4,A0864963DOAY7LXGS5I6,B000052WYN,Andrea,"[0, 0]","I use nothing but this eyeliner. It stays on all day. you can apply light or thick. I like a dramatic yet natural look, and this works perfectly.",5,my favorite,1394755200,"03 14, 2014",0.212
5,A240W3C2Z3WQCQ,B000052WYN,Anne K. Blake Rootsgal,"[0, 0]","This stays on during those humid summers and I actually snorkeled in the Caribbean, (with goggles) and it stayed on perfectly.Is there anything more to say?The price is amazing and the product does what it is suppose to. No more raccoon eyes, ever!",5,I snorkeled with this eye liner,1367971200,"05 8, 2013",0.1132
6,A2JEGR5ASS6OE3,B000052WYN,Baby girl,"[0, 0]","I tried this because honestly it wasn't that expensive, but I found the brush applicator to be a DISASTER to apply, it went all over my eye except where I was aiming it to go, not good!!!! its like a long thin nail polish brush tip at the end, I had no control over the brush because of that! this is a disaster in a bottle for me",1,junk,1403222400,"06 20, 2014",-0.4581
7,A3GD191LATGLP6,B000052WYN,crystal,"[0, 0]","This was the first waterproof liquid eyeliner that I used. When I first started using it, I loved it. However, I had nothing to compare it to. Since, I've used different drug store brands of liquid eyeliner and this one sort of fails in comparison. Don't get me wrong, it isn't horrible, but there are others out there that are better. It is waterproof, but it isn't air proof. It dries, cracks an then flakes off throughout the day. As it dries, it feels as if it tightens and shrinks (which causes the cracking). While it does this, IT ITCHES SOMETHING FIERCE! After a while, the brush starts to get weird and application gets messy. I wouldn't recommend it.",3,It's just so-so,1364774400,"04 1, 2013",0.0106
8,A1NB86VZRY4WO1,B000052WYN,Debra,"[0, 0]","I'm not really sure what every ones problem of complaining about the brush unless you have no hands or parkinsons and can't hold your hand steady its virtually impossible to get this all over your eye. The brush is far shorter than most liquid eyeliner brushes and only one coat is needed. I haven't even used liquid liner in twelve years until the last week and first try made a very even and precise line. I bought this for the waterproof factor and since it is the first liquid eyeliner i ever owned 13 years ago. I also bought e.l.f. brand because it was incredibly cheap. For $8.99 at CVS you get 0.25 oz of product compared to almays 0.10 oz for $8.49 (not waterproof), CGs 0.08 oz at $8.99 (not waterproof), L'oreals 0.08 at $9.99 (not waterproof) and e.l.f.s 0.10 for $3.49-$7.99 (not waterproof). For a bargain shopper or even as a spare for those who don't mind shelling out their life savings got one tenth of an ounce of eyeliner, i would highly recommend this product. For those who have no hand eye coordination or can't draw a straight line to save their life I'd suggest not buying eye liner at all since you guys always blame the product instead of your own inability to properly apply the product. http://instagram.com/p/qE7J5sQ8PP/ a picture comparing the two products.",5,Not As Bad As These Reviews Will Have You Believe,1404518400,"07 5, 2014",-0.0939
9,A6UADTLMGWMPX,B000052WYN,D,"[0, 0]","I would not buy this liquid liner again. I do like that it is waterproof, but I do not like that I have to apply, and reapply it several times before I can get it right. I am used to being able to use an eye liner brush to smudge, and blend, or correct the line on my upper lid, and you can not do this with this eye liner. If you do not like how you applied the line, it will flake off, yes, peel, and flake off, and you will need to start again. But, once you get it how you want, it does stay. I would not buy this liquid liner again though.",3,Would not buy again,1366848000,"04 25, 2013",0.006
