,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A20F84KUBWM88B,B000052YP6,Amazon Customer sports girl,"[0, 0]",2 mins after putting this on my hands no longer feel greasy nor rough. It leaves them soft thought a couple hand washings as well. A little goes a long way with this so dont be freaked when you get it and it looks like jelly coming out the tube!,5,Love this!,1329696000,"02 20, 2012",0.3192
1,A15PL3C9OFSM1B,B000052YP6,Andy Ko,"[0, 0]",My hands are extremely dry during the winter time. These hand creams do provide plenty of moisture but more like a thin coating on applied areas. I like these hand creams because they are not so oily and it is absorbed fast.,4,These hand creams are quite effective!,1340496000,"06 24, 2012",0.4634
2,AA1JJNJ5VYI97,B000052YP6,Angel,"[0, 0]","Being a CNA keeping my hands from cracking & bleeding is a full time chore. The gloves dry my hands out & washing them so much during the day really does mess up my skin badly. I've tried other lotions, creams, gels, everything I can think of & nothing has worked. After reading the reviews on this hand cream I thought maybe it would be worth a try & if it didn't work, then there wasn't a real loss because the price is so good.My hands are cracking, bleeding & they hurt so bad. I can't even get rid of one cut before there's another on my fingers or top of my hand.I've started using this cream & immediately it softened the cuts that are already healing & soothed the skin around them. My hands are smoother, softer & the cream absorbed quickly without a greasy after feel.Even after washing my hands it didn't feel like I had to put on more cream right away, my skin wasn't so dry that it was about to crack like it normally does.This really does take just a little bit at a time & leaves my skin smooth. I'm going to try it on my feet too.I have ordered a couple more so I can have one in the car & another at home. Plus I'm going to give this away as a gift to someone else who suffers from cracking, bleeding hands. I'm so glad to have ordered this stuff. If you have dry skin, consider giving this a try.",5,amazing product,1358208000,"01 15, 2013",-0.0373
3,A3097C7XGQ5590,B000052YP6,Anna Pighinelli,"[0, 0]","If you have really, really dry hands, you should use this product. It is awesome! I prefer the one with fragrance but this one was in a good price, so I bought two units.",5,Very good to really dry hands,1389484800,"01 12, 2014",0.4172
4,A2845TGPT68JFR,B000052YP6,auntiepatri pat,"[0, 0]","this product it great when first applied it feels wet ,but soaks in so quickly,best ever the itchy dry hands and red cracks are going away.",5,neutrogena hand cream,1324425600,"12 21, 2011",-0.0258
5,A1V01M06HMMIFE,B000052YP6,BABY BOY MOMMA,"[0, 0]",After having my baby I developed a rash on my hands from overwashing and extremely dry skin. I visited a dermatologist who prescribed me a steroid cream to get rid of the rash and samples of this hand cream. He insisted I use this every time I wash my hands to keep them moisturized so I would not have another rash breakout. I have been using this for over a year now and do not have dry chapped skin. I still wash my hands about 20 times a day so this is a life saver!,5,Best hand cream for a new mom,1229904000,"12 22, 2008",0.0337
6,AK7CAW3N1XZV6,B000052YP6,Beth Cholette doctor_beth,"[0, 3]","I bought this product after seeing it recommended inReal Simple (1-year auto-renewal). I don't have a huge problem with dry hands, but my cuticles can become so dry that they start to flake and peel, so I try to remember to moisturize my hands for this reason.This product does perform as advertised. It is an extremely thick cream, and you really only need to use a tiny dab. The cream is quite emollient, and I believe that most people will see dryness relief from use of this product. However, several major downsides prevent me from using this product regularly. First, it is VERY greasy. I have found that it does NOT absorb into my skin, so after using it, I can't touch anything with my hands! This is unfortunate, as it generally limits my use of the product to before bed. The second concern is somewhat related--I absolute HATE the screw cap! This may sound insubstantial, but when your hands are greasy, it becomes near-impossible to try to screw the cap back on; most other hand creams that I have tried have a flip-top cap.Because of the above concerns, I will not be re-purchasing this product. Instead, an alternate product that I've tried recently and really like isMary Kay Satin Hands Hand Cream,3 oz. net wt.--this product is moisturizing, absorbs well, AND has a flip-top cap, so I would highly recommend it.",3,"Moisturizing, but too greasy for regular use",1303171200,"04 19, 2011",0.1025
7,A1GTSEGAXWRSO8,B000052YP6,BH FrommyhearttoyoursDEARHEART,"[0, 0]","Hands down this is the most amazing Lotion Cream I have ever used! Softens even the roughest skin I recommend it highly! I have tried literally 100 mof lotions for dry skin this goes a long way not to much, if you have any rough areas buy it, you will never be sorry you bought 4.",5,AMAZING Cream Lotion,1303776000,"04 26, 2011",0.3784
8,ABJE308V7RDTN,B000052YP6,Donna Manning,"[0, 0]","I love this lotion- it stays on through a hand washing and it sinks in well. However they changed the lid on it recently to a screw on lid (used to be a flip top) and I dinged it a star for that. The new lid is VERY cumbersome (big lid, tiny hole to match up to the screw thingy). I am always dropping them on the floor!Anyway the lotion is great if you are constantly washing your hands!",4,Love the lotion,1313798400,"08 20, 2011",0.3871
9,A276J2HHONW9DS,B000052YP6,D. Staten Amanda,"[0, 0]","Just as it states on the tube, you'll get need a dab. My hands go from dry and stiff to moist, smooth, and gorgeous. This is a get stocking stuffer.",5,Soft and Smooth,1386720000,"12 11, 2013",0.2041
10,AJ7O8R3PJRS8C,B000052YP6,D SUB D SUB,"[0, 0]",My knuckles get extremely dry and cracked during winter months. I have tried numerous types of lotions (OTC and medical samples). This stuff is cheap and excellent! I use it nightly and it gets the job done.,5,Great for winter,1355529600,"12 15, 2012",0.1529
11,ANP2HRJGC0Z43,B000052YP6,Elisia Schrauth,"[0, 0]",This has been my favorite hand moisturizing cream. I just use a small amount every night and my hands are always so soft when I wake up in the morning. It is a thicker cream so it feels better than a watery lotion. I definitely recommend!,5,"Great hand moisturizer, I use this every day!",1384473600,"11 15, 2013",0.4731
12,A3HC4071HNLGLZ,B000052YP6,ERDoc,"[0, 0]",I wash my hands a lot and as a result they show it - this cream is the best by far in healing my dry cracked skin and cuticles.,5,Best hand cream,1387584000,"12 21, 2013",0.6369
13,A16PXQTJ20GO75,B000052YP6,Erica Chica,"[0, 0]",This is a great product but it is not what I would call a hand &#34;cream.&#34; The formula is a yellowish almost clear oil/petroleum-like based formula. It does absorb into the skin but not completely.I would not use this during the day to avoid leaving greasy prints on things. This is a great product to use at night because it does absorb somewhat into hands and the residue creates a &#34;mask&#34; soaking completely into the skin after a few hours. It leaves hands very soft and well moisturized; perfect for night treatments.If you have severely chapped dry hands this is a great product because it will not cause a burning sensation that most hand lotions will. The formula is extremely gentle and would work on most cases of dry cracked skin.,4,More of a Hand Petroleum Jelly Than Cream Lotion,1402272000,"06 9, 2014",0.5136
14,AVLWQ2JE5XFOP,B000052YP6,Excel Travelers,"[0, 0]",I like the Neutrogena hand cream because the consistency is slightly different from a regular body lotion. It seems to last a bit longer. The size of these is convenient as well.,4,Different,1369526400,"05 26, 2013",0.3213
15,A3AAA7TWTRCXDC,B000052YP6,FCZ,"[0, 0]",The original Norwegian Formula hand cream rivals the original European Nivea cream. This was a perfect winter hand cream that wasn't as turbo-greasy as Aquaphor but rich enough for chronically dry/cracked hands.,5,A hand cream to love,1372723200,"07 2, 2013",0.816
16,A1V8SFQ2KF3H2H,B000052YP6,Jasmine,"[0, 0]",This stuff is great! It keeps your hands hydrated and a bottle is so small but will last forever! You really just need a dab and your hands will be silky smooth. Perfect for the winter!,5,Great!,1391472000,"02 4, 2014",0.3175
17,A3VU2J7G0U35AU,B000052YP6,Jaybird,"[0, 0]","This creme is super heavy duty, but tends to disappear as it soaks in. Great for hands and feet. Being in Arizona, I am always having to apply some kind of creme to my heels and hands to combat dryness. I've run through about a dozen, high-end and low-end, but nothing works quite like the Norwegian Formula. Must be all the glycerin?I wouldn't use it on my face, obviously, but anywhere you have itchy, cracked or super dry skin, go for it.",5,"Great for Instant Relief, and Long-Term Relief as Well",1361750400,"02 25, 2013",0.0851
18,A2XIN3RG37AX9V,B000052YP6,Jenn Romano,"[0, 0]","First of all, thank you to all the other reviewers who persuaded me to give the Norwegian Formula Hand Cream a try! I can't remember the last time my hands were this soft... if ever.It took a little less than 7 days of regular use to smooth my rough, winter skin and now my hands are soft all the time and that includes after washing dishes. There is no scent so the men in the household also did not mind giving it a try. I would recommend this product to anyone who suffers from chronically dry, rough hands and probably will never buy another brand of hand cream again.",5,Excellent choice for very dry skin,1352332800,"11 8, 2012",0.1499
