,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A31ICLWQ9CSHRS,1617160377,Al Swanson,"[0, 0]","If you really need to learn a new language, and learn it fast, Rosetta Stone is the way. I've taken college/high school and even junior high classes and learned. I took a Berlitz course and learned. But by far, the fastest way to a new language - and outside of taking one as a kid in public school - the cheapest way, too, is Rosetta Stone.No, I don't work for them or even get to date that spokeswoman in the tight blue dress. But I do love learning languages and I really like RS. Lots of options to learn so you won't get bored. Very little of the repeat-after-me stuff from normal classes. And actual fun lessons. Plus iphone apps and internet based learning. They have the bases covered.Ok, what I don't like - the complexity of the install with all the verifications and such. I understand the need to prevent software theft. It seems like, as usual, the legitimate purchasers end up paying the price ($ and install-wise) for the people that don't. Arg! I'm not sure how easy/hard it would be to install it on two machines or even how hard a reinstall would be should you need to move to a new computer, but I dread finding out!That little caveat aside - and it only pertains to installing the one time - this is a TERRIFIC product. It ain't cheap, but real learning seldom is. And the benefits to you are huge.",5,A real improvement over the last version!,1305936000,"05 21, 2011",0.1583
1,A3I1BJIFFM4S21,1617160377,Atomicwasteland,"[8, 8]","Never having studied Italian before, and never having used Rosetta Stone before, I was definitely excited to give it a go and find out what all the hype was about.I went through the whole lesson over the course of a couple of months, spending only about a day or two a week on it.In the end, I think it was a smart system, one that has specific advantages, but also marked disadvantages.POSITIVES:+++ IMMERSION TECHNIQUE -there is no English. you will only see pictures and hear Italian. This means you'll learn more effectively, as your brain is forced to make certain connections on its own. Additionally, when you see pictures, for example, of a male, the picture will be different each time: one time might be a young boy, and then it might be an old man, then a young man, and so on... and the first time you see the picture you might think it is a boy, but when the second picture pops up you realize that the word must mean something else, and you relate the two, and pick the commonality. Anyway, this is a hard example, and it is simpler than this, but the idea is that you see different pictures representing each word, each time.++ WELL DESIGNED/VARIED -there are multiple modules which are scattered throughout -listening & comprehension, reading, pronunciation, typing, and so on. It is impressive.++ GOOD REVIEWS -when I finished a section I was happy to find out that many of the concepts came back --not right away, but later when they weren't the freshest in my mind-- this meant I had to remember it, and basically memorized it through this recall. I thought Rosetta Stone did a great job bringing up concepts and reminding me of the concepts later on. I did not feel the need to review previous lessons...++ PAINLESS. This system is about as fun (can I say that?) and as painless as a computer aided language learning system can get.NEGATIVES:--- PRICE, PRICE, PRICE -for most people the $200 cost for a single lesson (less as you buy more modules) is really too high. Yes I know these things cost money, and I know they are better than other systems, but the pricing suggests that they are worried you won't like it, and you'll feel pressured to continue because you spent so much, OR, they are trying to convince you to pay only a few hundred more to get the whole set. I'd argue they'd be better off dropping the price in half for the first module, and then I'd recommend it more. (And give me some sort of discount if I buy lesson 2 separately. I am not going to buy multiple modules without buying the first one, and testing it out. $500 for the set is too much of a committment without giving it a shot first.)- READING EXERCISES ARE BUGGY SOMETIMES -I have spent 5 minutes (unsuccessfully) on several sections where I am supposed to say just one syllable, and the voice recognition system fails. I mean, I KNOW what I am hearing, I have studied 4 languages, have good pronunciation, and I can't for the life of me get the computer to believe I said PO (for example) instead of something unrecognizable. It was very frustrating, as I tried to enunciate it every way imaginable, with no luck. Yet, when It was a multi-syllabic word (with the same syllable) the computer had no problem.- NO DICTIONARY -yes, I know this isn't part of their system, but it would have been nice to have a dictionary so that I could learn some additional words on my own. (Sometimes you just don't want to wait to lesson 5 to learn numbers, for example...)But probably the biggest criticism is that this program is no substitute for classroom participation. (Yes, I know that there are some online modules that you can pay more for, but I wasn't interested in paying any more...)My wife was taking classroom Italian at the same time I was doing this system, and we would compare experiences. One thing I noticed is that the putting-sentences-together-on-my-own-and-saying-them part of Rosetta Stone, was one of the weaker sections. She, on the other hand, got many opportunities to practice. Mine was more about listening and comprehension.Overall, if classroom Italian really isn't an option for you, because you don't have the time or you just don't like classrooms, AND you have a lot of money to spend, then I'd say this is a good deal. (If I were forced to move overseas I would definitely invest in the system.)But, if you are a starving student, then you're better off looking for other books and CDs from the library before trying this system.Recommended, but with reservations.",4,"Nice system, but way too expensive.",1340150400,"06 20, 2012",0.0742
2,A216NSW58Q3SCJ,1617160377,ccincalif ccincalif,"[0, 0]","Although I haven't kept up with the lessons as I should have, I have learned a lot of Italian with only the first level. I spoke some dialect, but have conjugation issues! This is most assuredly the best program I've used to learn Italian. I have the older version too, and I like the new audio-visual matching; it's different from the older version and moves a lot faster.With this version, you can move at your own pace a lot easier, and see your mistakes sooner, which is helpful.Not only does this have visual learning, and learning by audio, but also by speaking, and comparing your pronunciation to that of a native speaker, which I think is the most helpful part of the software. The way the teaching of the language is set up, is I believe, the closest to learning it naturally with native speakers. I highly recommend this software...grazie!",5,Better than any other method/software I've tried.,1368403200,"05 13, 2013",0.3344
3,A25C2M3QF9G7OQ,1617160377,Comdet,"[1, 1]","I've always found learning a new language to be a huge challenge. Never was able to get past the bare basics in high school language classes (German) and, despite the fact that both my parents were born and raised in Italy, I've never been able to get much traction in Italian either.The Rosetta Stone software, however, is making a difference. No, I can't say that after using the software for a week that I'm fluent in Italian, but I am making progress. It's a very comfortable way to learn the language, especially since it's self-paced and offers tools (the headset/microphone) to help out with pronunciation, a particular stumbling block for me. Since I'm so slow at picking up a language (and self-conscious about it), I'm finding this type of robust, immersive self-study to be far more effective than classroom learning.A minor nit to pick -- I wish the headset quality was a bit better since it's such an important tool in the process. It's adequate, but given the price tag for the product, better sound quality and usage comfort would be welcomed.This is only Level 1 Italian, so the language skills taught are just the basics. Think of it as a way to get your feet wet with a new language. If you're serious about becoming fluent in Italian or looking for more than just the ability to try on a new language, then you'll want to get the advanced versions (unfortunately, at a much higher cost).It is a very fun way to learn a language. If you're willing to put in the time, it does produce results.",5,A good way to get your feet wet,1299888000,"03 12, 2011",0.4304
4,A2BN9DIBP9A0XG,1617160377,D. Vance,"[0, 0]","I was thrilled to get the Rosetta Stone and be able to begin a lifelong desire to speak Italian!The software was very easy to load and use. The simple approach to learning a language as a child does was one terrific idea!I agree with other posters that to become fluent you will need to purchase more than just this level 1 program. However, this does allow you to learn some simple things and I do feel you could communicate enough to get your idea across.And, it is FUN to do! I'm enjoying it immensely!",5,Great tool!,1329696000,"02 20, 2012",0.715
5,AY3D7DG5L5WCK,1617160377,Edward Walker ednpatty,"[0, 1]",I love Rosetta Stone it is easy to use in a few quick lessons you are speaking Italian. I like how the lessons are short and easy to finish.i like the pictures I can't wait to go to Italy.,5,Easy to use,1365120000,"04 5, 2013",0.7904
6,AOEDWQLH2WKKW,1617160377,E. J Tastad ejt,"[1, 1]","Install Machine:Intel iMac 3.06 GHz Intel Core 2 Duo, 4 GB DDR3 RAM, OS 10.6.6Install was smooth and easy. No hangups. It immediately asked if I wanted to update after I installed. It was about a 4 MB update and downloaded/installed quickly. Need admin privileges to install software. Total install time with level 1 language pack was maybe 20 minutes or less (there is a lot of data copied to the PC).Launching the software was straightforward and launching into the first lesson was easy. The only issue I had was getting the included microphone/headset to work right. It kept telling me to say 1, 2, 3, 4, 5 into the microphone, but it kept saying it couldn't configure the microphone. I finally made some random noise into the mic and it worked fine. In the lessons the mic worked fine.In the first lesson it was obvious what needed to be done. I was slightly disappointed that the headset headphones did not play the audio, and instead the computer speakers played the audio, so why do I need a headset for just the microphone? Oh well, no big deal, just different.I did the first lesson with my 5 year old son, and he enjoyed it a great deal too. He quickly picked up what he needed to do for each lesson, but as a downside many of the lessons show only four pictures, so you can just start clicking on boxes until you get it right (an issue for my son).One thing I appreciated is the first lesson had absolutely no English. It was only images and Italian words and speaking. This is a better way to learn to make the association of the foreign word to the object instead of translating it in your head through your native tongue first.Maybe being level 1 it is easier on me, but I found I could be pretty far off in pronunciation and it would still accept my spoken words. However, it is still nice to have some feedback if what your saying is close to correct, and this software provides that.I think this software is excellent, but the price of entry is high. However, how much would it cost to take a foreign language class? The textbook would probably cost at least 1/3rd what this software would cost. So given the high price, I still think this is a good buy if you are a good solo learner. Great for those who don't have time to take an instructor lead course.",5,Makes Learning a Breeze,1298505600,"02 24, 2011",0.2135
7,AN81JUYW2SL24,1617160377,Gearhead Mania,"[0, 0]","Rosetta Stone Italiano Level 1Rosetta Stone Italiano Level 1 is easy to install and use. The included instructions are simple and straightforward. Activation required 2 tries, but it appears the code is only valid for 3 months so I suspect online access may be terminated after 3 months but the software should still continue to work.The pace starts off slow, but within the early portion of Unit 1, the vocabulary starts to pick up rather quickly. Since I am not a language expert, I had a hard time keeping up initially because different tenses of words, or the plural, were thrown in. Rosetta Stone relies on photographs to help you out, which is quite useful but I could not get a good grasp of the language to actually use it in normal speech. Once you start getting used to the phrases, the software begins to kick it up by throwing in more words. Unfortunately, like other users, the phrases are too simple for use in everyday conversation.The Level 1 kit includes a USB headset with a microphone to allow you to speak the phrases using the built-in speech recognition. This helps with pronunciation, although I found that it will disable my main audio and I have to switch back and forth. This isn't a big deal for most people, and there's no easy workaround.The box advertises that many Government agencies use Rosetta Stone, like the US Army and State Department. There certainly is value in the Rosetta Stone software helping Soldiers or agents learn a foreign language in the shortest time possible, but I felt it should focus on more useful phrases. 45 minutes of repeating various forms of Boys eating, or girls running are not phrases that have much tactical value when you're visiting or operating in a different country.Overall: 4/5 stars",4,"Easy to use, but the phrases need to be more useful",1299196800,"03 4, 2011",0.126
8,A20FK68BUB1IVA,1617160377,Happy Reader,"[0, 1]","I was prepared to be disappointed with Rosetta Stone Italian Level 1, the first Rosetta Stone I've tried. It was the voice recognition I was leery of. Though I've studied two languages through classes, I have no aptitude for speaking languages at all. The languages I'm most familiar with are the Teutonic/Germanic gutteral sounding languages; I have such problems with the romance languages. I married into a Portuguese-American family and they still howl with laughter when, after 21 years, I attempt the language.In addition, I've broken my ear drums a couple times, and have suffered loss of hearing as a result (compounded, could be, by age!).I am very happy to say that I have had no problem hearing or understanding the Rosetta program. The included headphone/microphone combo fits comfortably and I forget it's on while going through a lesson. In addition, I've only had a couple times where I had to repeat a phrase because it was so off-base the voice recognition program didn't think it would pass as Italian. Now, granted, this may be because the bar is set really low for how authentically I speak Italian; but I would think that with a program teaching Italian as a second language, it would have to be. For most people, it isn't teaching you how to pass as Italian, it's teaching you how to pass IN Italian. And, if the voice recognition program was too fussy, I would get discouraged and just throw it away.Lessons start out with pronunciation, one syllable at a time, spoken and written. Then vocabulary, spoken and written. Then phrases. Total immersion, everything is shown on the screen in Italian and spoken in the program in Italian. Occasionally, you have to type in the answer to a question, rather than say the answer. Everything is accompanied by photos. So your learning is reinforced in three ways: you hear the phrase spoken, you see the phrase written, and you see a photo illustrating each phrase (a boy running, boys running). In later lessons you dive into conversations with full sentences.Your Main Menu shows you which lessons you've completed. Based on that, you can access Rosetta Studio, which is practice with real people. Your main menu will tell you if any Rosetta Studio sessions are available at any point in time. You schedule a session and you and other students take part in a session lead by a native Italian speaker.You get a two-disc CD set for additional practice when you're not on the computer. I have used mine in the car, only occasionally feeling silly for talking to myself. There's no voice recognition, of course. You are only repeating what is said on the CD. The CD is divided into the same chapters as in the computer program, and each chapter starts with pronunciation, then vocabulary and phrases. Good reinforcement, though, I have to concentrate so hard on what is being said on the CD, that it's a little distracting for driving.If you have an iPhone or another iTouch device, you can download a mini-version of the computer program, including photos. I haven't tried that as my phone is a dinosaur.Included with your program is three months access to Rosetta World OnLine. I haven't tried this yet. From what I understand, after you've completed each chapter on the computer program, you are told how many games, stories and activities are available to you on the OnLine center. You can play individual games, or games with other players (learners) logged in, or with a native Italian speaker. Unfortunately, Rosetta World OnLine is only available 8am - 8 pm for me in Pacific Standard Time zone. Many times I've sat down at the computer after the kids are in bed, and then it's too late. If you're in the Eastern U.S., it's available from 11 am to 11 pm. After the three month introductory offer is over, you pay a fee, but I actually can't find what the fee will be.Incidentally, Rosetta Stone offers a six-month unconditional money-back gurantee, but according to their website, you have to order it direct from Rosetta Stone. I only checked the price for Rosetta Stone Italian Level 1 and as of writing this review, the price is the same as the price on amazon.I am using this program on a PC XP with no problems.",5,Voice Recognition Really Works!,1318464000,"10 13, 2011",-0.0049
9,AZAC8O310IK4E,1617160377,Hoppaguy,"[2, 2]","I actually have used the Rosetta Stone Spanish Level 1 & 2 and found it great in terms of learning the language. At first, the Rosetta Stone method seems harder because you associate pictures with words and phrases but their whole premise is that is how you first learned a language by seeing something and then associating the word with that object or action. It is way better than pure memorization! I have gone through several lessons and I am picking it up rather quickly as I have a background in Spanish. Overall a great way to learn a new language!",5,Best way to learn a language!,1299024000,"03 2, 2011",0.3553
