,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3CLJ0DXJ7OLUU,B0000ANHST,36 Megapixels advanced amateur,"[0, 0]","I tried buying tee shirts from the big makers, and they all arrived with thin fabric, even the ones that said thick fabric. Carhartt, on the other hand, makes tee shirts like they did 40 years ago, with nice thick fabric that you know will last for years. It's a relief to get a product that is made of really good material. Highly recommended.",5,These guys make real tee shirts,1374192000,"07 19, 2013",0.4579
1,ANUQG4DWEXRA2,B0000ANHST,Aaron,"[0, 0]",The shirt was a size to large. I'm 5'10&#34; 200lbs and the lrg was too big. I recommend getting a size smaller then usual. The quality is great!,3,One size too big!,1388793600,"01 4, 2014",0.255
2,A3B1360JOYS0GJ,B0000ANHST,AccioFirebolt,"[1, 1]","I have found a new favorite brand! It's so difficult to find clothes that fit when you're big and tall (tall, dark and handsome if I do say so myself). I usually wear the same clothes every year until they wear out but now I have bought a new wardrobe, basically. I've spent $500 or so on Carhartt clothes in the past few months and I don't regret it. I wish they would make sweat pants!These are very thick material, really nice design. I don't mind the big logos like some people--I like how it adds extra color and style. These will last me for years, no doubt about it.Also, these are made very loose. I would say 1 size larger than most cheaper clothes. If I wear one of those generic clothes (which I don't mind wearing btw) I usually have to order like a 5X because they are so small. I definatley like a loose fit so it suits me perfectly. However, if you like your clothes to have a classic, tighter fit I would order a size smaller. Their hoodies are pretty true to size but their long and short sleeve tees I would for sure buy a size smaller.So yeah, these are way more expensive than I normally pay. There are t-shirts I can buy at the mall 5 for $20 but they have literally started falling apart just after one summer. So it's worth it to buy these because I know they will last.Awesome brand! If you're not sure then go ahead and buy it because I don't think you will be disappointed.",5,"High quality, loose fit, and I love the pocket",1329868800,"02 22, 2012",0.3037
3,A2V1XO7SDU4XQZ,B0000ANHST,adjective,"[4, 6]","The fit on these t-shirts are ludicrous. I ordered a small and what I received would be considered a large had I ordered it from Gap or Land's End. While I am by no means tiny, Carhartt's version of the venerable t-shirt is only a couple notches shy of a gown on my frame. You gotta be a big corn-fed American boy to sport one of these.Running it through the dryer made it worse; the neck hole shrank but the other dimensions remained almost unchanged. Even the pocket sits forlornly off to the side, as if seeking the shelter of my armpit. This is possibly the most awkward t-shirt I've ever bought.",2,moments of t-shirt awkwardness,1328572800,"02 7, 2012",-0.1634
4,A3ABCZT5JOCLJJ,B0000ANHST,Amazon Customer,"[3, 3]",I bought these shirts for my husband for work. Material is good heavy weight cotton. I had to return them and exchange for one size smaller. They run quite large and did not shrink with washing. He likes them but wished the pocket had a separate place for his pen.,4,heavy weight t-shirts,1304294400,"05 2, 2011",0.1333
5,A3KCETSIJNOK56,B0000ANHST,Amodeus1971 Amodeus1971,"[0, 0]","Carhartt shirts and Dickies jeans have always been my favorites for comfort and durability at a price that is great for the quality and durability. I live, play, work and will probably die in a Carhartt.",5,lifelong favorites for quality clothing at a reasonable price,1341273600,"07 3, 2012",0.2472
6,A2DWX7AN6DMQF8,B0000ANHST,AndyS,"[0, 0]","Nice shirt, as expected. Thicker than most t-shirts. I probably could have used a large but it may shrink a bit. I think it does run a little on the big side. Other than that great shirt.",4,It's a carhartt what more can you say,1400803200,"05 23, 2014",0.2093
7,A1FHUYGO3OWWRF,B0000ANHST,A photographer,"[0, 0]","Nothing much to add to other positive reviews. These are good quality T-shirts of nice thick cotton knit. I usually buy oversize to allow for shrinkage of cotton knit fabric but it is not necessary with these shirts. They come oversize. It's best to wash them before wearing since they will fit huge until they shrink down in length and girth. It's also recommended that you wash the darker colors separately--at least at first. I hand washed all the T-shirts I ordered before wearing and the Port colored one turned the water in the sink red. Be careful until the excess color has washed out. I have noted overall fading with the older black Carhartt T-shirt I have. This is after several months of wear and washing.I've bought several of these shirts in various colors. They are head and shoulders better than the cheap T-shirts you can find at Target or Walmart although they are more expensive. They are comfortable for work wear and look nice under an unbuttoned sport shirt for casual get-togethers. I really like them, except for the fading issue I've noted with the darker colors.",4,"Nice, heavy duty T-shirt",1377734400,"08 29, 2013",0.3614
8,A4VOD3CYZBUMW,B0000ANHST,Arthur C. Snyder editor,"[1, 2]","A T-shirt may be only a T-shirt to some, but when you want a roomy shirt with generous proportions and substantial materials -- the all-cotton shirt is a bit heftier than run-of-the-mill T's -- this Carhartt shirt does the job. The armholes allow easy motion, and the body of the tall-sized shirt is longer than the norm of tall sizes from other manufacturers. Both features ensure all-day comfort for the active wearer. This holds for work and play duties alike. The only quibble: There's a small, cheesy (cheap-looking) manufacturer label on the front of the breast pocket. There are a lot of other ways and places to put a brand's name on a garment.",5,Roomy fit and excellent value,1268006400,"03 8, 2010",0.4168
9,A2NB4FPWA1APP7,B0000ANHST,BeachGirl,"[11, 13]","I ordered a few of these shirts for my husband. I ordered a large based off his other pocket tees by other brands (Hanes, etc) but it was too big. There was a 3 inch difference in width and about the same in length. Once I exchanged them for a Medium we were both very happy with the quality!",4,Great Quality/Runs Big,1292544000,"12 17, 2010",0.1617
