,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A24EJ9TAC0Z8RG,B0000AT7N2,A. Burks,"[3, 3]","I got these for my husband (A very picky man). They are sturdy denim and sized right. When my man tried them on, he liked them so much he didn't take them off. These are a good weight denim, not too light and not too stiff. There is room in the crotch which makes them more comfortable for the men. Well sewn and seem long-lasting.",5,Hubby loves these,1353369600,"11 20, 2012",0.2819
1,A1NBAVO4DBFRQJ,B0000AT7N2,Amazoner,"[0, 0]","Finally, a pair of jeans with the right length. These jeans are comfortable and not as expensive as some other brands.",4,Good jeans,1393286400,"02 25, 2014",0.2553
2,A20C0DP31QP7MY,B0000AT7N2,Ben Franklin,"[0, 0]","Delivered quickly. Jean's are very good quality, although a little tight in the waist. I either have to lose a few pounds or gain a few and buy the 36's. Definitely worth buying at &#60;$30.",4,Good Quality a bit tight,1366934400,"04 26, 2013",0.307
3,A3BHZ3ITQ878CR,B0000AT7N2,Bob the Bear,"[0, 0]",I starch 'em with a crease and wear on casual business days. I say buy 'em real long and put cuffs on 'em !!As stylish as you wish to make a LONG WEARING pair of jeans.,5,Tired of indigo ?,1393718400,"03 2, 2014",0.2199
4,A14NYKVV4CYF5S,B0000AT7N2,Charles Domanski Been There-Done That,"[2, 2]",The jeans are very comfortable and appear to be very well put together. I think they will last a very long time.,5,Jeans,1267142400,"02 26, 2010",0.3586
5,ALXXNSWQL9PUF,B0000AT7N2,Chris,"[0, 0]","These have been my favorite jeans for a long time.They fit great, the advertised size is what it says it is.Fit is perfect for boots.Fit is great in the crotch, where many others sag these do not.",5,great fit,1394755200,"03 14, 2014",0.9545
6,A33G900LSK9C7J,B0000AT7N2,cracker,"[0, 0]",Good quality product. The waist is true to size. Fits well. The legs however are quite loose. Loosest relaxed fit I have ever seen. Depends on what you are looking for. Great to work in if you squat or bend your legs. Lots of room. They feel really great. Almost like you are not wearing any pants. Very comfortable. I feel they look a bit funny for like wearing out. I have refered to them as my clown pants.LOL.. However I do like them. I would rather have them too loose opposed to being too tight. If you are looking for a work pant I recomend them.,4,stay relaxed,1318291200,"10 11, 2011",0.2679
7,A1BXVZSQOJE6UE,B0000AT7N2,Ctwink,"[0, 0]","Too often pants today are low-risers - even male pants and/or pants designed for &#34;adults&#34;. I was tired of even my normal Levi's brand shifting to this style where I feel like either my shirt is coming untucked or I'm about to get a draft down my butt. Fed up, I ran across of pair of Carhartt jeans. These pants fit exactly like my old style USED TO and looks great. The denim is also soft - unlike my memory of Carhartt jeans from my youth being the pants of choice for outdoor work (hard and durable and scratchy).Very happy with my now two pairs of Carhartts - plan to stay with this brand for now on!",5,Fits/Looks Great,1385337600,"11 25, 2013",0.2595
8,A1CE1UIS2IFKUD,B0000AT7N2,Dal Adams,"[0, 0]",Good Fit Jean. Nice color. wears well. Lossing wt. So wont be in to long . But Ill be back. Thanks,4,Jeans,1388275200,"12 29, 2013",0.1747
9,A119UPKK8J0VWQ,B0000AT7N2,Deadeye,"[0, 0]","I have worn Levi 501 jeans for years but were always annoyed by the waist height aspect of the fit, and weakness in certain seams. Ditto on most brands of khakis, the office rat's jeans. After purchasing a couple pairs of Carhartt's excellent khakis, I decided to try their jeans. I have never before had a better fit in a pair of jeans,or a more correct sizing of the waist and inseam. They are so comfortable my wife has to steal them away to wash them, so I got more of them. I have several Carhartt products and I can assure you they are made for maximum durabilty, value and comfort for the working man. The relaxed fit version is especially comfortable on horseback because it allows your legs to move without pulling down the waist. Best ever jeans!!And the best source I found for price and prompt delivery was Amazon. If they say they have it, you get it quick and well packed.",5,MY NEW BEST FRIEND,1349481600,"10 6, 2012",0.4342
10,A3OAV4N63O4GXA,B0000AT7N2,dogs2010,"[0, 0]","These jeans are the best on the market for the money. Compared to wrangler and levi the fit and finish is miles above. I usually rip out belt loops in the first week of owning jeans and these carhartts are holding up better than any before. I love carhartt shirts and now their jeans. Wont buy anything else.Side note, these jeans fit very tight. If you are looking for a wrangler type regular fit, get the relaxed fit carhartt jeans.**EDIT** these jeans fit really oddly. super tight in the hips and butt but loose in the thigh and knees. They taper down really tightly onto boots. Also, I can see through the fabric in the seat of the jeans. They have no ripped but i am keeping an eye on them. Belt loops are holding strong.",5,"Perfect, better than wrangler.",1383264000,"11 1, 2013",0.3191
11,A39DRAOO1MIDOL,B0000AT7N2,Don Swearingen,"[0, 0]","I bought Carhartt jeans for me and my son at the same time. I like the fact that Carhartt has a very broad selection of both styles and sizes to choose from. I am at the weird end of the spectrum body type wise, and am very skinny, but long legged. A 30 waist but a 34 inseam...yeah, I am all leg! My son is better proportioned and has a 32 waist and 30 inseam. Finding jeans that fit me is difficult. But, thankfully, Carhartt has pants that fit me. I really enjoy the jeans I got, except for the fact that they only have 5 belt loops instead of the 7 I am used to. My son's relaxed fit jeans are great. He wears them frequently. He is into body building and needs a jean that does't fit too tightly to his thighs (which are understandably quite large now). So these relaxed fit jeans fill the bill nicely. He doesn't feel pinched or bound up in them and finds them to be all-day comfortable. Construction is rugged and quality is excellent. They fit well and wash/dry well. These are really high quality jeans and worth the price. Oh, and the price was very NICE.",5,Bought these for my son. He Loves them.,1349568000,"10 7, 2012",0.4102
