,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A292SJVG33H5W6,B0000ATP8L,ABS,"[0, 0]","Rockport makes a strong shoe which has consistent sizing. The shoe is comfortable, easy care, and lasts. Some shoes are cheaper in price, but to get the quality that is representative of this shoe, the price is understandable. My husband, for whom these shoes were purchased, wears them many hours a day to work and needs a shoe which looks good and supports his foot. ABS",5,My husband loves the Rockport brand,1376870400,"08 19, 2013",0.4052
1,A7VEJY79Y0L3Y,B0000ATP8L,A. J. Westbrook GrtBroadwaySinger,"[0, 0]",I have bought 3 pairs of these shoes for work and walking around NYC! They last for a very long time and the support is vital in this concrete city! My personal fave!!,5,Best Shoes I've ever worn!,1259452800,"11 29, 2009",0.2822
2,A34U91XA1GB1SO,B0000ATP8L,Alec L,"[0, 0]","Tried the rest and buying again the best.My previous pair of World Tour Classic was 14 XW, but Rockport stopped making extra wide in size 14.So, I risked and ordered 14 W. It's the winner! Still not tight and good support from the bottom.Rockport World Tour Classic makes the most comfortable and durable shoes I've ever owned.My previous pair of the same lasted for almost 7 years. Still looks good. The bottom is getting worn out though, but what do you want from a 7 year old shoes.Tried a few pairs of Dunham because they make size 14 4E, but they were completely uncomfortable (the platform is almost not bendable). Those went back.Thinking of buying a different color of the same shoes now.Wear them to work and whenever else have to wear the pants.",5,My second pair. Gotta love them.,1358467200,"01 18, 2013",0.1694
3,ANAXV82XD0KAB,B0000ATP8L,Amazon Customer,"[0, 0]","Good fit, good-looking, good support. My husband loves them. He wears them several times a week and they still look like new",5,Nice shoes,1401321600,"05 29, 2014",0.6027
4,A1FCW3F4Q2YW23,B0000ATP8L,ang nc,"[0, 2]",rockports mens walking shoe is a very comfotable shoe . it looks great with jeans . good quality and color .,5,rockport comfort,1339718400,"06 15, 2012",0.3551
5,A220R3YGCKPTBH,B0000ATP8L,Anthony Stevens,"[0, 0]","i normally order a size 11.5. Other reviews warned this shoe runs a bit small so I ordered a 12 which fits fine but could be a bit wider. i have never ordered a wide shoe before so was hesitant to try it without having the chance to compare in store. Other than the size, these compare favorably to my RockSports which are still my favorite and cost less to boot (pun intended).",4,a little on the narrow side,1366588800,"04 22, 2013",0.045
6,A21OBYW0N5ENS7,B0000ATP8L,Bassocantor u001a OracleMagician,"[0, 0]",,5,&#8730; 20 YEARS and Still Going Strong!,1403913600,"06 28, 2014",0.045
7,A2M7PPYXV7AKD,B0000ATP8L,B.,"[0, 0]",I actually take an E width in a shoe but decided to try these in the 9.5D. They are a little tight across the top of foot which was expected as even EE boots are tight there. I will use a form stretcher at the spot and they will feel fine. I found these on a closeout at a fantastic price via Wholesale Deals so could not pass them up. GREAT SHOE at a GREAT PRICE! On top of this they were received within three days. &#34;THANKS AGAIN AMAZON&#34; for a great deal.,5,A truly GREAT LOOKING shoe...,1376092800,"08 10, 2013",0.3841
8,A2EL5GW6B8LWQB,B0000ATP8L,Bill W Bill W,"[0, 0]","I've worn Rockport brand for many years and I've purchased more than a few pair of these very shoes. However, when I purchased this most recent pair of the World Tour Classic, the decline in quality workmanship was very noticeable. The shoes are now made in Vietnam and the look of inferior materials is very obvious on this shoe. The logos and Rockport brands are still in the same place, but made made materials (cheap plastic?) has replaced what used to be leather. Very disappointing for a $ 100 shoe. What has happened to what was once a good company?",2,Not the same Rockport from a few years ago,1360886400,"02 15, 2013",-0.1141
9,A1SQ4E255QMI8S,B0000ATP8L,Bruce Wolf,"[0, 0]","I purchased these shoes to replace a very well used similar pair of walking shoes. I loved the old ones. Unfortunately, the quality is not as good as in the past. The sizing leaves a lot to be desired. As suggested by some other reviewers, I ordered the shoes size larger than I had in the past. The length was OK, but the medium width is more wide. I also ordered a pair of Rockport sport shoes. They were size 11, but barely. The width was just OK. I will order shoes again, but will not be surprised if they need to be returned for poor size quality control.6month follow up: I have been wearing these a lot. The more I wear them, the more pain I get. Went to a real shoe store and was shown that the front lateral side of the shoe tapers more narrowly starting near the base of my little toe. The more I walk, especially with orthotics, the more the side of my foot is compressed. Not good. This was not present on previous shoes. I bought a pair of SAS shoes that do not taper. Much, much better. I have worn Rockports for over 20 years. This latest pair don't make it. Lift the sole cover on the inside. Could it be cardboard? This may be the last pair of Rockports that I buy.",1,"decent walking shoes, but not as good as in past",1386288000,"12 6, 2013",-0.0391
