,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3LDPF5FMB782Z,140053271X,Alan Houston,"[4, 6]","The new Nook Simple Touch is easy on my eyes for long reading sessions. The Nook makes it easy to chose a font style, a font size, single spacing or double spacing...you can customize the appearance of the text to your needs.It is easy to read the Nook indoors with any decent room lighting, and easy to read outdoors in the shade. It is July in Texas...so I have not tried using it in direct sunlight.The Nook is easy and comfortable to hold in one hand for extended periods of time. Turning pages is easy with a light touch on the side of the screen or a press of the page button in the sideframe.The battery took a couple of full charge/discharge cycles to stabilize. At that point, it was using about 2% of the battery for each hour or two of reading. Reading an hour or two hours a day and using the Wi-Fi an hour or two per week would result in 3 weeks or 4 weeks per charge. In contrast, my color e-reader requires charging each day.Magazines look MUCH better on my color e-reader, but magazine text is very readable on the Nook. The Nooks is at its best with a book with plain text, as illustrations, art, drawings, etc. look crude compared with a color e-reader.I have several books in paperback at home that I also have on the Nook. Because I can increase font size and use double-spacing on the Nook, it is much easier to read on the Nook than in the paperback book. My aging eyes feel much better after a couple hours with the Nook than after a couple hours straining to read the fine print that is typical of lower priced paperback books.If you want an e-reader primarily for magazines, you probably should buy the Nook Color or a small color tablet. If you will be reading books, you will like the NOOK Simple Touch. Look around and compare price...the price of the Nook varies widely between stores.",4,A Nice E-Reader For Aging Eyes,1310515200,"07 13, 2011",0.3062
1,A1423HNZ15ZCQZ,140053271X,Ananke,"[2, 2]","I bought three of these. I was very very happy of the performance with the original 1.0.1 firmware. However, two of them already upgraded to the 1.1.0 firmware, which immediately erased the ability to use the look functions as internet browser.One of the readers frost during update and it doesn't recognize the nook menu button anymore...I will return it, luckily it is within the original retail return period.The second reader seems OK. It is less responsive now though, after the upgrade...Will test it with imported through Callibre books tonight, if it is still OK after firmware update.The third reader hasn't updated yet, I don't know why. I will return it anyway - I don't want to take the risk.Conclusion: B&N; completely ruined otherwise not bad reader by buggy and restrictive firmware update. It is definitely not worth the money right now.I have the first generation Nook too, and in general I preferred Nook due to the epub support. I integrated with Callibre and used embedded fonts for non-Latin epub books.I promoted my Nook readers to friends until this firmware update, because of the OK hardware and epub support. However, considering that B&N; is much less popular than its competitor, and popularity means software and application support, and it has no text or Word doc files support, and being extremely restrictive in order to not allow direct internet access to competitive or free content, I am strongly NOT RECOMMENDING purchase of the device. It is OK if given free for a brand new unit.",2,Latest firmware is a bust,1325548800,"01 3, 2012",0.5677
2,A5X3DVSN6XRJ1,140053271X,Andy,"[3, 3]","I recently bought a Nook and when I bought it home for the first time, I was impressed. The user interphase (much improved over Nook 1st gen) was optimized for the large touchscreen and is much better than the simple list UI of the new Kindle touch. Holding the device was also pleasant and the page turn buttons were a great addition that the Kindle touch desperately lacks. Hardware and software wise, the product itself is perfect as a functional and easy to use e-Reader.However, when I started to look for books to purchase (they were about investing if you were curious), out of the five books I tried to find, I ended up only being able to find one of the books I wanted. I purchased this device having read half a dozen reviews, and the reviewers all commented on how comparable the book selections for Amazon and Barnes and Noble are, but the truth is, B&N; still has a ways to go.I am aware the the Nook supports e-pub which allows it to read generic pdf files (something that the Kindle can't do), but one of the features I look for in e-readers is convenience. Having to buy a book from Google books on my laptop and then transferring it to my Nook is not convenient. If only this device had the Kindle store on it...Bottom line: When you buy an e-reader, you're also buying into the manufacturer's entire ecosystem. With the Kindle, you're buying material from an expanding and reliable retailer that's not going away anytime soon. With the Nook, you're buying material from a reputable but inconsistent company whose mettle has yet to be tested in the e-reader space.Two word recommendation: Research selection (before purchase)I hope I've helped.",3,"Ergonomic Device, lacking library",1326153600,"01 10, 2012",0.4811
3,ATWC3WIN06B9A,140053271X,AngelAnn,"[3, 3]","I am so pleased with my new Nook Touch. I have already purchased 4 books and am reading them all. The best part is that there are so many good books that are free ( even one OT/NT free Bible)and most others are under $10. There is also the ability to read samples of books before you buy without going out of the house because the Nook has Wi-Fi.I really like everything about it, especially the fact that there is a battery that can be changed by B&N; or by me after the warranty is out and the ability to visit B&N; store for help.I would highly recommend.",5,Super Great ebook Reader,1314662400,"08 30, 2011",0.5894
4,A13X3KB8XPS0ZX,140053271X,azezal,"[5, 14]","For what I wanted it to do, namely display some of the pdf files and books that I already have on hand, this does a pretty poor job of it. The default software is not compatible with many would-be useful formats such as txt or rtf. There is no folder view for displaying the books you put on it, you are constrained to a library view that tries to sort everything for you. The settings page is a joke, there is almost no customization to be had there. The shop's main view was nonfunctional out of the box; every time I tried to access it, it kicked me back out to the main page, and I had to access it by going to the top 100 page instead, and even then the search would sometimes not work. The battery capacity went down 20% over 4 days, so I don't think that it would make the 2 month mark that it should have.For all of it's failings, it gets much better once it is rooted, as underneath it all, it is still an android 2.1 device. Once that happens, you have access to the android market, email, web browser, and more importantly, you can get apps that are better than the default nook book reader. You can even put amazon's android kindle reader on it as well.The reason for the relatively low rating is that all of these features and functionality should have been unlocked by default. The default software that comes with it feels unfinished and lacking in features to me, and it seems like B&N; were just being lazy when putting it together. Rooting it is also a pain, and even though there are some rough edges in a fully unlocked android OS on an eink interface, I still think that it is better than the default software. I would rate this as 4/5 if it came unlocked by default.",2,The software that it comes with is lackluster,1313193600,"08 13, 2011",0.0967
5,A37AO7DNHVKB28,140053271X,Bea Samples,"[2, 2]","Haven't had it but a few weeks, but I am learning how to download from the library, etc. love how light it is and that it will tuck away in a purse for easy reading anywhere. No operating problems so far. Would recommend it for home or away&#34;",5,"So far, so good.",1356048000,"12 21, 2012",0.2932
6,A1Q4DVABELGRQO,140053271X,Ben Veich hardware geek,"[0, 0]","Product shipped quickly, and arrived slightly ahead of schedule, even from the other side of out country.The stated storage capacity is rather misleading. It says 2gb, but half of that seems reserved for the system, and most of what's left is reserved for B&N;'s ebooks. That leaves about 250mb for the rest of your library.Fortunately, a 4gb microSD card cost me a measly $5. Even better, memory card integration is seamless.Amazon's got a great price, too. $10 cheaper than anyone else. Ironic, considering the Nook is their direct competitor.One thing to take into consideration is that the page numbers are synced with the actual pages of the ebook, regardless of font size or line spacing, so you can turn through page 85 two or three times before getting to page 86. It's a little weird, but not a major issue.I got my paws on one of these things in the store, and I'm still surprised at how light and small it is.The last consideration (not really an issue, but an odd choice on their part) is the lack of a file manager on the device. You have to plug the Nook into a computer to delete files. However, it's irrelevant, since all of my ebooks are on the memory card, and I bought a USB adapter for that very reason.All in all, this is a fantastic product, and I am very pleased with it.",5,Reach out and Touch someone,1366070400,"04 16, 2013",0.051
7,A2A3HDJXDN8W47,140053271X,Bob Noble,"[5, 11]","Here's my take on NST: This is a very nice, but very limited reader. I LOVE THE DISPLAY. That's it. A real home run? Not quite...Quick summary is that they won't sell me any other unit with an LCD (I spend all day looking at one of those, I don't want another one for my fun-reading). I might as well use my netbook or go all the way to a real tablet, and that won't be from B+N.Here are the problems with the whole Nook thing.(1) You can't use it for a PDF, magazine, or anything with graphics because YOU CANNOT ZOOM OR ROTATE. I have purchased some books with pictures and figures that you can't see. Guess they want you to get the color tablet-like Nook, huh? Nope, not going there (see above).(2) YOU CANNOT SHARE BOOKS. Yeah, yeah, they SAY you can, but that's VERY LIMITED and makes no sense. (If the publishers trust them enough with their DRM to have the book at all, why can't you transfer the book to someone else using the same DRM?) I can get a paperback, read it, and share it forever. Not so with Nook and you know it.(3) B+N (and everybody's) E-BOOKS COST THE SAME AS A NEW PAPERBACK, even though the seller didn't incur any cost of printing, shipping, inventory, etc. But I can get a paperback for 25% off at my local Kroger grocery store for new releases and best sellers, or I can go down to the used book stores and find quite a few titles at 50% (or more) off list. When everybody in my family has read that book, I can sell it to the used book store for 15% or 25% of list value. That's a win-win.So, where's the advantage with a Nook other than it's cool? Three strikes (it could get one more if you count fragility compared to a paperback book). This whole e-reader thing is bravo-sierra at this point.That's my $0.02. Just wish I had known this before I spent the hundred dollars.",1,"In baseball, with 3 strikes, you'd be out",1332720000,"03 26, 2012",0.0764
8,A3G636N0YXQA7A,140053271X,Brian Engle,"[0, 1]","OK, I got this thing and plugged it in as instructed, to which it responded by doing Nothing. After some further research, I found that it likes to be updated. I followed the instructions on the Nook website and downloaded the newest version and ... Nothing. The little monster came back just as dumb as before. It does show cute screens, but not yet anything productive. So far, Not Impressed.",2,"So far, Not Impressed",1390176000,"01 20, 2014",-0.0377
9,A182U5XEA20G3G,140053271X,bvksg,"[1, 11]",I bought this from B & N and had to return it back in June and they have still not credited me for the return. I have called them at least ten times over the past two months and have been on the phone at least two to thee hours each time and they have still not credited me yet for the nook touch. I am now forced to report it to my credit card company and hopefully they can get some where with them. Buyer beware where you buy your Nook touch.,3,Good unit terrible customer servi.3,1313539200,"08 17, 2011",-0.0582
