,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AOY59P4FRQZFZ,B00005OU9D,adam brandeberry,"[0, 0]","this is an awesome stove. Does exactly whats it suppose to do. Two burners let you cook two things at once. Great fuel economy out of the propane bottles. This model does not have an ignition on it, so you will need a lighter or match. No biggie, i always have a lighter or match when taking this camping. I would recommend this stove for anybody who's camping or needs it for emergency situations.",5,great stove,1376956800,"08 20, 2013",0.1326
1,ATDE9JYCPI0L1,B00005OU9D,Alyssa A. Lappen,"[6, 8]","We've had this stove for upwards of 25 years, and it has withstood the test of time, weather, and all kinds of camping conditions. The stove has accompanied us on camping outings in Alaska, Canada's wild lakes (for canoe and kayak camping) and on our average family summer camping vacations.It is lightweight, sturdy and a great way to prepare hot cakes, eggs and coffee in the morning.For larger families, there are of course larger Coleman stoves. But for a family of two to four, this item is perfect.",5,Great griddles,1220227200,"09 1, 2008",0.4492
2,A1FE0XEM9X5EB1,B00005OU9D,Amazon Prime Shopper,"[2, 2]","It is convenient and packs up well for car camping. The stove gets very hot, and is great for boiling water.The stove does not do 'simmer' particularly well. Be careful with anything that needs lower heat settings. Using a cast iron pan or high quality aluminum or copper clad pan helps. Attempting pancakes, eggs or a side dish requires very close attention.I would say that overall this is a good value, but there are better units available.It does have good wind resistance to it, which is a definite plus outside.",3,Convenient and Hot,1391731200,"02 7, 2014",0.4356
3,A2C27IQUH9N1Z,B00005OU9D,audrey,"[5, 6]","Setting up a new camping outfit, we got a new tent, air mattress, lantern and camping stove, all Coleman. The tent and air mattress: great! The lantern: terrific! The stove: not too good.We did not have the problem that many others seem to have had; namely, an aluminum tray that catches and is not secured to the base properly. And, as with older models, the design is a winner -- adjustable wind flaps, and folding and carrying that are well-thought out (as long as you are able to carry the portable propane tanks separately).BUT, the raison d'etre of a stove is .... HEATING. You cannot control the flame on this thing. No matter how precisely you adjust the flame, no matter how carefully you remove your hand from the knob, the flame immediately goes to high. It would be more accurate to have an on/off switch instead of a knob. This was okay when we wanted to boil water, but trying to actually cook was not at all pleasant. This was true on both burners.Coleman should be ashamed. Is this the start of the demise of the Coleman reputation? Surely the company knew about this before these went out to the public. I won't be so quick to assume a Coleman product is good quality anymore. Of all the things to get wrong! You wouldn't think a stove's heating capabilities would be considered optional by the manufacturer.I thought about exchanging this item, but the number of reviewers making the same complaint indicates a return is more in order. Our next stove will not be Coleman.",2,a stove should do one thing well -- heat things up,1347667200,"09 15, 2012",0.1054
4,A30UHOWN6ZAR18,B00005OU9D,BigJohn,"[2, 2]",I have this stove hooked to a tree along with my propane lantern and both are working out fine. I like the fact that both burners put out the same amount of heat and I don't have to switch the pans back and forth on the burners. I can just adjust each burner to the heat that I want and cook right on. I would not hesitate to buy another one when I need it.,5,Propane stove,1256256000,"10 23, 2009",0.2116
5,A3NMEVDA703NXC,B00005OU9D,BMyrvang,"[0, 0]","We are novices at camping and purchased this to use. It was easy to assemble, set up and use. My husband even purchased a special tube attachment which allowed us to use a regualr bbq sized propane tank instead of those little canisters. Much cheaper and no worries about running out of gas!",5,Great for camping,1383091200,"10 30, 2013",0.3566
6,A209QRVZ99UQDC,B00005OU9D,Calamity Jane,"[0, 0]","I've camped with this Coleman stove for two years. It has never failed me. I'd be lost without it.Compact. Rugged. Throws out lots of heat. Boils water and cooks food quickly and efficiently. Wind shields actually work.The hose that connects the propane canister to the stove unscrews and fits nicely inside the stove during storage. Connecting and disconnecting the propane tank is a breeze. Simply twist on a propane tank and you're ready to cook. No pumping, priming, or filling a tank with flammable liquid.This is the best little camping stove ever made. I won't go camping without it.***UPDATE*** 4/1/2012. I'm still using the same stove for camping. Never had a problem with it.",5,Perfect Stove,1202428800,"02 8, 2008",0.1468
7,A2MR5PBWJ70147,B00005OU9D,Dennis Duckett,"[1, 1]","The great old standby for camping. I have one We have used for years and now this one goes to the youngest son for his camping, fishing and hunting trips.",5,Tried and true product.,1403740800,"06 26, 2014",0.3125
8,A5H338JMTD69F,B00005OU9D,dietpepsi,"[0, 0]","Yes its true, it has high and real high, that's okay with me. I got it to make coffee and cook food, not simmer stuff. Other than that it works great, its replacing a 30 year old Coleman hope this one last half as long.",4,Functional for sure,1374883200,"07 27, 2013",0.5137
9,A3DQ4FF1IW84EC,B00005OU9D,Don Jr,"[22, 25]","This stove is lightweight compared to the rest of the line, easy to clean, gets the job done and it's dependable. It's only problem is that the diameter of the burners is too small, you can't use 12 pots, and it doesn't have enough BTU's to boil water fast. Listen, if space is not an issue, get the Coleman 2 Burner Powerpack Stove. It's a couple of dollars more than this stove. It's quite a bit larger than this stove, and it's as nice as cooking on a gas stovetop at home. You can boil tons of water quick, saute calamari or scallops while you're camping if you're so inclined, or make pancakes for a mob of people on your Lodge Reversable Grill/Griddle. There's some trips I use a single burner backpack stove, and then the rest of the time I'm eatin' homefries and cheese omelette's. You could cook chicken marsala with portobello mushrooms and sage on the Powerpack stove. The stove I'm reviewing is a great stove, just not for a family.",5,It's a Coleman Propane Stove,1218931200,"08 17, 2008",0.1473
10,A2Q4JUXCOSVCEL,B00005OU9D,Douglas King,"[0, 0]",this is a classic we had the older version and as we could get a repair kit for it we just bought the new model. Well made and good value we use it car camping and have found it to work well the hardest thing is getting it to simmer as when you turn the burner down it creeps back up to a higher flame.,4,good value,1357689600,"01 9, 2013",0.4088
11,AOXUEONCS29RV,B00005OU9D,D. Ryan,"[0, 0]","We were more than pleased with this camp stove. Easy to light, easy to clean. We hadn't used this type before, and are very glad we bought it. The price was definitely better here than in the shops for the same item.",5,Super Stove,1362268800,"03 3, 2013",0.6245
