,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AV0WGLF2ZHMMF,B00006IS69,Alan F. Jordano,"[1, 1]","Product arrived as described and well packaged. Works as intended. All edges very sharp. Movement of all items smooth. The only down side is that none of the blades or devices lock in place, but that is not unusual for this type of product. A great tool for emergency kits.",5,Nice Product,1392681600,"02 18, 2014",0.1057
1,A3UOSNSYF9F9PV,B00006IS69,Amazon Vinny,"[12, 12]","Everything I need for lighter home use, camping, hiking, glove box, etc. (Too big to be my EDC, I prefer the Super Tinker for that). I have both the Fieldmaster and the Huntsman, and the only difference is the phillips screwdriver vs the corkscrew. You cannot go wrong with a true Swiss Army knife as long as you pick a model that suits your needs.TIPS:-There's a tiny hole under the phillips opening to add your own straight pin.-The hook is useful for pulling tent loops and stakes, hooking things through loops.-Reamer is great for punching belt loops, creating holes, getting out shoelace knots.-Be very careful with the saw - it is the sharpest tool I've ever seen! Useful for cutting twigs for marshmellow/hotdog cooking sticks, cutting cardboard.Highly recommended!",5,Perfect!,1336262400,"05 6, 2012",0.4166
2,A29J5RY91K7ASN,B00006IS69,Brent CA Amazon User,"[2, 2]","These are known for quality. I picked this one because it has a saw and the scissors, which I wanted. It's not too wide. The quality is great - all the blades are sharp and they don't &#34;wiggle&#34; side to side. It's exactly what you'd expect from Victorinox.",5,It's a Swiss Army Knife - so it's awesome,1381881600,"10 16, 2013",0.125
3,A1IVILJ61HWM5O,B00006IS69,chris,"[2, 2]","I think its a great pocket knife. I never really gave Victorinox a chance until recently but I end up using this knife a lot more than a folder for obvious reasons. The steel is fine for my needs and really sharpens up fast and easy even if you never sharpened a blade before you wouldn't have much trouble with the flat ground blade on this knife. So even if you suck at it you can get this fairly sharp with poor skill. I have sharpened for a long time and I can get this knife hair shaving sharp in literally 3 minutes compared to some of my knives which could take a whole hour+ if I neglect and fail to hone and maintain the edge properly. I don't whittle so i cant say it would be good for that I have read a few people using it but that's not my hobby if I did though I would probably use a carbon steel anyway. I do cut some sticks to size for marshmallows, Open packages, open mail, I have cut my nails a couple times to with it, Tighten loose screws if their easy to get to and not to critical I they are i will go get a real screw driver to really tighten that gut down. I do use the can opener a lot though. I prefer a leather-man style can opener compared to this. When I use the Swiss can opener I have to work a tad bit harder for the few final cuts but it does work fine. I Have used the awl to punch holes in cans and I recently sharpened the big flat head screw driver to be a chisel not just a screwdriver. Have yet to use the Parcel Hook....The scissors are great they are so smooth and feel nice they cut very well I was actually surprise how good they work. The blades are sharp I haven't used the Small one though. The steel is fine for me i strop it on my jeans a lot though, but I do that to all my blades out of habit. I have yet to sharpen the thing really I hit it on a ceramic about 8 times on each side but that's about it and that was when I first received it. The saw is cool works great for the size of the thing. I randomly end up in the woods when I hang out with my cousin he likes to off road so its nice to have. I suspect this to last me a really long time and if I do lose it I will buy another. I don't mind that it's not a locking blade I have yet to cut myself I have learned to use a knife properly and if I need to abuse a blade I would use a full tang one. I don't try and abuse my blades though and I don't need to thrust it into someones tire or skull a piece of steel or wall. So there is very little reasons or scenarios where I needed something with a locking blade, though there has been a couple times. If I need a locking blade ill wait or figure something else out there really is no need to ever force anything with a bladed object.This is a great pocket knife its not big at all if your used to carrying a folder give this a try. Though it wont replace a big folders self defense ability's it will enhance all your others. The great thing about it is its normally publicly acceptable almost every where. No one gives you weird looks like when you pull out a 3,4,5 inch folder out of your pocket to open or cut something. I would recommend a Swiss army knife and I have. I plan on buying another.",5,I have used this for a few months now in my EDC,1389398400,"01 11, 2014",0.0828
4,A57PV9WULNJHK,B00006IS69,Christopher W. Smith,"[0, 1]",Great selection of tools that are sure to get you through everything from daily life to deep in a jungle survival.,5,Excellent,1374451200,"07 22, 2013",0.7506
5,A10YMY9ZUFBL1P,B00006IS69,Don't Be a Troll,"[0, 0]","Bought this to replace the SAK I had for quite a few years, not sure what model it was, but it didn't have scissors, a saw, and a few other tools that are on this one. Its a great tool and I try to have it on me at all times. I use the scissors, both blades, the screwdrivers, and can opener the most but still a great tool to have.",5,Great mix of tools,1353283200,"11 19, 2012",0.4245
6,A2BT8CWIR9X83Q,B00006IS69,Gajibr,"[0, 1]","My first pocket knife when I was growing up was a SAK explorer, you know the bulky model that had everything, and I love it, unfortunately when your young you are also more careless and of course I lost it, I was devestated, and since back then they were pricer my Dad would not fork over for a new one, undertandably. Well twentysome years later and I finally replaced my lost SAK, this time its the Fieldmaster, I love to camp and this model has all the tools I need without being too bulky and heavy, the quality is still great, the polished stainless steel is a thing of beauty and all and all a this is the quintessential pocket knife!.",5,Waht can I say? It's the ideal swiss army knife for me!,1354233600,"11 30, 2012",0.3851
7,A3D8K2AR16XE7V,B00006IS69,george,"[1, 1]","Victorinox swiss army makes high quality knifes. I feel the fieldmaster model is the one with the best combination of tools. It is an every day care. I always have it in my pocket, and use it several times a day. I would not want to be with out it.",5,"The ultimate, must have pocket knife!",1386633600,"12 10, 2013",0.2147
8,A24EE725GY516B,B00006IS69,jacksonkr,"[0, 0]","I've had a few of these in my lifetime and even most every version I have seen the toothpick is lost! I really think they could refactor the design just a tad to make the toothpick stay better. Five-stars pending toothpick design change. Otherwise, you know this is a quality utility knife.",4,Great knife. Five stars but..,1376006400,"08 9, 2013",0.0151
9,A2KOJWXB9WT3HC,B00006IS69,JaketheSnake,"[2, 2]","This SAK is one of the best on the market. I've used mine damn near everyday for the last 7 years and couldn't be happier with it. The ONLY downside to this knife is that it doesn't come with a file/metal saw like on the Ranger, but then again the Ranger comes with a corkscrew which I haven't ever had a need for. The handles have come off over the years, but I actually prefer it without, as it aids in grip with the three large rivets on the sides. It may seem a little big and awkward at first but trust me, after a few weeks of carrying this you won't even notice it's there until you need it (like any good pocket knife). Ok now on to the individual tools. Both the main blade and secondary blade are, or can be made, extremely sharp. I've actually shaved my face with the main blade before an inspection once, and passed :) The steel is excellent for a knife of this size and doesn't require constant resharpening (minor touchups will be needed to keep it razor sharp though). The saw is good at what it does for bone, wood, and plastic, making deep, aggressive cuts. The scissors are ok for smaller jobs like fingernails, bangs, or the tips of super glue and the like. The bottle opener/screwdriver does as advertised, tightens or loosens larger screws and opens bottles big and small. The can opener/wire stripper/small screwdriver is probably one of the most used tools on here for me, as I have a tendency to break this out instead of using an electric can opener most of the time. The Phillips screwdriver is a godsend in a SAK, but I wish it would lock in place as I've pinched many a finger really torqueing down on a screw. The parcel hook is almost useless, just omit it and give me the chisel please! And last but not least, the reamer has MANY other functions (imagination is key here) than as just a reamer. To be honest, I would gladly have paid twice the amount for this indespensible tool. Buy one, you'll like it. Use one, you'll love it.",5,Great EDC carry,1381363200,"10 10, 2013",0.2762
