,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2Q1CH6AP7KGPI,B00008GKDN,Aaron K.,"[1, 1]","They work flawlessly especially for crepes and Swedish pancakes. They hold heat well and once you get it to temp you don't have to continuously adjust the temp gauge. Nothing stuck, even on the first cook. Looks great and its easy to clean. slowly getting rid of teflon coated pans for all cast iron and iron pans.",5,I love Lodge pans!,1357862400,"01 11, 2013",0.3058
1,A6VPK7X53QNAQ,B00008GKDN,AmazonDiva Keep Calm and Carry On.,"[43, 53]","I love this griddle as it is such a convenient size. The heavy base means that you can cook your omelet on low flame and it would cook through nicely before you flip it. On lighter pans the omelets start burning on one side while the other side is still liquid. I make tortillas/ and Indian rotis and paranthas on it too. It works very well as you have to heat the griddle on high flame for perfect rotis and teflon coated girdles just get runied very quickly if you use them for high flame dry cooking. Cast iron is non-stick and you can take it to high heat without worries...and even use your metal spatulas on it.The only reason why it gets 4 stars is that the handle heats up too and you have to use a pot holder to move the girdle around and remember never to touch it while cooking. The other reason is that since it is made of cast iron you always have to hand wash it and wipe it dry to store. Other wise next time you need it you will be scraping off rust spots from the griddle. It also takes some time to reach a consistent temperature, so if I'm just making one quick omelet or fried egg I still bring out the old teflon. You may ask why would I deduct a star for these reasons as these points would apply to any cast iron cookware, but these factors make it a little less convenient to use this griddle often. And it loses a point when compared with other non-cast iron cookware.Overall though, this griddle is an invaluable addition to my kitchen, especially for my Indian breads.",4,Heavy base is great for omelettes and tortillas but handwash and keep from rusting!,1168473600,"01 11, 2007",0.204
2,A1G8NJ6U9ODW2C,B00008GKDN,Andrew W McNaught,"[0, 0]",Great product,5,Five Stars,1404345600,"07 3, 2014",0.6249
3,A8P8KPVXCWV9R,B00008GKDN,Bryan J. Kautzman BK,"[0, 0]","This griddle is just plain awesome. My only complaint is that the burners on my stove aren't large enough to heat it properly. However, since it's cast iron, that simply means that I need to give it a few extra minutes of heating time. And it does heat uniformly given that few extra minutes even though my burners are at fault.That was my biggest reason why I desired a cast iron skillet in the first place. Because the metal one I have just didn't retain heat. It didn't matter how long I left it on the burner, the edges would not heat up.But cast iron has nice heat convection properties which means that I can make uniform pancakes every time.Ideally, even if only cooking three pancakes on this griddle, they will come out quite small. If you want the restaurant style flapjacks, you'll need a bigger pan. But this is perfect for myself or even if serving a guest.",5,Quickly became my favorite pan in the kitchen,1356220800,"12 23, 2012",0.2261
4,A19FRW264WZTGP,B00008GKDN,Bunson Honeydew,"[1, 1]","This is my latest addition to my growing Lodge pre-seasoned cookware. What I really like about this one is the size - perfect for two adults, or to make a tasty breakfast for 2 young kids.My sister has the Circulon griddle, and it's much nicer. But for those of us who care about results, not looks, this runs circles around it in cooking ability. I'd rather have an uglier pan that cooks better and cleans up well than some facier piece.A light coating of canola oil was all that was needed to fire out some nonstick pancakes on the first use. Clean up was easy. the one issue I had, and this is not Lodge's fault, was the batter. The multigrain batter was way too grainy.Up next, crepes.",5,Awesome,1325980800,"01 8, 2012",0.3821
5,A2CNZUBFWM361Q,B00008GKDN,Captain Cole JMC,"[0, 0]",I had another griddle with the sides that went up slightly and the turned down. I was a bear to clean and it always made a mess of my stove top. This griddle is perfect with the curved up sides. No mess now. Nice seasoning on it as well. A must have for anyone cooking tacos or burritos.,5,Perfect shape,1312848000,"08 9, 2011",0.2828
6,AQJN8DSMR4VYB,B00008GKDN,Coyote,"[0, 0]","Spreads heat well. I am not sure what exactly 'pre-seasoned' means in the world of new cast iron, but I seasoned the hell out of mine first thing and its great. Good size, and heft.",5,Just what I need.,1370995200,"06 12, 2013",0.1369
7,A1FDV3WPOHREY9,B00008GKDN,C. Scanlon least helpful reviewer,"[1, 1]","really, I mean watch those guys carefully at your local mongolian grillyou can do that home, without all of the oil and stuff, just what you want, as much as you wantmakes a great in house mongolian grillI have been using one for years. I also use it to broil stuff on in the oven, great stuffof course it is also a good tortilla warmer on the stove, and good place to do your scrambled eggs and green pepper and onion, whatever you got, mushrooms, you know, all that good stuff, eggplant, go for it, all your meats will come out better here as stir fry or broiled.clean up?no problemyou just wash it by wiping with a wet cloth, no more, just a wipe where it needs it. Do not soak, please, or all of the oil seasoning leaches out and you are left with a rusty round griddle.so, no problem, you just drizzle a little oil on there and spread it into every nook and cranny with your fingers, and let it soak and leave it in a slow oven overnight and there it is, new pan, good to go.that oil seasoning makes it automatically nonstick toothis is better than anything else, especially that toxic teflon, and does not scratch, just re-oil, and will last forever.so sorry I cannot find martha anymore, and when I finally gave mine away to a guest, you know, that happens, it will not break from overuse like other pans, and I finally had to find a replacement, I am so glad to come here to good old amazon and find Lodge Logic has great product, and great variety, still at a good price in these tough times of diminishing supply.",5,very versatile pan - even goes mongolian,1315699200,"09 11, 2011",0.876
8,AVH099EZ7DMHH,B00008GKDN,C. Sinklier,"[0, 0]","This is a great Griddle - makes cooking up single servings of pancakes, bacon, eggs, whatever a snap when it's not enough cooking for the big griddle - love that cast iron! ~:0)",5,Good One!,1394582400,"03 12, 2014",0.4311
9,ACO4EVZ0C2J1W,B00008GKDN,Cynthia Wyman,"[0, 1]","I didn't give it a 5 star only because , when it got here it was already rusting, and not pre seasoned. Still love the pan. Pancakes are simply the best on a flat cast iron pan.",4,Great pan/ everyone should have one,1364515200,"03 29, 2013",0.4246
