,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3H4TIVTTA5IBB,B00000DMAD,Brian A. Wolters,"[12, 12]","Words really can describe how wonderful this game is. The first thing you will notice is the incredible graphics (note: a 3D card is not required!.) Everything is drawn in great detail right down to character traits and facial expressions (who would have thought a fleshless person would be so good with expressions.) The story is also very entertaining and added with the graphics, it makes this a very absorbing adventure. This is one of the few games that I can't say anything negative about. This is a must have!",5,Simply Excellent,975196800,"11 26, 2000",0.4269
1,AKOQ2U5KUVSN2,B00000DMAD,Brian Duffy,"[0, 0]","Grim Fandango will definitally be enjoyed by fans of film noir and mexican mythology. I'd give it a 4 and a half if i could. The graphics have their flaws and the game runs choppy on systems not far ahead of the system requirements. Some of the puzzles are utterly impossible to figure out without incredible luck or the aid of a stradegy guide but the game is truly astonishing. You follow the character Manny Calavera, a travel agent for the dead, guiding souls to their final resting place in the best way possible. For some reason, Manny is denied any premium clients. Whos behind all this? Find out over a 4 year journey from the dusty streets of El Marrow, to the edge of the world and back again. Absolutely beautiful backgrounds and film noir-ish music immerse you in the atmosphere. Clever interface and variable controls are great. A very involving game. Not too long not too short. Humor and wit are weaved through every scene. In conclusion, film noir style, surreal visuals, toe tapping and ensuing music, gripping story, charming characters, and challenging puzzles will intrigue all game fans.",5,A feast for the eyes and mind.,959040000,"05 23, 2000",0.1611
2,A1MH8AMADOLQN8,B00000DMAD,DejaLiyah,"[3, 3]","I had problems with it at first - crashing but then i installed the patch that i downloaded and it worked great. The game did remind me a lot of the Monkey Island series. Although monkey Island i'd say had the best music. Grim had ok music. Game was funny and at the end i wanted more- i finished it too fast (i shouldn't have used those cheats). Really recommended, I wish there was a part II.",5,Great games,1119139200,"06 19, 2005",0.2702
3,AJ7EW23XWVOGW,B00000DMAD,dr. b.,"[1, 1]","This was truly one of the best games I have played in a long time. It has challenging puzzles that may at times seem impossible but the solution is often right before your eyes. Based upon the Mexican Day of the Dead it gives the player a little bit of background while keeping them entertained. Great game, lots of P.I. cliches, mentally stimulating, and just plain FUN!",5,An exceptional game!,958435200,"05 16, 2000",0.4816
4,A2I3WQU675FF2R,B00000DMAD,Faded Blade,"[0, 0]","Not a whole lot to say except that as far as adventure games go, this is the standard that all others should try to exceed.Outstanding voice acting and scripting. Hilarious game without making fun of itself. Tough but logical puzzles that will have you scratching your head. Beautiful and ORIGINAL storyline, movie material right here.This is what adventure gaming was fated for.",5,Adventure lives on.,966211200,"08 14, 2000",0.2757
5,A233JF1T2IIBLT,B00000DMAD,Genesis Whitmore,"[4, 4]","I was very dubious when I started playing Grim Fandango. An adventure game with polygons? And the SCUMM menu interface system that was in every single past Lucasarts adventure game was gone? But I gave it a try. Thank goodness I did.Grim Fandango is a story about Manny Calavera, a travel agent for the souls of the dead. He sells packages to the departed for their four year journey to their just rewards, and if he sells enough he can earn enough to make his own trip someday.Imagine the theme of Casablanca with some mexican folklore and Mayan art thrown in for fun. Add big orange demons, hot rods, killer beavers, cat races, and the grim reaper and you have Grim Fandango.The story is supurb and the voice acting was top notch. It's very difficult to do a dramatic yet humorous story, but somehow this game pulls it off. Grim Fandango could yank me to the brink of tears one moment and cause me to almost bust a gut another.The things that make a good adventure game are all there. Logical puzzles that don't cause your gameplay to come to a standstill until you solve them, good acting, good animation, and good code! If I were ever forced to reccomend only on adventure game to someone, this would be it.",5,Probably the best adventure game ever made,957312000,"05 3, 2000",0.0376
6,A2WW3B89WK1S2Q,B00000DMAD,Greg Mullane,"[3, 3]","This is without a doubt one of the best games ever made - adventure or otherwise. It is fun, amusing, original, colorful, and challenging without being annoying. The only games that came close to it may be the Monkey Island series or The Last Express. The game is beautifully designed, with unforgettable characters, amazing landscapes, and reminds me of being inside a really well-written movie. Sadly, LucasArts stopped making games like this, a loss for the world.",5,One of a kind game,1194393600,"11 7, 2007",0.395
7,A3N1V8LIFT0RU6,B00000DMAD,guybrush1,"[4, 74]","the game's okay, although i don't think making the charactersin 3d was a very good idea, plus at some points game gets outrightboring,and all the main characters smoke... although the game will crash sometimes, and it might get stuck, overall, the game is pretty much okay if you don't count crashes and how the characters act and look... END",1,I didn't like the game:believe it or not,954806400,"04 4, 2000",0.6697
8,AVMNNN989FKDC,B00000DMAD,Lynn S. Hendricks Wordmama,"[20, 20]","If they made more games like this, I'd be a pauper. Intelligent, funny, easy to use, easy to solve, and no bloody chess problems. It's also thought-provoking, gorgeous, well-written, and as believable as talking skeletons and elevator demons can make it. One of my favorites that I play over and over again. One caveat: At least one puzzle seems to be tied to processor speed, so if you have a fast machine you'll need to download a patch from the manufacturers' website. Well worth the trouble, though.",5,One of the best ever!,990662400,"05 24, 2001",0.4413
9,A74TA8X5YQ7NE,B00000DMAD,NeuroSplicer,"[4, 4]","This is the EPITOME of graphic adventures. No other game has even come close to GRIM FANTANGO when it comes to humor (of all shades and shapes), inventiveness, delicious irony, creative graphics and plain good-ol' FUN!!This is a 10-year old game mind you - yet, it retains its freshness as any true work of art. THIS IS HOW COMPUTER GAMES SHOULD HAVE BEEN - and not the pathetic cookie-cutter products of mega-corporations working in-tandem with GX-card companies...Your character (hilarious and lovable Manny Calavera) is already...dead when you start. In fact he has been dead for some time, stuck in limbo, trying to pay his way to a better afterlife by selling tickets to other souls on their way to paradise. Guess what: corruption is not limited just to this world. And where there is corruption, there is oppression; and where there is oppression, there is always a revolution brewing...Realizing he is being duped, Manny reluctantly joins the afterlife underground and takes us in a tour de force of one of the MOST BEAUTIFUL GAME EVER PRODUCED. Immersing noirish atmosphere, detailed art-deco settings, fast Bogartian dialogs - with a subtle ironic frosting.WARNING: There are known problems with today's faster processors. So, unless you have a really old system running Win98 you will need the WinXP PATCH (otherwise you will not get past the crane scene).WITH THE HIGHEST RECOMMENDATIONS!!!",5,VIVA LA REVOLUTION!,1194393600,"11 7, 2007",0.273
