,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A170X28DQS49RX,B00000DMB3,A. Bullen,"[2, 14]","DO not get me wrong. I am one of The BIGGEST Zelda fans in the world. and I bought this one as soon as it came out with the gold cartige and all.But this Just isn't a Zelda game....Its missing the Fancy tunes, the story just doesn't seem that addictive.WHen you first get the game its great and it looks to be one of the best games. but then after you beat it.... its kinda boring...Zelda games should never get boring! Zelda NES I STILL paly that damn game.' Link Not as good as the first but still I like playing it. Zelda A Link To the pass on SNES is the BEST Zelda game.I just cannot love this game.. it did horrorble for a Zelda game.",3,Sorry,965692800,"08 8, 2000",0.3041
1,A83X256970U69,B00000DMB3,A Customer,"[2, 9]","Ocarina of Time is the best video game of the last 100 years.If you have never played it, your missing out. Plus, you are a tool.",5,the greatest achievment of our time,1142553600,"03 17, 2006",0.1207
2,A2J9AN99ZE5SQ,B00000DMB3,Adam Robinson (a.k.a Adam Lee),"[0, 0]","The first Zelda game for the 64, The Legend of Zelda: Ocarina of time won game of the year for 1999. As Link, your quest to save the tri-force from the evil Ganondorf will take you all over Hyrule, not only in the present, but also the future with the help of the Ocarina of time. If you like the Zelda series, this game is definently for you (or even if you just like to save the world in your spare time:])",5,The Legend is passed to the 64!,988761600,"05 2, 2001",0.6079
3,A1DVGY92MKB9JD,B00000DMB3,A. Hitt Puck90a,"[2, 2]","I love this game. I love this game. I love this game. I just got Ocarina of Time and it's been a few years since it has come out - it still rocks even in comparison to what's out now. I've had a Playstation 2 for a couple of years and have had a good game here and there, but after playing Ocarina of Time, I realize that I had forgotten the beauty of Nintendo games. They just have a special feel to them (and they make me remember the years that I was a little tike playing old Nintendo games). I just beat the game about 5 minutes ago. I certainly won't spoil anything, but I will tell you that the ending is over 30 seconds long and is something worth playing through the game to see... A video game hasn't brought me this level of satisfaction in a while. Bravo Nintendo, bravo.",5,I love this game.,1093046400,"08 21, 2004",0.4492
4,AOXX0U2T2BGYM,B00000DMB3,A Human,"[0, 0]","I just bought this game a few weeks ago,and it's awesome. It just has that This is going to be an epic game from the get go. It has great graphics,even to this day.First of all,this is an Action Adventure,not a RPG/Role Playing Game.Next,I recommend buying the Strategy Guide. This game is what gamers call Nintendo Hard. It's a challenging game,with quite a number of puzzle parts.Anyway,buy it if you have a 64,or Virtual Console it if you have a Wii.",5,Wow..Just...Wow.,1248998400,"07 31, 2009",0.3252
5,A2ZP4PRR6VT6ZG,B00000DMB3,Amazon Customer dragon_flame,"[2, 2]","This game is blew me away! I didn't expect Ocarina to meet with my standards after playing the previous Zelda games. They usually go stale and predictable, but Ocarina didn't do that. It's a game for true fans of the adventure genre! The dungeons are long and perilous, there are numerous side-quests, a great cast of characters, and a large world to travel! If you have any doubts about this game, eliminate them. You won't be dissapointed!",5,A true classic!,1057795200,"07 10, 2003",0.1748
6,A3NLI44GQY8K48,B00000DMB3,Amazon Customer,"[0, 0]",This could be the best game of all time. What else needs to be said? If you haven't played this game before and still have a working N64 you need to pickup this game. If you haven't played the game you can also find it on the Wii Virtual Console and an upcoming remake for 3DS.,5,The Best Game of All Time?,1306022400,"05 22, 2011",0.03
7,A31RM5QU797HPJ,B00000DMB3,Amazon Customer,"[10, 15]","I'm what gamers call a Zelda Veteran , I've played almost ALL of the Zelda games and managed to beat only one: this one. I love the Zelda games because they are challenging, different and fun to play.In this one, Link lives in a forest with the forest folk. Link is soon inside the Deku Tree to defeat the evil monsters that moved into the tree. After a battle with the queen spider, the Deku Tree sadly dies and tells Link to find Zelda, the Princess of Hyrule.Hyrule is a kingdom that's always in trouble, and its up to Link to save the land from a terrible enemy. Link has the help of Navi, a fairy that gives you advice or tells you what you should do next.During his adventures, Link will learn spells, be swallowed by a huge fish, and saving the land from the evil Ganondorf. This game is a classic and worth the money.",5,A timeless classic!,1018396800,"04 10, 2002",-0.0068
8,A20WIVFZ3EIX0W,B00000DMB3,Amazon Customer Trig42,"[2, 2]","For all those of you that have followed the lineage of Zelda from its early days on the classic 8-bit system, and onward to its SNES days with &quot;A Link to the Past&quot; (great game), and loved every second of it, then you have to buy this game! For those of you that have never played any other Zelda game, what are you waiting for? Now is a great time to start.Ocarina of Time is amazing. All the elements of classic Zelda are there - dozens of powerful items and weapons, lots of secrets to find, at least 10 new 3D-rendered challenging dungeons, plenty of secrets and side-games, and something that all the other Zelda's never had: a truly great story!If you enjoyed &quot;A Link to the Past&quot; you will most certainly like this game as well. The story of Ocarina of Time involves going back and forth in time, between a happy peaceful Hyrule, and a dark evil one, much like ALTTP; but don't think this is a rip-off on its predecessor. The complex dungeons, challenging bosses, and deepening story lines will blow you away. The 3D element of the game also adds so much more that was never possible before. Even the music is catchy and well orchestrated. (I actually downloaded the mp3 soundtrack online!)The gameplay is a little tough to get used to - afterall, you've never played Zelda in 3D before - so you actually have to consider things sneaking up behind you, and flying overhead! But once you get used to the controls and learn to use the &quot;Z-Targeting&quot; feature (using the trigger button will solve just about any control problem you may encounter), the gameplay gets easier.The only thing that annoyed me was Navi, a little fairy that travels with Link throughout the game. She is always bugging you to give you painfully obvious information. I suppose she is a helpful guide for younger or more inexperienced players, but I found her annoying. But once you come to realize that Navi is an important aspect of the game's control, you will let it slide.I would recommend this game to anyone who owns an N64 console, and even more so if you enjoyed SNES's &quot;A Link to the Past.&quot; I can't wait to play the sequel when it comes out.",5,One of the few N64 games you must own!,972432000,"10 25, 2000",0.1419
9,A3TUTC8XWA7DVM,B00000DMB3,amisfitsfan,"[0, 0]","Really though, could an old, out dated game still be awesome 4 years later? The answer is yes, because this game is just too good. It gives you a complete story on Hyrule and the Triforce, not to mention the best video game music ever (especially the boss music). Being able to play as young link and adult link in two similar, yet in a way completely different worlds as one would find out sooner or later. The graphics are still, and when this was released, it was the best game graphicwise as well. The bosses are easy, yet in a way challenging, and the dungeons and temples are amazingly designed. However, there are two faults, one minor, one somewhat major.-Link is missing the strap on his frontside that holds his sword case thingy! Well, it just kinda looks odd.-The &quot;final boss&quot; is far too easy...but don't be too sure of that...",5,The greatest game EVER,1066262400,"10 16, 2003",0.369
