,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1H9SWNKX6N260,B00000J9J9,Aaron,"[7, 7]","This game is awesome! It's a must have. This game must have the most color in history! It has many levels just like the Original for regular nintendo. Plus it hs a few more opotions. It has a challenge mode which is extremely hard, a Vs mode so you can play your friends, and a &quot;You VS Boo Mode.&quot; It's a very good buy. You'll like it!I got a secret to tell ya too. There are secret levels in this game that are beyond hard! You have to get over 5000000 points in the original mode. If you think about it, it's not so hard to get that many points. It's actually really easy.Well I HIGHLY recommend you buy this album. It's a good buy, well worth your money, and it's fun.Don't forget, this game is for GBC ONLY! That means Game Boy Color.",5,The Best Game For GBC Yet!,976838400,"12 15, 2000",0.3169
1,A153MB8JHGXNN2,B00000J9J9,ALLGODOWN,"[2, 8]",I really dont understand why this game gets such a high rating. I mean all it is is an exact duplicate of the 1985 NES version converted to the Game Boy with a few extra modes of gameplay and extras added into it. I suppose for those who were to young and have not experienced the 8 bit Nintendo days it is good for them to experience the game too. But lets face it if there is any game that most video gamers have played at some point in there lives Super Mario Bros for the Nes is it. All this Game Boy version is is a fine conversion of the first Super Mario Bros to the handheld console and not much more. Great for kids that are young now though who missed out on the Nintendo 8 bit days.,3,REPEAT,1023667200,"06 10, 2002",0.4048
2,A3BEJOL2X8PS8I,B00000J9J9,ATHF Fan,"[4, 6]","Super Mario Bros. DX is da ba-bomb! It has tons of replay value including, racing Boo, keeping a calendar, playing Super Mario Bros. 2 (Japan version) , getting your fortune told and more. You can even play as Luigi by pressing select at the map screen I love this game! It is compatible with Game Boy printer and game link. It is by far the best Game Boy game.",5,DA BA-BOMB!!!,971308800,"10 12, 2000",0.3877
3,A36UKFV79879MD,B00000J9J9,BX Lounger,"[1, 1]","Super Mario Bros Deluxe was released in 1999 for the Game Boy Color and is essentially a port of one of the best NES games starring Mario. Normally, this idea would have sold millions of copies but Nintendo went an extra mile or two. Super Mario Bros Deluxe is the original game plus extra content that equaled a must buy title. If you were a Game Boy Color owner, you immediately bought this and played the hell out of it.The PROS: You get the original Super Mario Bros, a You Vs. Boo mode where you race against a ghost through some of the game stages, a 2 player VS mode where you and another place race against each other (connected via the cable link), a Challenge mode where for each stage you have to find 5 red coins, a Yoshi egg and beat the high score. There's also extra content like the ability to print images from the GB printer (sold separately), a program that tells you where the Yoshi eggs are hidden, a built in calendar and a fortune teller program.The CONS: None.It's a must own title back then and a real treat to play nowadays if you still have the Game Boy Color or Game Boy Advance SP. It was cool to bring around the original game with you (with the ability to save anywhere) but the extra modes and content really made it worth its price. Track down a copy because it's one game you will never ever get tired of playing.",5,The original plus extra content equals a must buy title,1317168000,"09 28, 2011",0.5626
4,A7I064UDWGSYE,B00000J9J9,Cheetahboy2000,"[0, 0]","If you're older than 2 you probably heard of Super Mario, with over 200 games to his name he has tried almost every genre ( Yes, even a shooting game ), he is a bestseller ( The second best selling game ever ) and is the face of video games. So where did his fame come from? A package game for the original Nintendo. The problem is to experience on the original system you need to find a NES and you have to hope it still work. And I've never known how legal emulators are. Thankfully Nintendo rereleased the game a few times ( Super Mario all-stars/SNES Wii, NES Classic/ GBA, Virtual Console/Wii 3ds WiiU, And Super Mario Bros Deluxe/ Gameboy Color GBA ) This might be the best. It kept the original look unlike all-stars which might put some disappointed but it is a look that can't be beaten. It add a save feature, Boo race, red coin hunt, and even achievements! This is the best singular port of the game. If you want you can also get the Nes classic version, but this is the best port on a gameboy system. If you had to only get one Gameboy Color game get Pok&eacute;mon Gold/Silver or this. 5+/5",5,"Best Gameboy Color platformer, if not best game",1376265600,"08 12, 2013",0.4341
5,A1V3IO23FZFF9L,B00000J9J9,chicoer2003 chicoer2003,"[0, 4]","This game is fun because it has the orginal Super Mario Bros in it. The nostalgia is there on the small Game Boy screen. The down part is the fluff, like images to print out. All this is a total waste of memory on the cartridge.",3,Too much fluff,1130803200,"11 1, 2005",0.1719
6,A2YY48W7KAQ0U8,B00000J9J9,Clifford Forster,"[2, 2]","For anyone who remembers the classic gameplay of the origional Super Mario Bros. for your old 8 bit Nintendo Entertainment System back in the mid 80's rejoice, its back! The simple nature of this game makes it so wonderful. Its easy for players of all ages and skills to learn very quickly, but will take hours to master. Super Mario Bros. is a true Video game origional. Its simply was the first well executed game of its kind. A side scrolling adventure game, with tasks to be completed that require skill and paitence, not just mindless button mashing.The Game Boy color version is no different. It is a perfect translation of this timeless classic, so give it a whirl and fall in love all over again!",4,The Origional Action Video Adventure Reborn!,967075200,"08 24, 2000",0.6367
7,A1HL50YP5W9CQ1,B00000J9J9,fillandros,"[2, 2]",Nintendo did a nice job of putting an old game on a kinda new system. Its the first but not the worst!,5,I loved it on the NES and i love it now,1039046400,"12 5, 2002",0.5577
8,A329PQ0WJOIZL5,B00000J9J9,jdealy999,"[1, 1]","I started playing this game a few months ago and just completed all of it. Super Mario Bros. Deluxe features not only the 1985 NES original levels, but also the Japanese version levels that North American players couldn't have before. At that particular time, the only other way that anyone could access those levels was to play Super Mario All Stars for the Super NES/Nintendo Wii. However, the NES Japanese levels were finally included on this 1999 Game Boy Color port/remake. (For those of you history buffs, the Japanese version of Super Mario Bros. was actually named Super Mario Bros. 2. The North American version of SMB2 was completely different and released in 1988 with Wart as the main archvillain, not Bowser.)I actually find the Japanese version of the levels very satisfying and much more challenging. Some unusual effects will happen, such as Mario/Luigi jumping off a trampoline and into the air off screen for a couple of seconds, entering a negative warp pipe that brings you back several worlds (i.e., instead of going FORWARD), or seeing Goombas walking in the water levels.Super Mario Bros. Deluxe is one of those games that I could NEVER ever quit playing, even if I wanted to. So stop reading this already and get this game!! Sadly, Super Mario Bros. Deluxe isn't currently available for download on the Nintendo 2DS/3DS, but it would be very nice if it was. :)",5,The standard-bearer of all other Mario platform titles to follow.,1397088000,"04 10, 2014",0.2777
9,A3E33O7XU2MYL2,B00000J9J9,jem-aja,"[1, 1]",This game is just like the original Super Mario Bros. game for the Nintendo. It is super. It is a lot of fun. If you love the Super Mario Bros. game for the Nintendo and you have a Game Boy Color or Game Boy Advance I suggest buying this game. It is a truly great game.,5,"Fantastic Game, Just Like The Original",1044921600,"02 11, 2003",0.7144
