,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3E7FX6I0T8PCR,B00006XXGO,A Customer,"[0, 0]","I wear my high-top chucks until they have holes everywhere so I know my size and style. These were cheaper than the chucks on the converse website so I took a chance and am happy that I did. They are the same ones I get every time, perfect size, perfect fit. They are just as comfy as always, needing only one double-socked wear to break them in. I love them. &#9829;",5,Exactly what I wanted.,1388620800,"01 2, 2014",0.3666
1,AT4EZIO4YKUEK,B00006XXGO,Alanna K. Baker Alanna B.,"[0, 0]","I got these for my daughter because I favor black Converse Chuck Taylor All-Star high-tops myself when I wear sneakers, and she likes to clomp around in them, so I thought I'd get her her own pair. Once she found out they come in pink, no other color would do. Sigh. But they are SUPER cute, and the lacing up the ankles means they fit tight and won't come off, but lots of room to grow through the toes. One drawback, the laces are hard for a toddler to manage, and she has extreme difficulty getting them off by herself.",5,"I like them and my brothers (age 1) like them and Daddy likes them. -Alyx, age 2 1/2",1373155200,"07 7, 2013",0.173
2,A2S9LAS7MAT2LZ,B00006XXGO,Andre Ndele,"[0, 0]",So wonderfull I liked a lot and I will purchase it whenever I will need it and I received alot of comment of it.,5,Amazing converse stile,1398038400,"04 21, 2014",0.4703
3,A1IR0VDE0PUL8O,B00006XXGO,anonmolly,"[0, 0]","Product came on time, was exactly as described, were the correct size and the correct color. I had no problems with this order. When I was going through the reviews, I noticed quite a few complaints, and was worried. I needed new sneakers and figured 40 bucks was not all that bad for the shoes. I used to wear Chucks until they fell apart, and will probably do the same with these.",5,Perfect!,1363564800,"03 18, 2013",0.0215
4,A2JB60WDW8K5V1,B00006XXGO,April L. White,"[0, 0]","My daughter had me order the for her for her first year in high school. They arrived as expected, fit perfectly, and she's happy. It doesn't get much better than this!",5,She love's them...,1376524800,"08 15, 2013",0.1615
5,A1N42P2WHAZXFE,B00006XXGO,Bee Y.,"[0, 0]",This is a great high quality pair of shoes. The canvas is high quality and the stitching looks good. The inside of the shoes are also great. Buy chucks here for $20 ish less than at other places. Also make sure to buy a half or a full size smaller than what you normally wear. If you get these in the correct size you won't be dissapointed! If you found this review helpful please make sure to hit the helpful button to help others see this too. Thanks!,5,Great Pair of Shoes,1375920000,"08 8, 2013",0.4249
6,A2WBXLDX7DOCWK,B00006XXGO,BSD,"[0, 0]","It's not bad, but it's kind of cheap leather and doesn't seem to wear very well. I've worn them for a year or so and they still squeak and feel pretty cheap. They're a little bit large, coming from someone that has had many, many pairs of Converse.",3,They squeak a bit,1390608000,"01 25, 2014",0.2881
7,A8WWNJIKFJNXZ,B00006XXGO,carbast,"[0, 0]","I gave this snikers to my 15 year-old son and he loved. It has a juvenile color and it can use it daily, are confortables, the color is durable. Their friends have liked it. I recommend it",5,Very good,1360800000,"02 14, 2013",0.4176
8,ALX62Z4J1GH5Y,B00006XXGO,Carol ODonnell,"[0, 0]","Bought for my granddaughter, they are too cute. cant wait to see her to give them to her. They are really cute and the color is perfect",5,Too cute,1394064000,"03 6, 2014",0.4163
9,A35X2JJI49OBZP,B00006XXGO,C. Bayne katluvr_1,"[0, 0]","I work with a friend who is the biggest Chuck Taylor fan of all time. She has who knows how many pairs of Chucks (over 20), and always seems to wear a different color every day. So to be a good friend, I had to get a pair. Red, being one of my favorite colors, seemed the right choice. I bought size 6.5 Men's, which translates to 8.5 Women's. The fit is good! These are heavier than I would have expected, but they aren't uncomfortably so. They are very sturdy considering so much of them is made from canvas. My feet feel well supported. While I probably won't go bonkers over them, I might have to invest in a second pair.",5,"Dude, I am so cool now",1362614400,"03 7, 2013",0.3511
10,AOXVR30698014,B00006XXGO,C. Fong Serious Shoes,"[0, 0]","They say that it takes a real man to wear pink, but even among women and girls who wear Converse, pink is an uncommon color. These make quite a statement no matter what crowd you run with. In some ways it can even be a safety measure, as they make you easy to identify in a multitide. Because they are so unique, people that wouldn't normally remember or even pay you a second glance will tend to look twice and/or learn to recognize you - I think that alone makes these worth the money compared to any other shoe.In addition, unlike many shoes, Converse don't mind being thrown in the washing machine for occasional cleaning (just avoid the bleach, or you'll fade them quite fast). Thus, I don't mind wearing these everywhere, because if they get dirty it's no big deal.Speaking of fading, pink Converse have to be worn for awhile before they resemble the color of the image shown - they are a bit more bright, deep pink than they appear. They are not neon pink (a separate and easily distinguished color), but nonetheless pinker than the image.Converse almost invariably seem to run a half size larger, and these are no exception. So if you're a 9.5, get a 9, etc. These were my very first pair, and I'm glad that I tried them on in a store to learn this before ordering - it would have been a rather unpleasant surprise.Also true to most Converse, these have little to no arch support, a thinner sole compared to most modern shoes (i.e. you'll feel it if you step on a rock or such), and don't take too kindly to being worn in the rain, mud, snow, etc. I certainly wouldn't run a mile or take a hike in them. For those reasons, I've got to knock one star, as much as I otherwise love these shoes.",4,A great way to stand out.,1249603200,"08 7, 2009",-0.0086
11,ATIH0V7R2KKAH,B00006XXGO,Christine,"[0, 0]",I bought these for my daughter and she absolutely loved them . They are very comfortable and help to support her ankles when she goes walking . great price was helpful in purchase . recommend this product .,5,comfy sneakers,1404604800,"07 6, 2014",0.658
12,AFW7TX0B0IXY3,B00006XXGO,curlybluelady curlybluelady,"[0, 0]","Order a size,up..always with this style and brand as my son has bought several pairs and loves them.good quality..arrived on time well packaged",5,run small..size up,1386979200,"12 14, 2013",0.7003
13,A2SK9YC54Y3XJ2,B00006XXGO,Cynthia D. Alexander horsesrus,"[0, 0]","what can i say stylish and comfortable black goes with everything,my husband has many pairs in assorted colors he likes the so much",5,my husband lives in these,1354060800,"11 28, 2012",0.7269
14,A1YXVTSS58MO6S,B00006XXGO,DanceMom,"[0, 0]","I purchased these for my daughter's hip hop dance competition routine. Pricey but very good quality. All white. These are stated in men's sizes so be sure to convert to women's. For example, men's 3 is women's 5. There is a chart listed either by seller or on Converse website for reference. These worked out well and hopefully get to use next year for the competition routine so we can get return on our investment. $70!",5,Hi Top Leather Converse,1362441600,"03 5, 2013",0.2013
15,A2P3URWE45OZF0,B00006XXGO,David Proctor,"[0, 0]","These are RADICAL! These are really hot with black jeans . Buy one size smaller than you normally buy shoes, these run large.",5,Radical Shoe,1387411200,"12 19, 2013",0.0
16,A1LAA06GMFCFWI,B00006XXGO,Debra A. Sullivan scarlettfox1,"[0, 0]","The title says it all. I loved these, but you literally have to wrestle your kid and near mangle his feet, even when a size or two too big- to get them on. THEN you have to lace and tie them! On a kicking toddler! Yeah, right! IMPOSSIBLE to get on for the most part. And don't seem comfortable either. they need to create this same shoe, but but an easy access ZIPPER on the side, down to the toe bed to get the young child's foot inside.",2,"So cute, so IMPOSSIBLE to get on!",1318982400,"10 19, 2011",0.1209
17,A33R5VVF3HU3HS,B00006XXGO,Elena,"[0, 0]","Simple, comfortable and lightweight shoes. Dense fabric. Good quality rubber, soft sole. I hope that will be pleasantly worn.Delivered in a timely manner. I'm quite happy.",5,wish full,1385683200,"11 29, 2013",0.4562
18,AQG9DHMWQWQFQ,B00006XXGO,Emily,"[4, 4]","Love my converse! I remember them from high school, and they also ran a half size too big back in the day. Once you get the right size, they're great. I wear a 8 (womens) and ordered a 5.5 in Men's.",5,These run a half size too big,1369958400,"05 31, 2013",0.3236
19,A2QHW8NXVTPW8K,B00006XXGO,E Tammelin,"[0, 0]","I'm a major Converse fan, I like to collect them in all different colors, why not pink? I already knew my Converse size from the other Chuck Taylor colors I already owned, so sizing wasn't an issue at all, even though most of my other Converse are low-cut Oxfords. The high-tops can take a little more work to get onto your feet, but it's worth it I think for the high-top style. And the pink is a nice subdued shade, not a gaudy hot pink or anything like that. Definitely recommended for both women and men who are secure enough in themselves to go out and about wearing pink Converse. They look great.",5,Love them,1388361600,"12 30, 2013",0.4891
