,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1LNES65GKVL0C,B00007GDAL,Amy C. Amy,"[0, 0]","This is a very nice wallet. I purchased this one to replace the exact same wallet. My old wallet was identical to this but was about 15 years old. (They do wear out after 15 years of constant use.) Buxton always makes beautiful quality leather goods. I like that the change purse closes with a metal clasp and not a zipper. I especially like that there is a divided change purse --- I use one side for pennies and the other side for all other coins. Also, I like that there are two paper money slots ---- I use one side for bills and the other side for checks. (yes I am very organized.) I like this wallet very much.",5,Beautiful wallet with many excellent features,1384128000,"11 11, 2013",0.298
1,AW13FFDXLY95G,B00007GDAL,Ashley,"[0, 0]","I absolutely love this wallet. I've had it for about 2-3 weeks and its durable and pretty. It looks exactly like the picture, its got plenty of space. The only thing I will mention is that in the cash parts, there is an opening, so you can't put loose pieces of paper or anything in there, because it might fall out. Otherwise its great, there is enough space for a bunch of cards, cash and change. The wallet can feel a little bulky when completely full but its great.",4,Beautiful wallet,1375660800,"08 5, 2013",0.5265
2,A3VSVZORFCHAEL,B00007GDAL,Ashley's Mom.,"[1, 1]","I really like this wallet. It has plenty of room for bank cards and I do not have to fold up the bills when I put them in the wallet. The only thing that I was originally looking for and this did not have it, was to have my ID in a window outside the wallet so I would not have to open it up in order to show my ID. Aside from that, it was just what I was looking for.",4,"For me, it was almost perfect.",1386028800,"12 3, 2013",0.105
3,A1XYY2M3NSY2U8,B00007GDAL,BarbM from Columbus Very Pleased Customer,"[0, 0]","First of all I want to say that it is a lovely, well-made wallet. The problem I have is while it has many slots, it doesn't close well when the slots are all or even mostly filled. The change purse clasp pops open and so does the snap closure. I am surprised that no else has reported these issues.",2,Does not live up to expectations,1401148800,"05 27, 2014",0.0008
4,A30ZNYT3UVTG2Q,B00007GDAL,Carol Kennedy,"[0, 0]",Have used this very same ladies wallet two times. It holds everything you need and hold up really well. Will definitely buy this brand and style again.,5,Love it,1380931200,"10 5, 2013",0.2468
5,A2B6A3F4AK2LWU,B00007GDAL,cfleming121 zelda1947,"[0, 0]","I've been searching unsuccessfully for a few years for a French purse style wallet, as I do not like the long wallets. This is absolutely PERFECT. Holds everything and is beautiful to look at. Buxton has always been an excellent brand, and they continue to produce beautiful and functional accessories. I am very happy with my purchase.",5,Beautiful and functional,1386806400,"12 12, 2013",0.4279
6,A39WEOF5XFE972,B00007GDAL,Diamondhouse Diamondhouse,"[0, 0]",you can fill fill fill it and it still has room to close and snap. it is well made and doesn't smell of leather. It says real leather on cards inside it too!I really like it! perfect size too :)AB,5,fantastic,1391990400,"02 10, 2014",0.342
7,A1I98GJAHJHSAM,B00007GDAL,Diane,"[0, 0]","I like the looks of this wallet and especially the color, and all the spaces for cards and your license. The only thing I had a problem with was the slots for your cards were hard to use. I had alot trouble pulling my cards out, I do like the wallet so I'm going to keep it and hope they will stretch out a little in time.",4,Nice Wallet,1363737600,"03 20, 2013",0.0955
8,A1K9IAM1KZJ7XV,B00007GDAL,Eggnog,"[0, 0]","The wallet has served me well for the short time I have owned it, however, the stitching holding the picture ID window in place has become loose, is unraveling and is about 30% detached. It appears the window will become unattached shortly. This unraveling is no doubt a result of having to produce ID several times a week while shopping. A simple fix would be reinforced stitching in that most used area of the wallet where wear-and-tear are greatest.",3,"It Is O.K., But...",1393545600,"02 28, 2014",0.1836
9,A1027WM3PXKVMR,B00007GDAL,ej,"[0, 0]","When I was a young lady (am now 90), Buxton was a very good name. It hasn't changed today, in my estimation, and I am quite pleased with the wallet I purchased.",5,Ah - Buxton!,1376179200,"08 11, 2013",0.4927
