,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3NFKIEHPH3804,B00007GDG5,Adam Upson,"[0, 0]",As with any Buxton product this is a fine quality leather clutch. Bought it for my wife and she loves it. Tastefully designed and nice and roomy with plenty of dividers and zippered pockets etc.,5,A CLASSIC,1368144000,"05 10, 2013",0.3986
1,A2OI6HIEMLQPUK,B00007GDG5,Bug,"[0, 0]",Buxton is my go-to for wallets. They have so many compartments that are perfect for all the things you need/want to carry in your wallet. This taupe color is very pretty & goes with any handbag I carry. Buxton is always a great product!,5,Great roomy wallet,1391212800,"02 1, 2014",0.443
2,A1LLA2GSY2C9HR,B00007GDG5,debbie hill,"[0, 0]",This is one of my favorite orders from Amazon and it a great wallet and high quality. I will look for a purse to match.,5,Recommend,1396828800,"04 7, 2014",0.4158
3,A3MVP1MVGM30J1,B00007GDG5,D. Pacheco,"[0, 0]","Great wallet, plenty of room for cards, and anything you need in your wallet, holds checkbook and register, only thing can not pull them out. Very well made leather on outside very soft, pretty sure wallet will last a long time",5,love this wallet,1381449600,"10 11, 2013",0.7197
4,A1027WM3PXKVMR,B00007GDG5,ej,"[0, 0]","The check holder I received with this clutch was not removable, thus limiting its use for me, since my husband and I share the checks. I returned it to Amazon, a company that is the most cooperative I deal with.",2,Not for me,1381708800,"10 14, 2013",0.2369
5,A3UL6NI04LPAMP,B00007GDG5,feltbad,"[1, 1]",This is the best wallet I have ever bought and I am a purse and wallet freak. Look good and fits all.,5,Love this wallet,1388448000,"12 31, 2013",0.3793
6,AL6U7P2EZL0JI,B00007GDG5,Frequent Amazon Shopper,"[0, 0]",Beautifully made with high quality materials. Very nice and at a low price. It had many more pockets and compartments than were apparent from the pictures and descriptions. Am thinking of getting another one as a spare.,5,Buxton,1381708800,"10 14, 2013",0.2051
7,A2109QWZGSLZXB,B00007GDG5,janet s. smith,"[0, 0]","My sister and I purchased this clutch and we both love it. The features are great and the clutch color is so rich looking, I would highly recommend....in any color.",5,Buxton clutch,1367971200,"05 8, 2013",0.7516
8,A1Q8KRGN5G048F,B00007GDG5,jess,"[0, 0]",I love this billfold! It is large & has many compartments and slots. I love the zip around closure as well.,5,Perfect,1396137600,"03 30, 2014",0.4709
9,A1M1Y5UGONAW06,B00007GDG5,Jody,"[1, 1]","I always come back to Buxton for wallets. This one has a place for everything, and I do mean everything! I really like the currency compartment--there are two slots for bills and a center zippered compartment for coins, receipts, or large denominations. There's also a change pouch in front for easy access. There are almost enough card slots, and there are a number of plastic sleeves if you run out of slots. For some reason the slots are not of uniform size and I had to do some finagling to make some of my cards fit. I also wish the snap flap went over the currency compartment so I didn't have to keep it zipped, but I'll get used to it, and I'm sure the leather slots will loosen up with use.After an exhaustive online and in store search, I've decided that this clutch gives the best bang for the buck. Mine is red, and it's a rich, not fire engine color. I'm very pleased.",4,Buxton's the best!,1398038400,"04 21, 2014",0.3718
