,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A20Z62HCM53Z71,B00009ZM7Z,13RWD,"[0, 0]",I'm a merrell shoe person and love that's all I wear.im a diabetic and MERRELLS is the best wearing shoes for meYES I recommend these shoes,5,Nice and we'll build,1399507200,"05 8, 2014",0.8979
1,A3VX79GLO6VD4K,B00009ZM7Z,adam,"[0, 0]","I usually have an extra wide width with shoes. I bought this same shoe in a different color way back when in a MEDIUM width. To my surprise, it fit perfect. I ordered this shoe on amazon in medium width and it still fit perfect. They are very comfortable, easy on and off, nice shoe to wear with shorts",5,Very Comfortable,1397779200,"04 18, 2014",0.4907
2,AKX850WE566QV,B00009ZM7Z,alainamac,"[0, 1]","I BOUGHT THESE FOR SOMEONE ELSE, SO I CANNOT SPEAK AS TO HOW HE LIKES THEM. I GUESS HE MUST LIKE THEM THIS IS HIS 5TH PAIR OF MERRELL. JUST DIFFERENT COLORS.",5,SHOE,1369699200,"05 28, 2013",0.2609
3,A3TB2M0Y63G0OF,B00009ZM7Z,Ali Linares ALi,"[0, 0]",Very pleased with these shoes really are very c'&ntilde;omodos both so they buy another pair but different color. Highly recommended.,5,"Good, Muy Bueno",1397692800,"04 17, 2014",0.272
4,A31ICLWQ9CSHRS,B00009ZM7Z,Al Swanson,"[0, 0]","Way too big, even though I usually wear a 10.5EE. Had to return for a 10, which was still too big.",3,Sizing off,1402617600,"06 13, 2014",0.0
5,AASBXWIU1N3O4,B00009ZM7Z,Amazon Customer,"[0, 0]",We love these shoes. They have a perfect fit and are very comfortable. They are very durable. Very good product.,5,love them,1382140800,"10 19, 2013",0.4996
6,A04559521ZZJ87IMRVPME,B00009ZM7Z,Anibal Alejandro Perdomo Delgado,"[0, 0]","Great pair of shoes , they are almost made for all kind of use and they look great whit jeans. Super comfortable.",5,Great Merrell Shoes,1391472000,"02 4, 2014",0.8251
7,A38RMU1Y5TDP9,B00009ZM7Z,Bob Tobias Robert Tobias,"[0, 0]","I know how long they lasted because my Amazon purchase history shows when I bought the last pair, on 11/27/10. I know they lasted more than 2,000 miles because I always wore these shoes when I walked my dog and that was twice a day, one mile each time. I wore them on other occasions as well and figured I would go with the most conservative values which to me are still pretty impressive.After all this the soles started to wear, I figured it was time to get a replacement &#34;dog walking shoe&#34; and ordered the same shoe again. The size, 12W, was dead on and the shoes are as comfortable as before. They are still light, and have an effective tread without looking clunky.",5,"My last pair lasted three years and over 2,000 miles. The replacement pair fits perfectly (as expected)",1388188800,"12 28, 2013",0.2422
8,A22CFI6FTUSXSO,B00009ZM7Z,Brian D. Barton Bart6369,"[0, 0]","My dad has bad knees and asks me to get these for him. He really likes the comfort of them, the style and the ease of putting them on. He has had several pair and they all seem to be great",5,Gift for my dad,1351382400,"10 28, 2012",0.2977
9,A3M9T1EK9F8N9X,B00009ZM7Z,B. Sigurdson,"[0, 0]","These shoes are probably the most comfortable I own. I'd been thinking about getting a pair for years because of all the positive reviews so I finally pulled the trigger. Good call, because they are super comfy and easy to slip on and off. On the downside though they are black seude shoes. I must not have looked closely enough because I thought they were just black leather. I suppose I just don't see myself as the type of guy that wears seude shoes. I power through it though because these things are so comfortable. They'll work great for casual wear in the winter/fall, but come summer spring I don't see myself sporting these shoes with shorts. They really only work with jeans.Fit was as expected, unlike Keens that usually need a 1/2 size bigger.",4,Very comfortable. Not so sure about the overall look though.,1400198400,"05 16, 2014",0.3163
