,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3RKNRLZ2D6D08,B00000J434,A. L. T deal_seeker,"[1, 1]","How much would you spend to protect your $... palm? this case looks real good, and it fits your palm like a glove, adds very little additional weight and gives you the mental peace that your palm will be protected from about everything it could happen to it. Leather may look more stylish, but they are also bulky. A great buy.",5,"Great look, light and sturdy",994636800,"07 9, 2001",0.4756
1,AXDCA2CU2BNSG,B00000J434,Amazon Customer briw,"[2, 2]","I too thought this case was a bit on the flimsy side, given its plastic + metal covering construction. However, my Palm Vx has survived more than its share of bumps and drops with aplomb, and it's because of this case. It opens easily, closes easily, and still fits in my pocket comfortably. I'm confident the Palm's screen is protected with this case. It's given great service for over a year now.",5,"Does its job admirably, and looks good doing it.",980208000,"01 23, 2001",0.5627
2,A329L3HF2QK7E,B00000J434,Amazon Customer,"[7, 9]","The hard case is stylish, compact, and a good protector of my investment. One reviewer wrote that it is difficult to charge the Palm with the case on. It really isn't a problem at all if you place the charger on the edge of your desk so that hard case can extend off. I don't worry about it falling over since the charge is so sturdy. I love the case because it provides such great protection in a stylish manner. enjoy!",5,"Awesome case, buy it!",945561600,"12 19, 1999",0.3278
3,A1LXQEATSZ228H,B00000J434,Amazon Customer Well Done,"[0, 0]",Very nice. My Palm Vx fits in it & is Protected. It is also shiny,5,Vx for ever,1242172800,"05 13, 2009",0.3053
4,ASWYSSKL9LL9X,B00000J434,amazonreader,"[32, 32]","This case has worked great for me! It protects your Palm V from falls, spills, and related &quot;accidents&quot; I also like the look of the case a lot. It blends well with the design of the Palm V. The only &quot;cons&quot; I could find to this case is that It will add weight and size to your palm. Nonetheless, it is well worth the protection you get (Plus, this will fix the problem the Palm V has with its regular cover of turning itself on). Sure, you'll have to pull the Palm V out of the case to HotSync, but that will only take 2 secs. I love my hard case, and it has certainly lived up to its job of protecting my Palm.",5,Great protection and modern looks.,948931200,"01 27, 2000",0.4159
5,A298COFUERZQWL,B00000J434,Carolyn Vo,"[2, 3]","This is the perfect example of excellent marketing pushing an inferior product to market. The consumer is fooled into thinking that this &quot;hard case&quot; is actually hard and is actually made of alumunim, when in fact the case is made of PLASTIC and has two VERY thin strips of aluminum outside the plastic. This case could easily crack under little pressure. I purchased this case but was greatly disappointed by the plastic composition and flimsiness of the case. For 40 bucks you think you'd get something nice and strong, but save your hard-earned money for some other case. If you want just something to protect your Palm V in, I'd strongly suggest something with a leather cover that is far more durable than this plastic case. Even better, go for the leather case that has a zipper. For even more protection, go for the Rhinoskin Palm protectors. Those are a little bit more expensive but are definitely worth the money, considering the amount of money it costs to replace your Palm if you damage it.The only reason why you should buy this flimsy, overpriced &quot;hard case&quot; is if you have a LOT of money to blow, care more about looks than functionality, and don't care if your Palm actually gets damaged. This case will pop open when you don't expect it, and who knows what will happen to your Palm's panel.",1,"NOT worth 40 bucks, is NOT strong, is made of PLASTIC",959817600,"06 1, 2000",0.1203
6,A3SMN4GQEQBCJ5,B00000J434,C. Farmer,"[1, 1]","After recently purchasing a new Palm Vx, I thought it would be a good idea to invest in a better form of protection than the included leatherette flap. The Palm V hard case is about the only sleek option that there is at the moment.The case attaches to the Palm V via the left stylus storage area. A stylus shaped piece attaches the Palm to the hinge in the case. The case itself opens like a book and allows the Palm to move much like a page in the book. Located behind the Palm on the inside of the case is an area to store a business card or other small piece of paper. The case comes together nicely and has a cut out for the IR port as well as the right stylus.Pros:1) Protects as advertised. The point of a hard case should be adequate protection first of all, and this case delivers as advertised. The aluminum reinforced plastic shell hugs the Palm V tightly and securely.2) Allows for IR port usage while resting in case.3) Case does not allow for you to accidentally turn the unit on while in your pocketCons:1) Heavy: One of the selling points for the Palm V series is the sleek, lightweight design. While this case may not seem like too much additional weight, the combination of the Palm V in the case is noticeably heavier. In fact my wife's Palm III and my Palm V weigh about the same now.2) Obstructive: hot sync is really only accomplished by taking the unit out of the case due to the girth of the case itself. A friend of mine who has a keyboard tried to rest the unit on the keyboard and found the case too cumbersome for this purpose as well.3) Hand holding the unit is more difficult. With the included leather flap, you are able to fold it behind the unit to easily hold the Palm in one hand. The hard case does not fold back on itself, which means there is a much larger surface area to support while using the Palm. This is especially annoying for me since I use my Palm frequently while standing or walking here and there.4) ...Overall, I think the hard case is best suited for someone who is looking to provide the best protection for his or her Palm in the smallest package. You will have to decide if the increased weight and obtrusiveness of the case is worth the added protection it offers. At this time, I am still using the case, but I anticipate going back to the default leather flap in the future when I grow tired of the Cons listed above.Thanks for your time...",3,Good protection comes with a trade off,1009670400,"12 30, 2001",0.2729
7,A3TRPVAGT3NWBS,B00000J434,Cliff Bauer Cliff,"[7, 7]","I was skeptical of the palm hardcase at first. Afterall, it is just a piece of plastic with some aluminum sheeting on it. I no longer have doubts.I have unintentionally dropped my Palm from considerable heights on a variety of surfaces (brick, hard wood floor, etc.), and both the case and, more importantly, the Palm itself have come out completely unscathed.So, my advice is, if you are looking for real protection for your investment, just get one of these. There is no need to spend more on a titanium box from rhino skin or any of the others (unless you are planning on using the Palm for mountain climbing or on the shooting range...).Not surprisingly, the engineers over at Palm really did a fantastic job making this case stylish, too. You don't feel geeky pulling it out, and the brushed aluminum goes very well with the Palm itself.An excellent product.",5,"Stronger Than One Would Think &#65533; Stylish, Too!",980294400,"01 24, 2001",0.1726
8,AG3XKSY6YWH95,B00000J434,dcinDC dcinDC,"[9, 11]","I was going to buy one of these cases for my new Palm Vx. It looked great and I figured if it was made by Palm that it would be a good buy to keep my new toy...I mean tool...safe. Fortunately, I saw one in a store before I ordered one. As some of the other reviews have said, it's made out of cheap plastic with a thin sheet of metal on the front for decoration. The hingers are fragile and the spring-loading is weak. I don't think it's worth the cost and I've seen them as low as $25.If you're buying a hardcase, I'm assuming you want some protection for your Palm. This won't give it to you. If you just want something that looks good to cover-up, there are lots of nice leather ones out there.As for me, I decided to spend the extra money on a Rhinoskin molded aluminum case. I'll let you know how that goes. So far, so good...check them out.",1,Unimpressive and NOT Worth Buying,960163200,"06 5, 2000",0.0582
9,A31LD9CUER3EGH,B00000J434,iPosty iPosty,"[14, 15]","This is the best Palm V case going... actually almost the best. Palm just released a metallic blue special edition hard case that I like a little better, but this case is great.While the plastic was a bit of a turn-off, at least the brushed stainless steel makes the case a bit more attractive and looks pretty sleek much like the Palm V itself. I imagine that is part of the reason you bought the V instead of the III or the VII.The case does not close quite as tight as I would like, but if you mess with centering the hinge it closes. It provides the best protection of the cases I have tried and does not make the palm so bulky that you can't stand to take it everywhere you go.I would recommend this or the new blue case to anyone who likes the sleek modern look and wants to protect their investment and their data.",5,Just My Style,964137600,"07 21, 2000",0.5824
