,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1VY688L9N9QXD,B000002NUS,A. Chopra,"[10, 11]","I bought this from Walmart for the same price as Amazon. On my first use, the cleaning rod broke at the extension point and the plastic handle came off on the other one. I will never buy anything with Outers written on it. I am buying individual parts from Tipton and other reputable manufacturers to make my own cleaning kit.",1,The worst kit out there,1362787200,"03 9, 2013",-0.0609
1,A1GFIJFDX64I49,B000002NUS,Alan Bartos,"[0, 0]","We bought two of these for our sons. The kits have all the attachments that are needed to clean a variety of guns--both rifles and pistols. It is nice that each attachment has its own spot to snap into, and there are additional spots to accommodate additional things like solvent and patches.",5,A very complete kit.,1391299200,"02 2, 2014",0.4479
2,A3I2E3IWY7RW00,B000002NUS,BeeZ33,"[0, 0]",This is my first cleaning kit. So glad I went with this one. Has everything I need and some. I previously had a otis kit but don't think i'll be using that anymore.,5,Worth it!,1372982400,"07 5, 2013",0.1274
3,A27MV0LJDBSCVV,B000002NUS,Ben Miller,"[2, 2]","Especially the smaller ones, they break really easily. Oh well, the rest of it seems to work just fine. I'll probably buy a different one after all the plastic tips have broken.",3,Plastic tips for the cleaning rods suck.,1375747200,"08 6, 2013",0.1214
4,A12N81YV9JF6Z2,B000002NUS,Catherine,"[3, 4]","My kit arrived with parts missing. Everything was in disarray, with just a few parts resting in their spots. After inspecting it and putting everything back where it belongs, I opted to send it back. The parts feel chintzy and overall looks like a cheap kit. I didn't even try to use it...just packed it up and sent it back. What a disappointment.",1,"Missing parts, Cheaply made",1361059200,"02 17, 2013",-0.0742
5,A1RWMM3LPGU5JN,B000002NUS,CJ M.,"[0, 0]",This is a great little kit that provides everything you need to take care of your handgun except the oil. You won't be disappointed with this product.,5,Great kit,1367798400,"05 6, 2013",0.5899
6,A2CGVCY5ROGAXX,B000002NUS,edward burger,"[0, 0]",i bought this cleaning kit to keep in my car when i go to the range.comes in very handy for a quick cleaning at the range,5,cleaning kit,1356825600,"12 30, 2012",0.0
7,A32YZB5V54J5GO,B000002NUS,EvAnz,"[2, 2]",Piece of crap. The black push rod handle cracked in half the first time I used it and the copper bristles fall out of the pieces. Lots of sizes to use but what's the point when they are all low quality garbage,1,Don't waste you rmoney,1384905600,"11 20, 2013",-0.2579
8,A3U0HIOEOIW81Y,B000002NUS,Farb,"[0, 0]",Run of the mill cleaning kit I bought as a gift for my brother-in-law. Of course he has a .32 caliber pistol so I had to buy a separate brush. A basic kit that will suit most anybody's cleaning needs.,4,Standard cleaning kit,1362700800,"03 8, 2013",0.1468
9,A1ZRID98IVU9DU,B000002NUS,Jim,"[2, 2]","Like: Very large selection of items for most caliber fire arms. Contents seem to be made well.Dislike: Case is not the quality that I expected, seems cheaply made (flimsy).",4,Large kit,1362873600,"03 10, 2013",-0.023
10,A2QRSLA0V1GZFW,B000002NUS,Lars O Flynn,"[0, 0]","My regular gun cleaning kit is the size of a foot locker and too bulky to take on trips in a small car. So I wanted something more transportable. This is a nice kit, it's got everything the average shooter would need with multiple calibers. There's even a couple spots inside for other things. One holds Hoppes #9 quite well but I can't get the bottle of gun oil to fit in it. Still I would recommend this for home or travel.",5,Handy for traveling,1378684800,"09 9, 2013",0.1094
11,A34O62IDVYW7X9,B000002NUS,Mark P. Stevens Utard,"[1, 1]",This has everything you need for every gun. Plus stuff you might never use. Looks like it will be good for all guns and years of use.,5,Its gots lots,1352160000,"11 6, 2012",0.1066
12,A1L541UBV96TH8,B000002NUS,M. White,"[0, 0]",These kits are amazing if you have multiple guns and calibers to clean. It has everything you need in terms of brushes and jags. I also buy these to refill my larger unit since it is cheaper ordering it this way than individual brushes and rods.,5,Slam-cleaning-fantastic,1365552000,"04 10, 2013",0.2526
13,A18AHY846D1AOA,B000002NUS,Rock,"[0, 0]","used it for a year or so and definitely have had to buy better equipment. the skinny cleaning rod- snapped.. the thicker cleaning rod- also snapped. i'm not one to apply heavy force on these, they're just very soft/cheap. the brushes are decent enough. after spending cash on a nicer kit, i guess i learned my lesson. if you have the funds skip and buy something a little nicer.",2,spend the extra money on a better kit,1391040000,"01 30, 2014",0.2552
