,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2LP3RWE75ZA4O,B00000JL60,bayou_hannibal bayou_hannibal,"[2, 2]","This is an all-time classic game. I have played more puzzle games than I can count in my head and this game has by far the best puzzles of them all. The graphics, sound, and interaction of this game are stunning. The way that you have to collect information from every available source to solve a puzzle makes the game extraordinary (many puzzle games do not work that way).One aspect of the puzzles in this game that makes it different from many other games is that you cannot guess to solve a puzzle. With many games, you can get past a tough point just buy clicking on every item in your inventory until you guess the right one. Eventually, you guess right, and you're on to the next puzzle. In Myst, you must decipher them the old-fashioned way!I agree with other reviewers, however, that this game has zero replayability. It should take you long enough though so that you won't feel like you didn't get your money's worth.",5,An all-time classic,982540800,"02 19, 2001",0.1798
1,A160AB64G2E949,B00000JL60,B. GOODWIN dragon678,"[3, 3]","This is the first PC game I ever bought. With it's awesome graphics and compelling story, it's easy to see why this is the top selling game of all-time. In it's time, this game and The 7th Guest changed the way gaming was to be. Most point and click games you see today are following these 2 trend setting games, but it's very hard for them to match up to what these games accomplished. It has some very tough puzzles and about the only lacking was there isn't much going on when you click on an area except for sound which is a key for most of the puzzles you will be solving. If you like point and click games with puzzles to solve, this is the game for you. A thoroughly enjoyable game that I have played close to a dozen times.",5,Mystical.,981676800,"02 9, 2001",0.3764
2,A15UA9II7PFZ2J,B00000JL60,Curtis M. Hiott Movie king,"[1, 1]","Ok, I have played Myst a good bit, so I can personally atest to the complexity of this game. I will half to admit, that I used the strategy guide a great deal to help me, because some parts were just impossible. First of all, you half to be extremely knowledgeable before you even attempt to play this game. There are things that i don't even understand, and im not dumb. But the most difficult thing is tying together little pieces of the game to figure out one piece of the puzzle. I really like this game, and have yet to beat it. The music is haunting almost, and makes you feel like you are there, walking in a realistic 3D enviorment surrounded by things that you have no idea what they are, but will tie into the game as it progresses. There are also 5 completly diffrent &quot;Ages&quot; : Myst island, The Selentic Age, The Stoneship age, The Mechanical Age, and The Channelwood Age. This is a very complex and difficult, and i would warn anybody who play it to be ready for a good challenge.",5,expansive game ever,991612800,"06 4, 2001",0.2849
3,A3M3QP00DJ4SMI,B00000JL60,Darth K. Harris,"[3, 3]","This game is exellent. However I recommend buying the updated version &quot;realMYST&quot;. This version you can't pan around to gage your surroundings. They are both the same game, but the graphics in the updated realMYST is a vast improvement over this version.",5,MYST,1032048000,"09 15, 2002",0.2434
4,A1OKMIT8B373YD,B00000JL60,djhexane,"[1, 2]",WHAT IS THIS?!No but seriously. They used the cdrom tech really good and made the ambiance wonderful. But it seems this was just made to show off the cd technology. It doesn't really need to be *easier* We just need more of a story line and a direction of what to do. But it sold very well and spawned some sequals (Riven being the best of the series).This is for the most devout of adventure gamers who don't mind staring at the screen and saying to themeseves: &quot;What the heck is this?&quot; &quot;Why am I playing this?&quot; &quot;Gah! What am I supposed to do?!?!&quot;Buy then and only then.,3,cd Rom + What do I do? + Impossibilities =,1067904000,"11 4, 2003",0.2278
5,AQZH7YTWQPOBE,B00000JL60,Enjolras,"[0, 0]","There are very few video games from over 20 years ago that still go strong in the second decade of the 21st century. Myst is one of them. I remember playing this game back in 1993 and getting my but whipped with the puzzles. I recently replayed it and found myself in awe of how well constructed it is. Of course, graphics have advanced since 1993, but Myst shows game developers how puzzles should really work.Unlike too many games today, Myst brilliantly evokes a sense of wonder and mystery. When you start the game, you're just thrown into a new world with no explanation. You are left to explore and discover. There is a story with shocking twists, but the story depends upon your involvement and choices, not simply handed to you.The puzzles require a lot of time and thought. If you don't like puzzles and thinking, don't play this game. If you like challenges, Myst will challenge you. The puzzles often require you to make connections between separate pieces of information or view your environment in a new way. Some are frustrating and I did need to look at a hint guide a few times (particularly for the Mechanical Age elevator) but they all do have a logic.Unlike other reviewers, I found the one area Myst doesn't hold up well is in building an immersive environment. Myst as a world doesn't have a logic. There's a spaceship, a boat, a clock tower, etc., just sitting on the island. It seems more like a video game hub than an actual world. I think Myst makes up for its lack of internal logic by leaving so much mysterious and presenting you with such intricate puzzles that you want to explore the world.Overall, Myst was a historic computer game back in 1993 and is still worth playing 20 years later. From the early 1990s, I personally preferred Presto Studios' Journeyman Project, which also had a compelling point-and-click adventure and featured pre-rendered 3D environments. However, until that game gets rereleased, Myst is easily the best point-and-click adventure readily out there.Note: the game is also available on iPhone, iPad, Nintendo 3DS, so there's no excuse not to try it out.",4,A historic game that still has life in it,1338681600,"06 3, 2012",0.1516
6,A35HIMW4WW3JBI,B00000JL60,Gamer Gal,"[4, 5]",One of the best adventure games ever! Shame it's for older computers and it makes me miss mine. If the gaming companies ever remake Myst for XP I'd buy it again in a heartbeat.,5,Excellent!,1143763200,"03 31, 2006",0.2406
7,A3KMOEVKYDKEY7,B00000JL60,G. Long,"[2, 7]","What what game I'm describing. It's old, it's puzzling, and it's a blockbuster game. It's, you guessed it, Myst. And that is probably the easiest puzzle you'll get concerning Myst, too. Since it is a popular game that was released a quite a long time ago, you've probably heard of it by now. I'll just say this one thing: If you're deaf or impatient, AVOID. There is a puzzle that involves matching piano tones...heck, even if you're NOT deaf, it's still quite a puzzler! But don't fret...you can beat this game in FIVE MINUTES if you know how, and it can be found in the many game walk-throughs of the Internet. After all, with the difficulty of THESE puzzles, rest assured, you'll be looking for one!",2,More puzzling than a Ribuk's Cube!,953337600,"03 18, 2000",0.1016
8,A1R8OFZY6CYX7G,B00000JL60,Howard L Lambert,"[2, 8]","I can see why this game was so hyped in 1993. CD-ROMs were cutting edge and the slideshow graphics are fairly good and so is the sound. However, the story isn't as interesting as the ambiance would have you think and the movement is absolutely, irritatingly choppy.I don't believe anyone has ever finished this game without some help. There is too much slow clicking around and backtracking to keep the attention of even the dullest person.I don't like having to resort to hints in order to play a game because it's released before the necessary technology is truely ready.REALmyst?...I no longer care. Riven and Myst3?...even more clue-less and annoying, I'm sure.",2,this game is so slow,1073952000,"01 13, 2004",-0.2692
9,A3OMBKL5EOHA36,B00000JL60,Jami Blackann,"[3, 3]","Released back in 1995, Myst is a classic game that revolutionized the gaming industry. Rand and Robyn Miller created a new type of game which diverted from the typical mass market and took off into a fascinating and innovative direction. It's hailed as a landmark in the industry and praised for both its aesthetics and story.I think that Myst is best described as an experience rather than merely a video game. Its creators strived to develop a world rich with detail and intrigue, with a subtle narrative intertwined into the strange yet beautiful surroundings. As the game begins, you are dropped onto the island of Myst without very much information to guide you. What immediately strikes you as unique about this experience is that there are no friendly characters to help you on your way, no enemies to fight, and not a very clear purpose. The game is largely about just exploring your surroundings and experimenting with different devices around the various worlds. This is what makes the game so immersive. The graphics of Myst, though not quite as extravagant as today's, were definitely of high quality. Cyan built its 3D world through an extensive layout of still images and QuickTime movies, and the end result is simply amazing. Navigation is node-based, meaning that you don't necessarily walk through the environment but rather point and click your way through your surroundings. Each new section loads as if you really had relocated, giving the appearance of movement. Making a 3D world in this manner might seem strange, but at the time it was a necessary shortcut to make it possible to run the game on computers without a lot of RAM and processor power. Even by today's standards, I still think the environments look impressive.So what exactly does the gameplay entail? As you explore the island, you discover two journals with missing pages, each of which belong to Atrus's sons, Sirrus and Achenar. Your main objective is to travel through the different worlds, or Ages, and retrieve the missing pages from each book. As you recover each page, you learn more about each brother, and you must try to discover who is lying and who is telling the truth. In the end, it will be up to you to decide their respective fates. Your journey is not easy, for you will have to solve rather challenging puzzles in order to progress throughout the worlds. This can often be frustrating, for the puzzles' solutions are not always intuitive. It will take much patience and observation, and perhaps even a little help.The sounds in this game are mysterious and enchanting. The soundtrack consists of strange, sometimes haunting tunes that blend in remarkably well with each respective area. Moreover, the sounds are integral to the gameplay, for some of the puzzles involve listening in addition to seeing. You will need to observe and interpret different sounds and apply that information to the challenges you face. This is yet another way in which you can truly become immersed within the game. The music makes your surroundings feel foreign and believable.Myst was groundbreaking for its time, and it started an incredible journey that would spark several sequels. It's an experience that is visually, musically, and intellectually stimulating, and though the game is a bit dated now, I still think it's worth playing if you enjoy a good challenge. As many have mentioned, the ending is somewhat anticlimactic, but at the same time it will most likely make you want to continue the adventure with Riven.",5,An immersive classic.,1150675200,"06 19, 2006",0.1905
