,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AVM6OR01CPJNQ,B00004TMFE,AM,"[0, 1]","We were pretty disappointed with this shampoo and conditioner. Had high hopes for it, and it did not deliver.The smell was okay.It was harsh and stripping on the hair follicles.Left our hair with that squeaky clean feeling, but not in a good way, more in a removed all the oil from your hair kinda away.Even in using the conditioner, my hair still looked frizzy. And I do not have frizzy hair! Mine is fine, thin, and straight. If anything I usually border on having my hair be too silky and need things to volumize it.Just cannot recommend this product.",2,Not impressed,1365724800,"04 12, 2013",-0.0223
1,A1ISPXMZL1IYSE,B00004TMFE,Bernadette Foster,"[0, 1]",I washed and conditioned 1 a week but didn't see much difference. No thickening. May work for thinning but I have actual loss of hair.,2,Didn't see results,1358726400,"01 21, 2013",-0.2486
2,A16NAH39LN211W,B00004TMFE,Blondie,"[2, 3]","My hair is fine like a baby's and rather thin. This conditioner gives it fullness and thickness I've never had before. I will be buying more.Update 4/17/14: I was about to purchase another bottle of this for someone else and noticed the price has more than doubled since I first purchased it a month or two ago. I will NOT be buying more, and I'm outraged! It's good, but NOT worth $20+ !",5,Really good stuff,1395446400,"03 22, 2014",-0.0393
3,A34M18U6T33YDZ,B00004TMFE,Brenda J. Coffin,"[0, 0]",Another great product. Just love this Biotin B-complex thickening conditioner. It really helps the hair to look fuller and to grow.,5,Biotin B-complex thickening conditioner,1396828800,"04 7, 2014",0.567
4,A8TWSBLUYJR0U,B00004TMFE,carra,"[0, 0]",best conditioner ever- better than most shampoos and conditioners (salon brand included) out there in the market. Love the aveda-ish ajurvedic smell. Highly recommended.,5,LOVE THIS BRAND!~,1385164800,"11 23, 2013",0.5683
5,A149N75TZ34CE5,B00004TMFE,Chi Le CL,"[0, 0]","Please avoid this product. The conditional is so thick that it does not flow out when you want to use it. As for quality, it is horrible. It makes your hair sticky as if you haven't rinsed your hair for days. I don't see any good using it. I finally use Dove that I bought at Costco. It is cheaper and make your hair soft and weightless as well.",1,Bad product,1373760000,"07 14, 2013",-0.0725
6,AUJZEJ5KJU6OQ,B00004TMFE,Debra Carr Peace and Good Health,"[0, 0]","I have thin fine hair and I am always searching for the miracle to a beautiful head of hair. This is not it. It may be organic and have less surfactants but, it's the thinnest shampoo I've ever used. Can't get it from bottle to hand to head without losing it down the drain. Stupid purchase. Oh well, next time.",1,GULLIBLE,1344729600,"08 12, 2012",0.2106
7,A2EVBQAN92IEZS,B00004TMFE,Fati1981,"[3, 3]","Rather than leaving my hair softer and more manageable (which is a conditioner's most basic function), this conditioner left a noticeable, waxy residue in my hair. I wonder if this gross waxy film is what makes your hair feel thicker and fuller. It does not glide on to hair very smoothly and smells like Pine Sol. Major disappointment. I won't be ordering this again and I would hesitate to try any other hair products offered by this company.",1,Doesn't live up to its promises,1379030400,"09 13, 2013",-0.2059
8,A2VOGNBUMXSW13,B00004TMFE,Hon Lee Bao Tao,"[0, 1]","I BOUGHT THIS Avalon Organics: Biotin B Complex Thickening Conditioner, 14 oz AND THE SHAMPOO AND USED IT DURING THE WHOLE 2012 AND NOT ONLY DID NOT THICKENED MY HAIR BUT IT MADE IT VERY DRIED.",2,DRIED MY HAIR,1357516800,"01 7, 2013",0.0
9,A2SPAROS5PSI8X,B00004TMFE,isthisvick,"[0, 0]","So i have been using the Avalon Organics both Shampoo and Conditioner for a few months now. I have seen a pretty good result. My hair has definitely gotten a bit thicker and stronger. I notice less hair falling out. I have combined this shampoo/conditioner with also taking Biotin Supplements so i do not know if its solely because of the shampoo/conditioner or a combination between the both, but improvement is there. My only one complain is that the conditioner doesnt give you that soft conditioner feel other conditioners give you.. Its a little rough as oppose to soft. In conclusion, if you have thin hair i recommend both products as well to supplement with a daily Biotin vitamin.",4,5 months after.. Good improvement!,1337904000,"05 25, 2012",0.3206
