,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1KLRMWW2FWPL4,31887,Amazon Customer cameramom,"[0, 0]",This is a great tutu and at a really great price. It doesn't look cheap at all. I'm so glad I looked on Amazon and found such an affordable tutu that isn't made poorly. A++,5,Great tutu- not cheaply made,1297468800,"02 12, 2011",0.3676
1,A2G5TCU2WDFZ65,31887,Amazon Customer,"[0, 0]","I bought this for my 4 yr old daughter for dance class, she wore it today for the first time and the teacher thought it was adorable. I bought this to go with a light blue long sleeve leotard and was happy the colors matched up great. Price was very good too since some of these go for over $15.00 dollars.",5,Very Cute!!,1358553600,"01 19, 2013",0.6061
2,A1RLQXYNCMWRWN,31887,Carola,"[0, 0]","What can I say... my daughters have it in orange, black, white and pink and I am thinking to buy for they the fuccia one. It is a very good way for exalt a dancer outfit: great colors, comfortable, looks great, easy to wear, durables and little girls love it. I think it is a great buy for costumer and play too.",5,I have buy more than one,1357257600,"01 4, 2013",0.576
3,A8U3FAMSJVHS5,31887,Caromcg,"[0, 0]","We bought several tutus at once, and they are got high reviews. Sturdy and seemingly well-made. The girls have been wearing them regularly, including out to play, and the tutus have stood up well. Fits the 3-yr old & the 5-yr old well. Clearly plenty of room to grow. Only con is that when the kids pull off the tutus, the waste band gets twisted, and an adult has to un-tangle. But this is not difficult.",5,"Adorable, Sturdy",1398556800,"04 27, 2014",0.1701
4,A3GEOILWLK86XM,31887,CJ,"[0, 0]","Thank you Halo Heaven great product for Little Girls. My Great Grand Daughters Love these Tutu's. Will buy more from this seller. Made well and cute on the girls. Thanks for a great product.NEVER BUY FROM DRESS UP DREAMS........I will buy more as long as I don't buy from &#34;Dress Up Dreams&#34; I never rec'd or order in FL. Only rec'd pink, the purple one was missing. Company is a rip off. REFUSES to make good on purchase...... Real creeps.",5,Grammy's Angels Love it,1394841600,"03 15, 2014",0.4173
5,A27UF1MSF3DB2,31887,C-Lo Cynthia,"[0, 0]","I received this today and I'm not a fan of it but my daughter is I thought it would be puffier as it looks in the pic but it's not and the one they sent me is pink underneath and the waist band is pink which is not what I wanted due to the fact she already had the sandals she was gonna wear with it now I gotta find another pair of sandals,ima just keep it cuz she likes it.",4,It's ok,1396224000,"03 31, 2014",0.4971
6,A16GFPNVF4Y816,31887,design maven,"[0, 0]","Bought this as a backup to the regular ballet outfit my daughter has to wear. So far, she's using it to play out her Cinderella dreams but I am sure we'll be able to use it for a recital sometime soon. The quality is just fine for the price we paid. I was not expecting a designer skirt for this price and got exactly what I paid for.",5,Great for dress-up and for ballet practice,1399075200,"05 3, 2014",0.2182
7,A2M2APVYIB2U6K,31887,Jamie P.,"[0, 0]","Great tutu for a great price. It isn't a &#34;full&#34; or high quality skirt, but it is perfect for my daughter to wear over leggings for her little outfits.",5,Great value,1356220800,"12 23, 2012",0.7854
8,A1NJ71X3YPQNQ9,31887,JBerger,"[0, 0]","My daughter liked this, and it with her costume, but she would have liked it to be a bit fuller.",4,Good,1384041600,"11 10, 2013",0.6808
9,A3EERSWHAI6SO,31887,Jeffrey Hollingshead Jillian hollingshead,"[7, 8]",For what I paid for two tutus is unbeatable anywhere! I ordered a pink and turquios and they are vibrant and beautiful! The tutu is very full! Princess style! Not cheaply made! Not cheap materia! Obviously someone made these with love and care! I paid less than 7 bucks for a tutu I and I feel proud of my self for researching to the point of finding gold!Recommend 2-6 years!My daughter is two ! Wears size 4t and this skirt ( one size ) fit perfect and will probaly be able to accommodate her quickly growing waist for some time!,5,WOW !! ..is all I have to say!,1349568000,"10 7, 2012",0.34
10,AX1QE6IR7CHXM,31887,JJ,"[0, 0]","Wonder my niece wears it every single day, yellow is her favorite color right now an this cute little tutu made he da. It is well built and we hope she gets lots of wear out of it.",5,Wonderful and great shipping.,1388620800,"01 2, 2014",0.6852
11,A2A2WZYLU528RO,31887,Julie Gayler,"[0, 0]","My daughter has worn this skirt almost every day since she received it and it's even been through the washer along with the other clothes. It's amazing quality! She fits a 4T and it's just above her knee, and has a little bit of growing room, although I'm not so sure as much as others are saying. But considering how often she wears it, I'm not worried! ;)",5,Excellent quality!,1391040000,"01 30, 2014",0.1364
12,A391EXIT5TFP72,31887,Lisbeth Starr,"[0, 0]",Purchased this tutu for my granddaughter's first birthday. It fit nicely with room to grow in. I'm very please with it and will purchase more in varying colors in the future.,5,Wonderful tutu!,1321056000,"11 12, 2011",0.3467
13,A34ATJR9KFIXL9,31887,Maudy1,"[1, 1]",Full and well stitched. This tutu is a beautiful purple color that looks just like the picture. It looks just adorable on our little fairy.,5,Great Tutu,1361664000,"02 24, 2013",0.5059
14,AJ6B83I4YJHYW,31887,M. Davis,"[0, 0]","This was a gift for a two year old and a five year old. The girls squealed upon opening the box, they grabbed the tutus, put them on, and wore them the rest of the day. The tutus seem to be well made, and can stand up to handling by little princesses. I recommend these tutus.",5,Great tutu for little girls!,1372636800,"07 1, 2013",0.2687
15,A26A4KKLAVTMCC,31887,Moonlight,"[0, 0]","My 3yr old loved this tutu skirt in pink! Was hoping to order more in different colors.She had hardly used this,the stitching came apart in 2weeks.now it's lying in her closet..Altogether she wore it like 4-5 times for 20 mins or so.wish the stitching was of better quality to hold up while little ones wear it. Can't recommend.",3,Came apart in 2weeks!,1395273600,"03 20, 2014",0.3155
16,A1MXJVYXE2QU6H,31887,Mother Goose WI Grandma,"[0, 0]",Perfect for my budding grand daughter ballerina! Beautiful vibrant color. Fits great and easy to clean! I bought several more colors!,5,So cute!,1367020800,"04 27, 2013",0.6181
