,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,ANBWZBY8LG71S,B00008695M,Anchorage Gal,"[0, 0]","These are the only nightgowns I have. They fit well, pack well, wash and dry well. They are comfortable to wear in all seasons. I just bought several more and the robe to go with them.",5,Great nightgowns!,1379462400,"09 18, 2013",0.3222
1,AL20VO1ILY171,B00008695M,Book Lover Suzy Sunshine,"[1, 1]","For the person who is hoping for a dark blue or dark green gown, I have the dark blue gown, it was the very first one I bought about 10 years ago and also I have the dark green. Those are two of my favorites and since it is an old color, they are not likely to be reissued. I just thought I would let you know. Sorry.",5,"too bad, so sad...",1380931200,"10 5, 2013",0.1914
2,AELE71XHWS6GJ,B00008695M,Carolyn,"[1, 1]","Lovely fit, stayed on my shoulders, soft cool material and went through the washer-dryer without a problem. What is not to like about this night gown? The length is perfect for me, although I'm 5'8&#34; and it comes a bit below my knees. The flowers are very feminine. Choose purple and save some money!",5,A bargain,1379203200,"09 15, 2013",0.3416
3,A1AULQPZ7BH5Y5,B00008695M,C. McCary,"[1, 2]","I liked the gown, very pretty, however, I was purchasing for my Mother and she wanted the long gown.. So I returned and found the long gown elsewhere. She was very pleased.",4,Gift for my Mother!!,1370995200,"06 12, 2013",0.4117
4,APBTM7CI6UJ4M,B00008695M,Cristina Daniella,"[0, 0]","Buy to gift to my grandmother. She love it, and want to wear everyday!! Perfect to use in home really comfy.",5,Comfy for Grandma,1398729600,"04 29, 2014",0.5793
5,AMQV4POLCJJ58,B00008695M,dbarbee,"[0, 0]",This night gown is very pretty and very comfortable. I will order more in many different colors. The detail on the yoke is very nice.,5,Comfortable!,1395100800,"03 18, 2014",0.4237
6,AED8JDTWIDXIK,B00008695M,Denise Teeters Dinty,"[0, 0]",This gown is an absolutely beautiful gown that feels like a million dollars. I purchased it in this deep purple color as a gift and I can't wait to give it.,5,Beautiful,1358467200,"01 18, 2013",0.6058
7,A1TZQGPOGFA76E,B00008695M,Diana Harris-Smiddy,"[0, 0]",Comfort and fit is great.,5,Just what I ordered and wanted,1405123200,"07 12, 2014",0.8442
8,A33X5I19RL9CCZ,B00008695M,Judy,"[0, 0]",I must say that I do love Shadowline products which are so very comfortable and fun to wear to bed.,5,Fit,1369008000,"05 20, 2013",0.9124
9,AK3U6ZMVPC2EP,B00008695M,Kim barbiedreamer,"[8, 8]",The sapphire color was the only option in my size 1X. Not crazy about the color in person. The fabric and construction is good quality. Neckline is a little higher than I expected (compared to Vanity Fair or Miss Elaine).,4,TRUE TO SIZE,1374883200,"07 27, 2013",0.1618
