,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2U5ZOTZRH7JA8,B0000ANECK,A. Aragon Knowledge Breeder,"[0, 0]",the fabric is a little dry and not super soft. But it's stylish and comfortable. No complaints. A nice shirt that comes in perfect plus/tall sizes.,4,shirttastic,1303948800,"04 28, 2011",0.3118
1,A42NL4QWMQPM4,B0000ANECK,Arbee,"[1, 1]","Based on another customer's review I purchased a small size, where as I normally take a medium. This still fitted me like a large or extra large.I will wear it as an outer light weight jacket with the sleeves rolled up.I wouldn't purchase it again.",3,Long Sleeve Henley,1281312000,"08 9, 2010",0.1806
2,A3LH61WGI1XZRH,B0000ANECK,Bigguns,"[0, 0]","A great shirt, cut for a full size man, wished they made bigger (when I was bigger) glad I fit in this, in fact it is a little big, or am I a little small, hope it's the latter",5,great shirt,1388448000,"12 31, 2013",0.8785
3,AEAXFUXSAHSGJ,B0000ANECK,Bill Kirby,"[0, 0]",If you order..make sure you order your exact size. It fits perfectly. Mediums some times run small. But it was a true medium. Great quality.,5,Great fit.,1376438400,"08 14, 2013",0.4304
4,A1XQ0F01CF84Y3,B0000ANECK,Caligal,"[0, 0]",This is a nice looking shirt I got for my husband! He says its comfy and he's tall and regular size fit perfect!!,5,Good quality,1360972800,"02 16, 2013",0.4109
5,A1OOIUZZJL668R,B0000ANECK,C. Farley,"[1, 1]",Shirt is 2xl and looks like it will fit well. color is nice and quality is usual for carhartt clothing,4,Carhartt's usual good quality,1355270400,"12 12, 2012",0.5742
6,A2J4XUX1AZN3Q1,B0000ANECK,Charles Shelton,"[1, 1]","No BS long sleeve. Fits like it should. Soft and great color. 6'3&#34;, 175 and I love the way it hangs.",5,"Ahhh, nice.",1391126400,"01 31, 2014",0.3317
7,AUVX1VPXJX1C,B0000ANECK,Crashtank,"[0, 0]",I now have all of the colors that I can get....I buy big and tall and don't see it shrink or stretch out (I lift the sleeves up my forearms) I work in the Desert and need to cover most of my arms and the salt from sweating gets all over...was and it is back to the same great feel.,5,I now have 5 of these,1376784000,"08 18, 2013",0.6249
8,A2T412SB5J4400,B0000ANECK,Dan King Dan,"[0, 0]","Carhartt makes products that last, this is durable, materials and workmanship went into the product. It is excellent for work.",5,A quality product,1403222400,"06 20, 2014",0.2859
9,A51M5P7QKA9P5,B0000ANECK,Dan Rand,"[1, 1]","It's like the old saying if you buy cheap, you buy twice Carhart is quality no other way to put it. Just last night I ordered 2 more pairs of work pants and I know I will not be disappointed. I have this same shirt purchased 7 years ago and even though they show some wear are still doing the job each time I put them on.",5,very comfortable,1351641600,"10 31, 2012",0.1499
10,A2WOXVOYV4NA24,B0000ANECK,David A. Criss,"[0, 0]","I love these shirts. Carhartts run about a 1/2 size larger than most shirts. Well built and comfortable. I love the three button collar, because I dont feel like I'm being chocked. They also look great for work or play. I plan on buying more.",5,Love these shirts,1385942400,"12 2, 2013",0.4216
11,A39XZ0QVEJZYNE,B0000ANECK,D. Payne Country Crafter,"[0, 0]",Good quality shirt ordered for a Christmas present for my son. He is rather tall and lanky. The shirt fits him well.,5,Good Quality,1360972800,"02 16, 2013",0.2379
