,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1VLE2SH9J8WYS,B00005MJS0,Allison &amp; Bill Dunn Alli,"[2, 3]","I bought this paper after purchasing an Epson Aritsan 730 printer, only to see it not show very good print quality on generic printer paper. I had tested the Epson Photo paper, and found it to be superior in quality to the HP premium paper that I had used for Photos, so I figured perhaps I needed to go with better paper for my basic printing as well. Made a huge difference. Text looks wonderful on it. Paper is a nice thickness and doesn't feel as flimsy as most generic papers. It should...afterall, it's roughly double the price of bargain paper. But when you're looking to print something and have it look nice, better to go with good quality paper",5,You get what you pay for,1326672000,"01 16, 2012",0.4076
1,A3JUHP1E3WUHEA,B00005MJS0,Dr. Stuart Gitlow,"[2, 2]","I typically use Boise X9 Bright 20lb paper in both my laser and inkjet printers. This Epson product is ever so slightly heavier. I barely notice it, but for two sided printing, the 24lb paper is an improvement as you don't see the print as easily on the other side of the page. I also notice that it is somewhat brighter in shade and smoother, allowing for the inkjet to do a better job with fine print. For regular black type, the laser still outperforms the appearance of even the best inkjets, but since so much of our work has color these days, it's nice to find an inexpensive solution for at least the paper side of the equation. This is a step up from basic copy paper, but it's not such a step up that anyone will say, &#34;Oooo...nice paper.&#34;Watch for a good price, as the price varies from $5 to $10 for 500 sheets.",4,Just right for standard inkjet output,1354838400,"12 7, 2012",0.5664
2,AC2278WPK3EU,B00005MJS0,Earle Williams,"[0, 0]","I do a lot of printing, both black and white and in color. I've used several different types of paper, and this type is equal to the best, at a very nice price.",5,Excellent for All purposes,1389744000,"01 15, 2014",0.4035
3,A2OXTTN0C1LP54,B00005MJS0,Fred Gibson Jr,"[0, 0]","This is a great, inexpensive, every day paper. It might be just a tad light for more formal presentations, but I don't think it's designed for that. This is your every day paper. I'd order again and again without hesitation.",5,This is the only paper I'll use for every day stuff,1356220800,"12 23, 2012",0.2077
4,A10O7THJ2O20AG,B00005MJS0,jnaki,"[0, 0]","hello,since i purchased a new epson artisan printer, i needed some bright white paper for everyday use. this brand of paper is a little brighter in b/w printing than my older hp white paper. the cost is great, the delivery was super fast, and i did not have to resort to using somewhat old paper that was not very bright. three positive things going for it. i will now continue to order from amazon because of the selection and great delivery.",5,outstanding product for my epson printer,1354924800,"12 8, 2012",0.5533
5,A38C1PN7H7KTIA,B00005MJS0,Laurence A. Canter,"[0, 0]","If you are looking for a thin paper that reproduces well and is easy to work with, this is it. It is thick enough to not easily tear like ultra-thin rice papers, etc. and the quality of print, at least with Epson ink at the highest quality setting, is better than other papers of this weight. The cost is actually not bad, all things considered.",5,"If you want a thin ink jet paper, this is it.",1384992000,"11 21, 2013",0.2498
6,A2R6RA8FRBS608,B00005MJS0,Matthew G. Sherwin,"[5, 5]","I recently tried this paper to use with my HP inkjet printer that is about two years old. I am very impressed. In fact, this multipurpose 108 brightness paper (yes, that's what they advertise, 108 brightness) by Epson gives you something to sing about! I use this paper with my inkjet printers; and I can use it to make signs to tape to my front door indicating to delivery people which doorbell to ring! Actually, it's good for just about anything I need to print with my inkjet printer, including intense colors or artwork from a webpage that I want to keep in printed form for my records. The paper may buckle ever so slightly if you have to print a large square, circle or rectangular shape in a single color; but this buckling isn't too noticeable.In addition, this paper practically never jams in my printer at home. Nevertheless, I always fan the paper to make extra certain that it doesn't jam. After I fan the paper to make sure two pieces of paper aren't stuck to each other, then I place it in my inkjet printer tray.Each page is a clean cut 8 inches by 11 inches. Great! Although they don't say this, I would imagine that this paper can also be used in copiers, plain paper fax machine and maybe even in laser printers. If you want to use this paper with laser printers, print out a test page or two before you buy several reams.This paper never goes stale, so stock up on it if you can catch a sale on it. As of this writing, the Amazon price seems a bit high so check with Amazon to make sure that the above price is correct.In any event, this is excellent paper; and I highly recommend this product.",5,excellent paper for inkjets and maybe even more--check the price before you buy it !!!,1239321600,"04 10, 2009",0.3944
7,A3CPSTC1T4YF9X,B00005MJS0,Michael R. Palmeter,"[0, 0]",This is great paper and it produces excellent quality output. very crisp and nice colors. My only complaint is the price.,5,"Great paper, but a little on the expensive side",1382313600,"10 21, 2013",0.3353
8,A276OI0NHBYORX,B00005MJS0,Rebecca N,"[1, 1]","Not that I would steal from work. Just saying - it's a quality paper, well worth the price. It's brighter and crisper than your typical office copy/printer paper.",4,nicer than stealing from work,1354579200,"12 4, 2012",0.1156
9,A1FEE54PAZVEKV,B00005MJS0,rob,"[0, 0]",Bought this epson paper to go along with new printer.,5,Five Stars,1404518400,"07 5, 2014",0.0
