,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A16T4N63HERNK1,B000006RGR,A. Deskins WVBullrider,"[2, 3]",this game lacked the ability to live up to name Tomb Raider its more of a City Raider half the levels deal with city-time scenery. and 80% of the enemies are humans. more like a 007 than a Tomb Raider - but the game play is fun in the cities (Venice) so i cant complain too much - just wasnt feelin the whole China scene. I liked to level skip those. and the twist at the end was a lil boost - so all in all ill give it 5stars - but it lacked challenge for me - i beat it in a week. just run around and jump for the most part.,5,imma critic with this one...,1151107200,"06 24, 2006",0.2098
1,A3HTX1NOTTWERP,B000006RGR,Busy Body,"[13, 14]","Tomb Raider 2 is my absolute favourite PlayStation game of all-time! I bought the game in December 1997, around the same time I got my PlayStation. But I never really liked Tomb Raider 2 and only managed to get halfway through the first level, before forgetting about it for a while. Four years later, in the summer of 2001, I dug it out again and decided to give it a go with the help of a strategy guide. What a shock I got!After the phenomenal, worldwide success of the original Tomb Raider in November 1996, the Eidos Interactive guys put together the sequel, which, in a rare case, surpasses the original with flying colours. To save the game in the first, you had to find a crystal before continuing, wheras in Tomb Raider 2 you have the ability to save the game whenever you feel like. This comes as a great help, especially before taking off into a running jump over deep caverns and steep slopes. Lara also has much greater weaponary comapred to the last game. The first game featured Pistols, Shotgun and Uzis - that was about it. But with this game, you get weapons such as the Grenade Launcher and an M-16 Assault Rifle. While Tomb Raider 1 focused more on enemies in animal form, Tomb Raider 2 has a more worldly feel because the foes are mostly human. But the most notable change on Tomb Raider 2 is the welcome addition of vehicles. Tomb Raider featured none what so ever, but Tomb Raider 2 has a wide variety from the enjoyable speedboat in Venice and the snowmobile in Tibetian Foothills. Lara also took advantage of a make-over. The graphics where background scenery is concerned is still the same as the first game, but Lara herself has changed a lot; her hair is no longer tied in a bun, but flows freely down her back in a pony tail. The reason this wasn't featured in the first game is because the technology wasn't good enough for her hair to be in a pony tail - they couldn't get it to move in motion with her body (rather silly when you think about it now). Lara also possesses the ability to climb certain surfaces. The improved engine also served better lighting facilities, which allowed Ms Croft the ability to wield flares whenever she finds herself in dark areas. When it comes to the levels, the highlights are Venice, Offshore Rig, Tibetian Foothills (short but sweet - involves driving to one end of a road over pits to find a key, before driving all the way back to open a door that allows you to exit and begin the next level), Barkhang Monastery (HINT: Whatever you do, DON'T shoot the monks, they are here to help! They will dispatch any henchmen who try to kill you so you don't have to kill them! Accidently shoot one, and you'll have hundreds of monks trying to kill you!) and Temple of Xian.OVERALL GRADE: 10/10Tomb Raider 2 is, in my opinion, the greatest PlayStation game there has ever been. Yes, the graphics are laughable now because they have come so far since - especially on the PlayStation 2 and X-Box, but it all boils down to how enjoyable the game is. And in that category, it is still the most enjoyable and exciting game ever. Hundreds of titles try to replicate the suspense and adventure that is seen in the Tomb Raider games and fail miserably. Buy this now from Amazon - it'd be a shame not to and to ignore it would be missing out on one of the most classic video games of all time...",5,The Best PlayStation Game Of All Time!,1032998400,"09 26, 2002",0.1682
2,A2W5BVUPEVX1ME,B000006RGR,Christian Tucholske,"[0, 0]","They took what was great about the first and somehow made it twice as good. These games are still great for people looking for a challenge, but I would advise first-time players to play the series in order, as each game builds up from the hardest point of the previous one by making difficult-to-learn skills from the previous one rudimentary things you NEED to know in order to play the next, as well as adding a bunch of new tricks and surprises. But, even though there isn't as much actual &#34;Tomb Raiding&#34; in this one, it is definitely a step up from the previous version. Also includes an awesome bonus level at the end where Lara's house is raided by a Mafia strike team. Although, does not include the other bonus levels from the extended version of the game. (The extended version has two more levels, but it's only for the PC)",5,TR2,1402012800,"06 6, 2014",0.5971
3,A28R83ADQPMF2X,B000006RGR,Chris W.,"[2, 2]","From the Great Wall of China to the canals of Venice, Tomb Raider II is the rare case in which a sequel is better than an original. In fact, I find this game to be my favorite of the series. In it the legendary Lara Croft sets out to find the Dagger of Xion. In her quest she navigates the globe, and even takes a couple of trips to strange and magical new worlds.Tomb Raider II offers significant improvements over the original, and its game play exceeds the other games that follow in the series. The game has drastically overhauled weapons and artificial intelligence. Though the puzzles are not as hard as later versions, they still are quite difficult. Lara has new moves, many new weapons, and more dangerous foes. What more could a Tomb Raider fan - or even the casual gamer - ask for?I highly recommend this game, whether you are an avid Tomb Raider fan or somebody new to the series. I don't believe you will be disappointed - in fact, you will probably find many hours of action filled entertainment. And if you do enjoy it, I strongly recommend other games in this series.",5,The Best Game in an Outstanding Series,1024444800,"06 19, 2002",0.2415
4,A2J55HYXQYGZXB,B000006RGR,J. Acosta Johnny,"[0, 0]",By far this game it's much more fair than the original Tomb Raider. This one at least let you safe the progress anywhere in the game without looking for any type of save crystals which made original game incredibly difficult and punishing. This sequel may not be the best game out there for the PS1 but at least it's a bit more fun to play.,3,A better game than the original,1236729600,"03 11, 2009",0.6498
5,A3JX74J0LE924A,B000006RGR,Lisa Houghtaling,"[2, 3]","This game is great to get into and back again never mind. So the level's are great you get to go Tibet, China, Venice and a sunken, ship. The background is not so good but it's ok.And you get small heath and large heath packs. These heath packs will be somewhere in the game keep a good eye out for them.Arm yourself with:automatic pistols, harpoon gun, rocket launcher, M16 rifle, Uzis, shotguns, flares and more!Kill them or be kill by:monks, yetis, great white sharks, killer eels, dobermans and more. BE CAREFUL PLEASE!!Your quest is for THE DAGGER OF XIAN.It's hidden somewhere out there I know do you?And the good news is lara is BACK!",5,Tomb Raider 2!!!,1027468800,"07 24, 2002",0.2232
6,APS7IH14C8AZ9,B000006RGR,M. King The super mario nerd,"[0, 0]","I recently started re-playing this game to find that it is actually quite fun. I remember first playing this game when i was a little kid at my friends house but never gave it any attention. I just thought of it to be boring and hard. But since i remembered it, i sadly asked him if i could borrow it and he said sure, keep it. So i did. Anyways, when i started it up, i remembered everything about the first mission, very hard especially without anymore ps1 memory cards. When i finally beat the first mission. The Wall It sadly took me hours, because after those tumbling rocks after you, you got ran over easy and died. Every time you die you have to restart the whole mission, so this is what took me the most time. Soon i got on to the second mission, i got pretty far but then the disc old and scratched up quit on me. It kept freezing. I have had this problem many times before on the first mission, so i had to restart it back up again. After that i pretty much quit. This is why i keep all of my games in their cases. So they will work about 10 years later. Sorry for such a bad review but later i looked up online and watched the whole thing, well the missions in speedy time. And saw how good the game layouts and graphics were. I really enjoyed this game, well the first couple missions of it. So maybe i will buy a ps1 memory card and start to savin' soon.",5,Tomb Raider II,1275436800,"06 2, 2010",0.0198
7,A1HAL6ZQ8MUJSD,B000006RGR,mr_bunghole,"[6, 6]","The first Tomb Raider was a classic in terms of its 3D gameplay, sense of exploration through massive levels, and a unique main character. The 2nd installment in the TR series is not much different. The levels are still HUGE, and exploration is still the name of the game. But this time around, the environments and enemies are more varied, there are more action-based enemy sequences than the first, and the difficulty level has been approriately increased. In terms of the level of challenge, I feel that this is the best in the series. The later Tomb Raider series felt frustrating and downright cheap at times. This one is definitely not a cakewalk, but is very possible without a strategy guide. You don't feel as though you have to play for half an hour just to get into the next room. Progress is slow, but steady, and you don't ever need 6 or 7 different items to move on. Progress is more based on actually getting where you want to go rather than finding the right items or hitting the right combination of switches. Some of the level designs are incredible, such as the Venice-based levels, the Opera House, the beastly Barkhang Monestary and the massive Temple Of Xian. This is the key strength of the first two TR installments, and why the more recent ones have been less inspiring. Resourcefulness and attention to the environment is extremely key, as medipacks are in light supply in this game. Also, every level has 3 secrets in the form of dragons. You do not receive the bonus items unless you find all 3 dragons in the level, making exploration even more vital in building your inventory. Finding at least 2 of the dragons in every level should be quite easy, but some levels have one especially well-hidden dragon. The gold dragons in the first two levels are remarkably difficult, but the reward of finding them (especially the first one) is worth it. If you didn't like the first Tomb Raider, this game won't change your mind. If you were blown away by the first installment (or even the 3rd, 4th or 5th) then this game is a real treat.",5,Still holds up,1045526400,"02 18, 2003",0.1793
8,A39F4UX8FG7T27,B000006RGR,MrPhinn,"[0, 0]","I recently backtracked and played all of the earlier Tomb Raider games. (avoid Angel of Darkness. Horrible game) TR2 is about as fun as they come. Graphics are outdated of course, but there is so much to do and to much fun to be had. The game is long, keeps your interest, has plenty of cool weapons, and a good story. I'd love to see this game redone with today's technology. 10 out of 10.If you're a TR fan and haven't played this, I'd advise that you do.",5,Old school fun,1322524800,"11 29, 2011",0.259
9,A2X0B2YJ50W7HU,B000006RGR,musiqstar87 Erick,"[3, 3]","Tomb Raider 2 is by far the best sequel game out right now. Lara kicks way more...in this one then in the first. Some of the reasons why are listed here:Excellent 3D levels such as -1. The Great Wall2. Venice3. Bartolli's Hideout4. Opera House5. Offshore Rig6. Diving Area7. 40 Fathoms8. Wreck Of The Mario Doria9. Living Quarters10. The Deck11. Tibetan Foothills12. Barkhang Monestary13. Catacombs Of The Talion14. Ice Palace15. Temple Of Xian16. Floating Islands17. Dragon's LairEpilouge: Home Sweet HomeKick...weapons like -PistolsUzisMagnumsShotgunGrenade LauncherM16 Machine GunHarpoon GunAwesome new enemy's like -T-Rex'sRaptorsGuardian Of The Talionand A DragonTomb Raider 2 is an awesome game, but, my favorite in the series has to be Tomb Raider 3!Below i have included a list (in order) of my favorite Tomb Raider games:1. Tomb Raider 32. Tomb Raider 4: Last Revelations3. Tomb Raider 24. Tomb Raider 5: Chronicles5. Tomb Raider...",5,Best sequel i've ever seen...,1025568000,"07 2, 2002",0.0734
