,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1LBAC84TLIGAX,B00000J2W7,ACEMAN1 HERE TO PISS YOU OFF,"[0, 0]","When it comes to fighting games I spend most of my time playing with the Street Fighter or Dead or Alive crew, but at times I do get fighting time with the Smash Bros. crew. The fighting mechanics are still awesome and function well, the environments are still cool, the destruciton of your enemies or a friend is still loads of fun. Although this game has likely been forgotten since the launch of its Gamecube sequel, it's still a classic that should not be forgotten by any fighting fan. There's still fun stuff to unlock, like new characters. The only complaint I have against this game is the fact that it feels too easy at times. Still it never gets old to kick the crap out of Jigglypuff and send her flying or Pikachu.",5,AN AMAZING FIGHTER 9.25 OUT OF 10,1195776000,"11 23, 2007",0.101
1,A1KD86ZUPBA42Z,B00000J2W7,Adam Cady,"[6, 8]","First, get this straight. If you're one of those Nintendo owners who invites all their buddies over to have a go at Goldeneye, Mario Party, Beetle Adventure Racing and all those other multiplayer classics, Super Smash is the game for you. Unless one of your friends has it. You see, Super Smash doesn't really achieve much in the single player adventure. This is due to the fact that it simply isn't fun to beat up people by yourself. Who are you going to taunt and yell at? The television screen? I'll give you some inside information: it won't yell back. The levels and characters get tedious and boring really really fast. But as a multiplayer romp, Super Smash achieves all that a fighting game can. It is fun, but only in groups.",3,Lets smash something! Then be really bored!,987897600,"04 22, 2001",0.2152
2,A8TCAEBMUQ3VP,B00000J2W7,adidas21012,"[3, 5]","Most N64 games are easy to get sick of but this one, the fun lasts forever. It is so fun to play",5,!!!!!,969840000,"09 25, 2000",0.7138
3,AAYW1H4SMNOI,B00000J2W7,AFP AFP,"[2, 2]","This game is simply amazing, you can't disagree, it is so fun, never repetative because everyday I would invite friends over to my house and we would play for hours and hours. The gameplay is great, if your into Melee it is similar but it takes a while getting use to the controls of the Gamecube. I was a master at this game, I loves it so much, a character I recommend that all beginners should use would be Fox, he is the easiest to use, but he is also very good if you can use him right. Jigglypuff and Ness are not for beginners, but Metronome might be the strongest move in the game. This is a fantastic game, unlock characters, set new records for your vs matches because every match you have goes down into the record column. This is a must have for N64 whether you are 10 or 20! Remember though, play with friends, not by yourself!",5,An amazing game for its time!,1011916800,"01 25, 2002",0.5741
4,A2STFML5UVP3WY,B00000J2W7,Alexander Vargas,"[0, 0]","This game may be old, but it's still pretty amazing. You can never go wrong with SSB, so stop reading this and buy the game. Just wish they weren't 50 bucks",5,My GOD!!,1362614400,"03 7, 2013",0.4033
5,A3NLI44GQY8K48,B00000J2W7,Amazon Customer,"[0, 0]","Very fun to play as your favorite characters. I still like from this game how tight the gameplay is and how each character feels unique. I think in previous incarnations they have gotten a bit of this back, but this game I truely felt different playing Kirby than I did DK.",5,Very fun still to this day,1306022400,"05 22, 2011",0.5025
6,A28L8V3FT0B2VW,B00000J2W7,Andrea E. Feeser,"[0, 0]","This is a great personal combat game, especially for children. I much prefer Tekken, but this game is also fun. There is no blood or gore. You chose from characters that star in other Nintendo games, and each has their own powers. My sons (ages 6, 8 and 10) love this game. Highly recommended for children (and adults)!",4,Great personal combat game,1011571200,"01 21, 2002",0.2908
7,A3JREFPB1P4SR1,B00000J2W7,Anne Tavis,"[0, 0]","This was one of my first video games i played.Its addeticing, great graphics for a nintendo 64 game,all the charaters have diffrent moves and abilites.Theres all kind of wepons and POKO BALLS!I have the ps2, and ps3, and i still play this game.And do u no why,BECAUSE THIS GAME IS SO FUN!",5,Super Smash Bros Is Da BOMB!,1213833600,"06 19, 2008",0.9179
8,A1YB9JNX56PA0I,B00000J2W7,Aphole Aphole,"[0, 0]","If you see this game around Immediatly purchase it on the spot. this game can provide hours and hours of multiplayer fun. (1 player is boring but better than playing multiplayer by lonesome) there a alot of unlockable characters that are pretty cool here tehy are: Captain Falcon from F-zero series, Ness from the rare Earthbound series, Jigglypuff from pokemon, Luigi from the Mario Bros. series, And if you have a gameshark there are cool codes the allow you to be the boss of the Smash Bros. titles, (Master Hand) and you could also be Metal Mario with a Gameshark. cool huh? have fun and train. This isn't one of those titles you can just rent and enjoy you gotta own it for it to be fun.",5,One of the Best and Must-have games for the N64 Console,1130630400,"10 30, 2005",0.5093
9,A3BEJOL2X8PS8I,B00000J2W7,ATHF Fan,"[0, 0]","Supersmash Bros. , is one of the most fun N64 games. It has few problems which include not the best graphics and lack of replay value. You will have an exellent time playing though (I recomend playing as Donkey Kong), overall its hard not to like. A great game check it out.",4,"Great game but needs more replay, it's hard not like though.",976579200,"12 12, 2000",0.1222
10,A383546WRGLURU,B00000J2W7,beastwarking,"[2, 2]","The N64 had its share of ups and downs, but when it hit up, boy does it hit it. This is the ultimate party game. Invite some friends over, order a pizza, and watch the mayhem unfold. The controls and graphics have aged well, with the colors remaining bright and colorful and the moves still being easy to pull off.The one downside is that the single player mode hasn't aged as well. Unlocking the four hidden characters is pretty simplistic, though it's hard to fault a 14ish year old game for that. This is a fantastic buy for anyone who wants to start up their collection of N64 games or for anyone looking for a great party experience",5,"If you own a Nintendo 64, then you should own this game",1367452800,"05 2, 2013",0.4437
11,A2I9FGQXFX4OVW,B00000J2W7,BeDazzler,"[1, 1]","Growing up as a Super Smash Brothers fan, I played this game with my brother and sister for hours on end. It is so fun and the gameplay is simple too. Even though this game is older, the graphics are still really really good. In my opinion, this is a must have classic because of its huge impact on the gaming community. Anyone who played this growing up knows how special this game is. And it REALLY is.",5,A CLASSIC!,1370131200,"06 2, 2013",0.511
