,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3SC04DC5TLYSP,B00004SR8Z,Amanda Winstead,"[8, 11]","This pouch is lightweight and comfortable to wear, and I liked the very adjustable strap. However, I would like for the pouch to be a couple of inches longer to accommodate the length of a standard boarding pass. I was surprised that it was too short as it seems to me that travel documents would the the most likely thing to store here, but it could not be closed unless I bent the passes which then made them difficult to remove. A minor gripe, overall I'm satisfied.",3,Would like it to be a bit longer,1335139200,"04 23, 2012",0.272
1,A240W3C2Z3WQCQ,B00004SR8Z,Anne K. Blake Rootsgal,"[2, 3]","This is a Christmas gift for my sixteen year old son. He likes things basic, and this is exactly that. A basic passport and money holder for travel. The color is not like the picture at all, but I am keeping it and letting him decide.The very light beige will get dirty quickly.The zippered section is fine. I wish the passport section had a zipper instead of velcro. For the price, it is adequate.",4,Small but functional,1323648000,"12 12, 2011",0.1659
2,A1WCJS4L2L1WQ,B00004SR8Z,book-lover,"[1, 1]","I bought two of these pouches for a recent vacation to Europe. It was comfortable to wear as long as I didn't put too much in it. It was fine with credit cards, driver's license and some cash but when I added my passport it became a bit heavy and bulky, but not prohibitively so. I think if you are planning on carrying your passport with credit cards it will work well for you, but if you are not planning on carrying your passport around, a pouch that is smaller might work better.This pouch is likely a good size if you are carrying quite a bit of stuff, but it will stick out under your clothes if your passport is in it. A lot more comfortable with only a bit of cash and credit cards.It is also a l longer in length than I realized. Its so long that I could wear it around my neck and tuck it into my pants. My daughter refused to wear it since it is quite bulky under your clothes.",4,did the job,1375574400,"08 4, 2013",0.2991
3,A37U7Y7IPIHBFB,B00004SR8Z,butterflygal3 hummingbird3,"[20, 20]",This is the type of pouch recommended by TV travel hosts. Bought one for my son for trip to France; VERY HANDY and VERY HIDDEN.RECOMMEND.,5,Travel safety,1243209600,"05 25, 2009",0.1012
4,A1X6ZPF88LTHGJ,B00004SR8Z,Debra,"[0, 0]","I recently used this neck stash on a two week trip to France. It was wonderful! I loved it at the airport and at train stations, especially. It is so helpful to have my hands free yet my passport and bording pass (or train ticket) ready to pull right out instead of fumbling in a purse. I also carried money and credit cards in it and in extremely crowded tourist areas (like the Eiffel Tower) I wore it under my shirt for extra security. It's lightweight and the adjustable neck strap, when adjusted properly, makes this pretty unnoticeable under a shirt. I love the different compartments, as this makes it easier to find what you're looking for right away.",5,Excellent travel accessory,1350950400,"10 23, 2012",0.5992
5,A1UWE64CPO197G,B00004SR8Z,Doug Martin,"[0, 0]","This neck stash is very comfortable and it's a nice size. There are two zippered pockets for cards, passports, cash, etc. and a large velcro flap for larger bills or boarding passes.",4,"Comfortable, Nice Size",1345075200,"08 16, 2012",0.25
6,A1DXE6GODEAXS2,B00004SR8Z,jensenca1,"[0, 0]","There's nothing special here, but this is what I expected. It's very light weight, and I suspect it wouldn't hold up to much abuse, but hard to beat the price. My only real complaint is that the zipper pockets are only barely big enough for my passport, so it takes more concentration than I'd prefer to use them for passport storage.",4,A good neck pouch,1393632000,"03 1, 2014",-0.3474
7,A11EKRR0LDL893,B00004SR8Z,kimberlyx,"[0, 0]","Quality material, easy to wash and dry, lots of zipper areas and holds more paperwork and currency than you could imagine from seeing just pictures of it. Discreet and comfy to wear around neck for men or women.",5,Incredible bargain...,1386115200,"12 4, 2013",0.2202
8,A3J9UVDJ5OZSSY,B00004SR8Z,KLKota,"[0, 2]","I haven't used this yet, but I purchased it for my next trip. I already have a waist wallet, but I can't get to it without going to a restroom and partially undressing. This seemed much simpler to use.",4,Deluxe Neck Stash,1336435200,"05 8, 2012",0.0
9,A1YLFVE9IEMDMR,B00004SR8Z,leslie schneider,"[0, 0]","I really like this. I ordered several different ones but this one is really convenient for the documents I want to carry close and safe where I can get to them easily,",5,travel safety,1400889600,"05 24, 2014",0.6163
10,A38VYAG164NBSQ,B00004SR8Z,Marvin Zigman,"[0, 0]","I wore this one all over medetaranean. I felt safe EVEN in the Istanbul Grand Bazzar, the most crowded, pushy, pickpocket attracting place on Earth.",4,Wore all over medetaranean cruise and ports,1383177600,"10 31, 2013",0.3832
11,AF46F8IQ6GZLW,B00004SR8Z,me,"[0, 0]","Purchased two of these for a European Trip. They were invaluable. We placed our money, cards and passport in them and tucked them under shirts and out of sight. Light weight and they DO NOT rub or irritate the skin which surprised me. they are washable too!",5,Wise Purchase,1388620800,"01 2, 2014",0.0999
12,A2WN31HANFD17K,B00004SR8Z,MollieOllieOxenFree,"[0, 0]","the last time i travelled i got one of the waist ones, and it was so annoying i never used it. i haven't yet really used this one but i already feel much better about it. i tried it out when i first opened the box when it came and wore it for a bit around my neck. i don't like the toggle, but i doubled up the strap and tucked the toggle in the top flap of the stash and it works great. i also wrapped it around my calf just below my knee to see if that would work too. it worked just fine and i might wear it there when i wear my boots. i'm not sure if it really needs all those different departments, but that's ok. i don't think it's too big or too small.",4,better than the last one i had,1349481600,"10 6, 2012",0.134
13,A2TYOUN7A2UVAU,B00004SR8Z,mom3girls,"[0, 0]","This travel pouch is just as described. It fits effortlessly under a shirt and holds all your valuables. My husband won't use it because it feels like a purse to him, but that is just because he is ultra manly.",5,good buy,1392768000,"02 19, 2014",0.2223
14,AIO4HX0KOLM73,B00004SR8Z,Naynay,"[1, 1]","This has a lot of pockets and yet is very slim. Took this on a trip outside of the US and the item was lightweight, discreet and very handy. Holds 4 passports easily along with receipts.",5,Very thin and easy to clean,1355011200,"12 9, 2012",0.1133
15,ACVB24PN5KS0A,B00004SR8Z,Patti,"[1, 1]","great no one got my good stuff It was all hanging around my neck. sturdy and durable, i bought one for my husband",5,great,1362355200,"03 4, 2013",0.3502
16,A13XISH6C2F7L9,B00004SR8Z,R. Fairchild The Tactical Computer Guy,"[1, 1]","It might just be me. Although it seems well made and sized right. It just seems a bit flimsy to me. I debate if I really should not give it 5 stars as it does everything it advertises itself. When I travel out of country, I have this around my neck and under one layer of clothing. I have my &#34;throw away&#34; wallet in my pocket with expired cards and a few dollars.I like the various pockets and zippered security to keep things in place. The neck cord is a little long so I had to tie it off so the stash would fall mid chest making it a bit more concealed.4.5 stars - minus 1/2 star for long cord and a flimsy feel. Again though perhaps being flimsy is a good thing being under clothing making it conceal more.",4,"Not bad, a little flimsy",1395273600,"03 20, 2014",0.1641
17,A3RZ1B9B5A6TYF,B00004SR8Z,Shelly,"[0, 0]",My dad travels a lot and that is an understatement. I got this item for him for when he was going to some shady places and he got a lot of use out of it.,5,Got this for my traveling 60+ year old dad.,1378339200,"09 5, 2013",0.0
18,A1T7PS2VAS1RTC,B00004SR8Z,Suzi Q,"[0, 0]",The item arrived on time in perfect condition. I took a 3 week trip to Africa and it was the perfect item to have!,5,Perfect for travel,1394064000,"03 6, 2014",0.5917
