,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,ANUQG4DWEXRA2,B0000ANDU4,Aaron,"[0, 0]",I usually wear a 35x30 so I went with a 36x30 and there to small in the waist I recommend going a couple sizes larger in the waist. The length was fine.,3,Waist is to small!,1391817600,"02 8, 2014",0.2818
1,A1TXBFOZR70BUQ,B0000ANDU4,A. Blanco,"[0, 0]",They feel very well made and they fit well. Loose but not baggy. Have worn thermals underneath and they don't feel tight. I pick up the black in 36x32. I am now looking to pick up another pair in the brown. Highly recommend.,5,Working men only.,1388880000,"01 5, 2014",0.1127
2,A2V1XO7SDU4XQZ,B0000ANDU4,adjective,"[0, 0]","Pretty much every construction worker seems to own a pair of these, in classic Carhartt brown. Every semi-feral hobo kid seems to have these, or the overalls, or the double-fronted ones in black (to hide the dirt.) I wear them because they're the hardest-wearing, most comfortable work pants for the money, very close to the gold standard (Duluth Trading Company edges them out on quality by half a notch, but their stuff costs more.)Not only do the pants last longer than the GAP and Dockers pants, they also meet most peoples' contemporary standards of casual attire, and don't look out of place with a polo or Oxford shirt. Once broken-in, they're quite comfortable, with a loose but not baggy cut that can fit over a pair of long johns without chafing in cold weather. They've made jeans obsolete in my wardrobe, being tougher and much better-looking street clothes. Good stuff--buy a pair if you haven't already.",5,best work pants for the money,1315699200,"09 11, 2011",0.2254
3,A39W0BUKSMVZ09,B0000ANDU4,Alec,"[0, 0]",Great pants to wear while working in the yard or to stay warm on snowy days. Nice heavy thick material.,4,Great pants,1391040000,"01 30, 2014",0.5699
4,AZ6GGN861Z6X7,B0000ANDU4,AmazonReviewer,"[0, 0]",We've bought these time and time again because they're such a great buy. They last a very long time due to the type of fabric and they fit great. My brother has asked for a new pair every Christmas for the past few years because he loves them so much!,5,He loves them!,1391040000,"01 30, 2014",0.6671
5,A28OPTOP8IBVHF,B0000ANDU4,ANANDA TRULLEY,"[0, 0]","These pants fit just great. Not too tight as to restrict movement, but not overly baggy or anything. They seem very durable.",5,Very Nice,1391644800,"02 6, 2014",0.1876
6,A36HBGDEFPWD0U,B0000ANDU4,Brett,"[1, 1]","These pants come so close to being perfect! The fit and color were accurate and true to amazon's descriptions. They are stiff at first, almost like wearing a new burlap bag. A few washes later and they're getting much better. If you leave them in the dryer they will dry pretty wrinkled and in the wrinkle's creases it leaves faint white marks. I have no idea what these are, but they are unsightly. They also come with a slight boot cut which makes them fit perfectly until it gets to the knee, they it looks baggy. My biggest complaint is lack of security in the pockets. Aren't these suppose to be for rugged carpenters and outdoorsmens? None of the pockets have any buttons or even velcro. I spend a nervous day in downtown New York City constantly feeling my pockets to make sure my wallet and phone hadn't slipped out. Other than that, I love them. They are constructed like Fort Knox. The crotch definitely isn't going to split anytime soon. I can see these lasting for years.",4,Just about perfect,1324944000,"12 27, 2011",0.2877
7,A1Z5WRHOERLUXJ,B0000ANDU4,cared99,"[0, 0]","I bought these for my husband and they are indestructible! He's been wearing them for years. The only bad thing about them, is that they do fade, but not near as bad as other brands of work pants!",5,Great work pants!,1366848000,"04 25, 2013",0.2164
8,A1VU5WXD0FORWE,B0000ANDU4,Cindy,"[0, 0]","My son is rough and tough, with an athletic build! We originally purchased his Carhart pants for hunting. However, he wears them to school, in the snow and for all his outdoor activities. He started something, because a lot of boys are wearing them to school now. No matter how much dirt he piles on, they aways come clean.",5,Rough and Tough pants that fit well.,1393459200,"02 27, 2014",-0.0284
9,A1TPVI9Y0V73T,B0000ANDU4,COFFEY-HAMILTON :0),"[1, 1]",my husband works construction and the double knee + heavy weight prevents me from having to mend pants all weekend long,4,my husband likes them,1373414400,"07 10, 2013",0.0772
10,A1PTTEX0P5Z0ME,B0000ANDU4,CSERN,"[0, 0]","Got the canvas pant as well and Grandson was so pleased. These are a little stiffer, but quality is unmistakable! He will be wearing these forever!",5,Carhartt Washed Duck Dungaree,1357171200,"01 3, 2013",0.2347
11,AYO04GP4FZ3EZ,B0000ANDU4,D. Bailey Debbie,"[0, 0]","good pants, just a bit over priced in my opinion. if they last for a while then I suppose that warrants the price",4,quality,1365638400,"04 11, 2013",0.2202
12,A3UPUTSE94CJ2M,B0000ANDU4,Derek G. Bevan,"[0, 0]","These pants are well made, are comfortable but smart, and have that feel of quality which makes you feel good.",5,almost too good for work,1390348800,"01 22, 2014",0.8779
13,A8KH1V8ULTE6C,B0000ANDU4,Doug Adam Jr.,"[0, 0]","I work at an Auto Parts store, and these are perfect for that type of environment.... as I am always on the move, and constantly have to either squat down, or move up a ladder. These are not only comfortable, they put up to the strain of a fast-paced work environment",5,Comfortable and Durable,1355702400,"12 17, 2012",0.0655
14,ADKYANLVMPKSC,B0000ANDU4,evan,"[0, 0]",carhartt mean quality. plain and simple.i only wear carhartt pants and shorts. nothing else. you simply can't beat the durability and comfort.,5,carhratt.,1403049600,"06 18, 2014",0.0903
15,A3PF6M11V5R886,B0000ANDU4,Evan,"[1, 2]","Ordered two pairs, same size. First pair fits with plenty of room, second pair I can't even button and they're too short. Both say the waist is a 33... Looks like more people are having this problem, likely has something to do with the quality control of their new outsourced plant. Won't be buying these off Amazon anymore, seeing as the size is basically a complete guess. Would recommend buying them in store where you can try on the pants first to make sure they fit. Waited too long and now I can't return them. Great pants, just wish they'd fit. This is the second time I've been disappointed with Carhartt in the last two months.",3,Sizes are all over the place,1382918400,"10 28, 2013",0.1421
16,AJJZM3UJRW0ZF,B0000ANDU4,Gloria A Rawlins,"[0, 0]",I got these for my husband who is a general contractor. He usually rips the regular pants in 2 or 3 wearings. I will see how long he keeps these. He likes the fit and it appears to be durable. The fabric looks really strong. I have since ordered 2 more pairs in different colors. Thank you.,4,Great fit,1380240000,"09 27, 2013",0.2237
17,A3LYAEJ94RRJJH,B0000ANDU4,GMO,"[0, 0]","Like all Carhartt products, these pants are extremely well made, they fit well, are comfortable and look great. High quality at a reasonable price!",5,Unmistakable Carhartt Quality,1385942400,"12 2, 2013",0.4711
18,A2SL7A3E3NPK4G,B0000ANDU4,Jen Caudle,"[0, 0]","Light weight, durable, true to size, and they look great on my husband. Men cannot go wrong with Carhartt brand clothing.",5,Great casual pants,1364688000,"03 31, 2013",0.5785
19,A3UXGXE3GC09PP,B0000ANDU4,J R B ?,"[0, 0]","These are the most comfortable pieces of clothing I wear. After the third or fourth time I wore them, unreal fit. Just amazing.",4,Great Pants. Awesome when fully broken in!!,1395014400,"03 17, 2014",0.5011
20,A319DV9CKUT067,B0000ANDU4,J. Reed,"[0, 0]","Great pants. I own 3 pair. Good fit, comfortable, and tough. Just what you'd expect from Carhartt. Spend the money",5,Carhartt quality,1386374400,"12 7, 2013",0.2854
21,AFRZL05D54MPM,B0000ANDU4,JWolf,"[1, 1]","These are good, quality pants perfect for outdoor hiking. They hold up to snags on vegetation and stay dry pretty easily. I did have some difficulty with maneuverability, but I am demand so this may be attributed to the fact that these pants are tailored for men. They have worked well for me and have good pockets and warmth.",3,Quality,1382918400,"10 28, 2013",0.4714
22,A247CM03GAYXEW,B0000ANDU4,Labguy,"[0, 0]",This is without a doubt the leader in the work pant world. You would be hard pressed to find anything that compares to Carhartt quality and value. Great selection of colors as well.,5,tougher than nails,1323734400,"12 13, 2011",0.4202
23,A3OS08H6KAWIIG,B0000ANDU4,Lee Carey cabinetman,"[1, 1]","I'm a Cabinetmaker with 35 years of experience. I've been wearing this type of Carhartt pants for years. They are very comfortable, have plenty of pockets for various tools and pencils, etc. They get excellent wear and run tru to size.",5,Best Work Pants!,1335052800,"04 22, 2012",0.2821
24,A1FYAROLGSUZ4B,B0000ANDU4,Michael H fiction lover,"[0, 0]","I bought Carhartt work dungarees since I wanted durable pants I could use for snow blowing, cutting the grass, and doing other work around the house. I also am a teacher, so I need pants that will look good for me in school. These pants sure are just right for outdoor work and school. What I like is the back pockets are nice and large. My over-sized wallet fits perfectly. The front pockets are big enough and sturdy enough to hold everything you want to put inside. The other benefit is that since they are work dungarees, the pockets are designed to carry all sorts of items in them without getting holes in them.I am a physically larger person and these pants actually make me look good. They fit really well. The best part is that when you bend, stretch, or pick up something you aren't going to have a blow out on the side of the pants or in the crotch area. I just wish I had purchased these about ten years ago. There are also added side pockets for tools or whatever you want. The material is great and also the pants fit a bit loose, which I like. The material doesn't chafe you, but you can tell it can stand up to wear and tear. If you are a hard-on-clothing sort of person, then buy these pants. You won't regret it.",5,Great Pants--Just Need to Be Washed to Fit Perfectly,1391817600,"02 8, 2014",0.3681
25,A2PQUL8TI4P4HV,B0000ANDU4,Nakkiel,"[0, 0]","The fit is slightly tight for my normal size, so maybe order 1 size up. They are very durable, but not all that comfortable. A lot of pet hair also clings to these. Looks strange walking around with tons of cat hair clinging tto your pants... have never had that issue before. (Plenty of shirts that do that, never pants.) Honestly I would recommend looking elsewhere, but they aren't terrible.",3,Not bad,1377561600,"08 27, 2013",0.0557
26,AL2J625PUH5VW,B0000ANDU4,Nicholas Winn E-Bike Enthusiast,"[2, 3]","When you look at the picture you think that they might be a distressed type of fabric but actually the colors are rock solid and the material isn't wrinkled. I wear these for work with a button down shirt and tie. While they are probably designed as work pants, they do very well for a contemporary dressy look. I'm on the heavy side and find these are very roomy. The tailor actually charged me extra for these pants, she said that the seams were triple sewn(or something like that).I've had these for around 6 months and they've held up very well. I send them to the dry-cleaner and so far minimal fading.",5,Dressy Contemporary and comfortable,1293840000,"01 1, 2011",0.1356
27,AG1SL04D0ZQFY,B0000ANDU4,old and Firm,"[0, 0]",Bought these pants as a gift for my son. The quality is very good and the price is excellent for carhart.,4,Nice pants,1385510400,"11 27, 2013",0.6122
28,AYXIYKJ9FP7PU,B0000ANDU4,Patrick David Hampton,"[0, 0]",kinda long for the size I ordered could be the bottom was a bit baggy on me and made the pants hang low. But other then the legs being too long for that reason there great pants. I wear a 50 32 must be the ass end was to baggy,4,But other then the legs being too long for that reason there great pants. I wear a 50 32 must be ...,1404864000,"07 9, 2014",-0.0157
29,A1ZWKX2XRUHGYO,B0000ANDU4,Peter,"[2, 2]","Carhartt pants are always very good, these pants are very heavy duty, don't see them wearing through any time soon.",4,Heavy Duty Pants,1392854400,"02 20, 2014",0.4927
30,A1TCSESQGIXOXO,B0000ANDU4,Ron,"[0, 0]","Size runs true, great fit, durable fabric, I have several pairs-will last a very long time! Pretty decent deal, would cost you at least $10 more in a local store.",5,Perfect!,1399939200,"05 13, 2014",0.6797
31,A3S9NX0H9ZY90F,B0000ANDU4,Susan,"[0, 0]",We purchases the product because they were 100% cotton. My husband likes the way they fit and how they wash. They are heavy so there will be a concern wearing them in the summer.,4,"Like the fit, a little to heavy for summer wear.",1360108800,"02 6, 2013",0.2162
32,A2YJ1K8M0KPHMF,B0000ANDU4,techmannn techmannn,"[0, 0]","On the one hand you get triple sewn seams but on the other hand, the duck cloth is pretty standard and not thick enough for daily hard wear and tear. A typical blue jean fabric is thicker than what you get here. I love these pants for general use but for construction work? I would give them 6 months max.",4,"Great, though may not be rugged enough for daily rough work",1397606400,"04 16, 2014",0.3149
33,A334K3T4CQ9AUS,B0000ANDU4,Tool guy,"[0, 0]",They are a high quality product. I have older ones and knew what to expect and they didn't disappoint. Very comfortable,5,Comfortable work pants.,1395532800,"03 23, 2014",0.2884
