,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A389M5HYNF26PN,B00000J1QR,A. Hofer,"[4, 4]","I was looking for an economical cleaning solution for my DVDs so took a chance on these and ordered them from Amazon. I don't know what they're made of but they work great. They clean blu-ray as well as regular DVDs without a bit of scuffing or scatching. I followed the instructions and wiped the discs from the centre toward the outside edge. For fingerprints, I found it also helps to breathe on the disc before wiping. The nice thing about these is that they're re-usable until they get dirty.",5,Economical cleaning solution.,1321401600,"11 16, 2011",0.3925
1,AFNG8O2DXRCUV,B00000J1QR,Amazon Customer,"[55, 59]","I was expecting to buy a cleaning system that has at least a liquid solution, and of course those fancy ones with a machine that rotates the discs! But ended up trying this out because of it's cheap price and it's FastWipe title, but still a bit skeptical without any wet solution.I am pleasantly surprised that the dry fabric actually removed finger print and dusts rather easily with push of a thumb from center of the disc outward. The discs are cleaned within a matter of 15 to 20 seconds for a thorough job. I find myself having fun wiping the entire collection of CDs, DVDs, and blu-ray discs.",5,No kidding that it is fast!,1290470400,"11 23, 2010",0.4213
2,A33M07VZBYRMPY,B00000J1QR,Andy H.,"[0, 0]","These are good cd cleaning wipes for cleaning fingerprints, stain, and other marks on a cd to avoid going to a dvd store to get it cleaned. Good additions for cd protections.",5,great cleaning pads,1330300800,"02 27, 2012",0.3092
3,A5V1EF2BNERO9,B00000J1QR,Anne Mahoney CAT LOVER,"[4, 6]",I USED THIS ON A DISK I WAS HAVING PROBLEMS WITH. AFTER I USED THIS THE DISK PLAYED FINE.THE INSTRUCTIONS TOLD ME TO WIPE ON THE SIDE WITH NO PRINTING. I WAS ALWAYS WIPING ON TOP.,5,EXCELLENT PRODUCT,1306713600,"05 30, 2011",-0.0493
4,A3UIQ1DG8MOREB,B00000J1QR,Beverly Morten,"[0, 0]",I down load a lot of CD's and need to keep them nice and clean. I will use these wisely and keep all my music cd's clean from finger prints and dust. Thank you so much. Beverly,5,I was very much in need of this,1320796800,"11 9, 2011",0.4255
5,A3RTSHT0J64TY4,B00000J1QR,Billie J. Kersey,"[0, 0]",Had old movies that we were unable to view because they kept skipping. Gave them a good cleaning and all were view able.,4,Worked Great,1378339200,"09 5, 2013",0.2202
6,A33GQ5EG104KN7,B00000J1QR,Bruce B worker_b,"[0, 0]",I have a Netflix subscription and receive DVDs in the mail. There are a high number of these discs that have scratches and smudges on them. Rather than send it back because it won't play correctly I give them a quick wipe with these cloths and have had success with almost every DVD.,4,Seems To Work Fine,1358640000,"01 20, 2013",0.1573
7,A10QQWAYZVX2QS,B00000J1QR,Carlos V. Labrada,"[0, 0]",There is really not much you can say about a clean wipe. The product does clean fingerprints on the DVD. I'm very satisfied with the product. If it had come with a small bottle of a cleaning solution it would be even better.,4,DVD Wipes,1359849600,"02 3, 2013",0.479
8,A2SPHO9F2ZL98F,B00000J1QR,charles,"[0, 0]",These CD or DVD wipes are good for removing surface lint or smudges on Disks but dont expect them to remove serious glitches or hang ups. They are dry thats the first hing so they cant really be expected to remove any ingrained glitches but cetainly for the maintenance of disks and keeping them dust free these are very good. I was looking for somthing that would really help to illiminate some hang ups and getting stuck type glitches that I had so in fact I ended up just buying a new DVD of the same recording...but its a good product for maintenance. I guess the lesson I learnt is not to leave the disk in the player when not being used. Also the method to wipe off a disk is so important not to use a circular motion say like you would on an old LP recording..so I did in fact also learn something from the instructions as well.,4,Good but not Excellent wipes,1350777600,"10 21, 2012",0.4694
9,A2CGLPWEC9NL0E,B00000J1QR,Eva Eva,"[1, 3]",You can use a clean piece of cloth to clean your disk. It did not remove the scratches from my disk. Waste of money.,2,Not what I wanted.,1366243200,"04 18, 2013",0.0794
