,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1FT3XZ2GWQAC3,B00000J1TX,Alan Mefford,"[0, 0]",This is just a high speed USB cable and is of Belkin's normal good quality. It does what it is suppose to do and the price is excellent.,5,Typical Belkin Quality,1220054400,"08 30, 2008",0.5061
1,A320DLHQTRFL5L,B00000J1TX,AmazonKing,"[0, 0]",I had a printer I needed to connect to and this was great for doing that and the price was great for what I needed it for.,5,Great cable and great price,1333411200,"04 3, 2012",0.8481
2,A3S87ZOPB3UM9N,B00000J1TX,atmj,"[137, 152]","I had to buy a printer cable for my Epson 890. When I priced around, this could not be beat.WILL NOT WORK WITH PARALLEL PORT ONLY COMPUTERS For the person that had a previous review, this is a cable that will only work on a printer that has a USB outlet. This is not for printers that are strictly parallel port hook ups.ENDS FOR PRINTER AND COMPUTER DIFFERENT The USB end that is for the printer if you look in the photo, is the small end to the left. It is only about 3/16&quot; wide and shorter than that. The USB end for the computer is the big end to the right in the picture(about 3/8&quot; wide and shorter than that).MANY USB PRINTERS HAVE BOTH USB AND PARALLEL PORT CONNECTIONS Many USB printers have both a parallel port cable connection as well. That is one of those huge flat type ones (roughly 2&quot; wide).This may sound simple for all you computer experts out there, but with the plentitude of this type of cable or that, it can get very confusing.Great buy.",5,Best price around,992217600,"06 11, 2001",0.0731
3,A3L61G6N7AT8N2,B00000J1TX,Bartok Kinski A casual stroll through the lu...,"[0, 0]","I had no idea what this cable was because I found it in my drawer one day, I thought it was the VCR cable and I tried to hook it up to the TV and VCR one day and nothing happened except the reception on my TV went bland and empty.",2,"What is It?,",1403568000,"06 24, 2014",-0.4588
4,AI0NMYA3LKXW1,B00000J1TX,Bartok Kinski A casual stroll through the lu...,"[0, 14]","I had no idea what this cable was because I found it in my drawer one day, I thought it was the VCR cable and I tried to hook it up to the TV and VCR one day and nothing happened except the reception on my TV went bland and empty.",2,What is It?,1210896000,"05 16, 2008",-0.4588
5,A2S5XJK8PFYKH9,B00000J1TX,bugsbunny2795,"[0, 0]",You did a great job sending this printer cable to me! I got it really fast too! thank you!,5,Great Job!,1288396800,"10 30, 2010",0.3596
6,A3J7BP60ZB6HW3,B00000J1TX,C. Brown,"[0, 0]","Bought it on sale. Cheapest I found, no problems.",5,Does what it's supposed to,1168300800,"01 9, 2007",0.1545
7,A60GRZWE1VPHV,B00000J1TX,C. Cameron,"[0, 0]","I purchased this cable for my brand-new wireless printer after it didn't work so wirelessly after all. I leave the cable attached to the printer, and simply plug the USB into my laptop when I needed to print a document. The cable has worked great over the past several months. I did check my local electronic superstore before purchasing a cable via Amazon, but I found that comparable cables a ran a high dime. For its quality, you can't beat the price.",5,does its job,1277856000,"06 30, 2010",0.1327
8,AQMD0WGJVD4RJ,B00000J1TX,CJ,"[8, 8]",I have been using this cable with my Samsung Laster printer for over 2 years now and couldn't be happier with the no problem performance.Its long enough to be used as a printer cable (which is important) and it works. What more can you ask for from a usb cable?Much nicer setup than the bulky parallel port setup.,5,if you can use a usb cable for your printer this is the one,1074643200,"01 21, 2004",0.2565
9,A2CRF098PBFCLK,B00000J1TX,Dakota H.,"[0, 0]","This cord does what it says, dont waste your money on top-of-the-line cords they sell at best buy or other palces. They all do the same thing!",5,Its a cord,1349568000,"10 7, 2012",0.3801
10,A2QAOP52OEB5EV,B00000J1TX,dasn0wman dasn0wman,"[0, 0]",Excellent cable. Very reliable. Now if only my operating system is the same way....,5,Excellent Cable,1036886400,"11 10, 2002",0.1906
11,A23SRAOAAD81FF,B00000J1TX,Dedde,"[0, 0]",clean connections and flexible cable. no reason topay 2x or more for any other cable that does justthe same.,5,fair price; flexible cable,1192579200,"10 17, 2007",0.1307
12,A2J8IE3Q5LLB96,B00000J1TX,Doug,"[0, 0]","There is not much to say! The Belkin USB Cable works and is priced right on Amazon when compared to the Big Box stores. If you have a need for this item, get it. You can't go wrong.",5,Belkin USB Cable,1268265600,"03 11, 2010",0.1376
13,A319CJUZ04SQL7,B00000J1TX,Gale N. Walker G.Walker,"[0, 0]","It works great to run a cable from the computer to the photo printer. The Cable works great, love how long it is.",5,Cable for USB.,1354752000,"12 6, 2012",0.7384
14,A2FG90RW53W8WS,B00000J1TX,Hello,"[0, 0]",What can I say about belikin? Belkin makes GREAT products which makes me satisfied with this cable!,5,GREAT!,1196726400,"12 4, 2007",0.4185
15,A39F7XOVXQ0LZK,B00000J1TX,Jerry H. Bond,"[0, 0]",Please price this Belkin USB Pro Series 2.0 cable at your local office supply store. I did. It is over $20.00. Another amazing Amazon deal. We have three in use. Stocking up on a couple of extra at $4.95 each with free shipping is a good idea. Quality printer cables will only increase in the future. And the hits just keep on coming.,5,INCREDIBLE BARGAIN,1243123200,"05 24, 2009",0.2552
16,A33V7Z377X9KBV,B00000J1TX,jerwig jerwig,"[0, 0]",These are excellent quality USB cables that will allow you to connect any USB device (printer etc.)to your PC or other USB device.,5,Good quality USB Cable at a reasonable price,1386115200,"12 4, 2013",0.3404
17,A1BAT4NZAP6B07,B00000J1TX,Jesse Roberge GreatInca,"[3, 9]",Its always good to have extra USB cables floating around. 2 for home 2 for work and 2 for the laptop/spare.,5,Great Stuff. Good Quality. Cheap Price.,1002499200,"10 8, 2001",0.2202
18,AKT8TGIT6VVZ5,B00000J1TX,John Kwok,"[1, 1]","I decided to purchase this cable after noticing that Dell Computers offers it online at its online store, which it often bundles together with other data transfer hardware. So I decided that if this cable is sufficiently well-made for Dell to offer it at its online store, then it's one I had to consider seriously as a USB cable linking my laptop computer with a brand new laser printer. Without question, I made the right decision. I am quite impressed with its excellent data transfer speed, superb workmanship and ease of use. It's an excellent product which I highly recommend to others seeking a well made high speed USB cable.",5,Superb USB Cable From Belkin,1180224000,"05 27, 2007",0.3146
19,AER2EZOUZSKYB,B00000J1TX,Jon H,"[0, 0]",I bought this cable to use with my new printer. I've had it for about 2 months now and it's working fine.,5,Nice cable,1231027200,"01 4, 2009",0.1012
20,A3PLX6PTM2ERKL,B00000J1TX,Kenneth L. Schwartz,"[2, 2]","I've always seen high-quality products from Belkin, and this one is no exception. It is a high-quality USB cable at a great price, by a leading computer accessory company. An extra bonus is the lifetime warranty!",5,"Great Cable, Belkin Strikes Again",992736000,"06 17, 2001",0.3046
21,AINUV6DVXMKEM,B00000J1TX,kzoomn Audiophile,"[0, 0]","There's no reason at all to buy misc. electronic USB cables anywhere except through Amazon! Prices at the 'shacks'...'marts'.....and the less'es - usually will cost you more than double for the same electronic items found on Amazon. So let your motto always be Caveat emptor i.e., buyer beware!!",5,Highest quality for bargain price............,1282867200,"08 27, 2010",0.026
22,A36ARO7W03JMXV,B00000J1TX,L. Hammer,"[0, 0]",I really like Belkin products and this cord works great from my pc to the printer and could not ask for it to do more,5,Excellent,1391904000,"02 9, 2014",0.7841
23,A3DWO9ZI48DJL1,B00000J1TX,MaverickRonin,"[0, 0]",Hooked it up between my printer and my PC and printed about 700 pages with it. Works fine. Not as quite as cheep as monoprice but the super saver shipping will make up for that if you're ordering more stuff.,5,"It's a USB cable, It Works",1254096000,"09 28, 2009",0.3164
24,ADGRGGF9V645P,B00000J1TX,Michael B. Labelle thetaz1,"[0, 0]","Does the job intended, good value, good quality. Not a bad product for the price.There are better products out there, but not at this price point.",5,Great quality,1402444800,"06 11, 2014",0.6189
