,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1AC1ZXX9IBCTT,B00000JFNV,AB Annie B,"[3, 3]","I purchase these cards frequently to make my own birthday, Christmas and other holiday greetings. This is the best price I have ever paid for them and they arrived quickly. The cards themselves are of high quality and help me create a final product I can be proud of.",5,Good price,1317427200,"10 1, 2011",0.6973
1,A1P2XYD265YE21,B00000JFNV,Andrea Readaholic,"[0, 0]","This is a really good, high-quality product. It saves money because you can do it yourself. It also saves time and gas - instead of going to the store, you can just do it yourself.High quality product - very highly recommended.Not very many people nowadays still write paper letters. But, believe it or not, I still have a few people that I still correspond with on paper and snail mail. I do prefer snail mail rather than any other way. This is a good way to have some stationery in which to write a letter on.",5,Really Good,1288310400,"10 29, 2010",0.1555
2,A2JXCOUGYS5Y4J,B00000JFNV,anonymous,"[0, 0]","no, you won't fool anyone into thinking that these are commercial-quality cards, but they're pretty good. i prefer the matte finish over glossy which tend to have even flimsier paper. the size of these cards are basically a piece of 8.5x11 paper folded in half, so that makes these larger than a normal commercial greeting card. but since they're regular paper-sized, it's easy to design your own elements and print without worrying about sizing, orientation, etc...this is fine for casual card-making. despite using your printer's ink, it's still cheaper than buying greeting cards. it's a good option for a home hobbyist or for making last-minute cards if you don't feel like going to the store.",4,"one of the better-quality cards for casual card-making, but don't expect to replace your local cardshop.",1291852800,"12 9, 2010",0.4505
3,A1FLQM52V9YV94,B00000JFNV,Avid Reader,"[1, 1]",I like the larger size and the very whiteness of the paper. The matte paper really takes in a lot of the inks so the result is sometimes stunning. I only mark it down one star because I wish it were just a bit stiffer.,4,Nice for the yearly Christmas card sending,1324512000,"12 22, 2011",0.3816
4,A28ZDVY6NV75P,B00000JFNV,AZ Desert Rat movie buff,"[2, 2]","I love making my own greeting cards. These work perfectly with my canon inkjet printer.I like to take tons of pictures at parties and get togethers. It is amazing how many funny looking faces some people make while trying to smile for a photo especially a big group. There will always be one in the middle of doing something else instead of getting the smile right. I like to take and isolate that one and later for their birthday or something make a funny card. Or put funny sayings in word balloons over their heads and make a funny card.People like personalized cards and not only that, this is so much cheaper than cookie cutter cards at the store. My friends all seem to look forward to my cards so I use lots of these Avery Half Fold products.",5,Perfect for home made greetings,1292457600,"12 16, 2010",0.6692
5,A2FRFAQCWZJT3Q,B00000JFNV,B. Davis The Happy Hermit,"[2, 2]",Sometimes I want to create an especially personal card for someone and these half fold cards and envelopes make for a very nice end product. There is a finish to one side that helps make the printed graphics look better than if the paper were not coated.,5,Very nice greeting cards,1289347200,"11 10, 2010",0.6701
6,AY3XPKRAMKKY7,B00000JFNV,C. G. King,"[0, 0]","The weight of this card stock is perfect for my ink jet printer and feeds smoothly. The fold line is so slight that you can use the page whole if you want and not fold it at all. It also lends itself to being cut in half for single page note cards. I've already made three sets featuring original art for Christmas presents.I've tried three other brands of half-fold card stock and all have been too heavy to feed smoothly through my printer. The resulting cards show lines of print instead of a smooth picture--not exactly professional quality. This product is perfect. It's a good weight for a greeting card or note card and has a smooth bright white finish. It can be folded into a half fold card via the scored line as designed, but doesn't have to be and the faint line isn't obvious if the page is left whole for a printed notice where you want some heft, like for a yard sale or lost pet. If you cut the cards in half for note cards and miss the scored line by a tiny amount, it doesn't show so your note cards still look perfect.I will definitely buy more of these cards. Highly recommended.",5,Best card stock I've found,1290470400,"11 23, 2010",0.254
7,APOGXH3A74CM3,B00000JFNV,Damian P. Gadal,"[0, 0]","I'm a digital photography enthusiast and this product has given me the ability to make stunning personalized cards for family and friends. Very easy to use straight out of the box. These cards reproduce photographs very nicely, in bright, vibrant color.The half-fold is nice as it gives you plenty of room for artwork and personalized messages on the inside. Highly recommended.",5,Great product,1289692800,"11 14, 2010",0.6664
8,AZD8SMNGQI98O,B00000JFNV,Daring Di Loves The Written Word,"[0, 0]",I created a whole group of Christmas cards with these. They look great and were fun to do. I'm ordering more so I can finish my card list.,5,Fun and easy,1291766400,"12 8, 2010",0.3542
9,A55PCTJ6NINET,B00000JFNV,David K. Watson DKW,"[1, 1]","This product consists of decent quality 8.5 x 11 matte card stock with a partial laser perforation in the middle so the it folds in half evenly. 25 envelopes are included in the package. This is larger than a typical greeting card, but the size makes it easy to use with just about any printer. The paper accepts and absorbs the ink without seeping through or veining in the paper fibers. The paper color is not bright white, but is appropriate for a greeting card.The package insert, dated 2007, states that Avery DesignPro software is Windows only. However, Avery DesignPro for Mac OSX is now available as a free download on the Avery.com software page. Avery DesignPro for Mac is a basic graphic design and layout program which includes templates for most Avery products, including Avery/American Greetings Half Fold Blank Cards (3265). This is the easiest way I know of to use this kind of product. In addition, Avery DesignPro includes a printer calibration feature. Absolute precision is not so critical on greeting cards, but if you're printing 90-per-page return address labels, a fraction of an inch one way or the other can run a whole sheet of labels.My printer (an HP 7180) has a duplex (two-sided printing) attachment. The DesignPro software will print both sides on the same job. The trick is to choose Short-edge Binding in the print dialog box. If you choose long-edge, the inside of the card will print upside down on the wrong page. The preview in the print dialog box does not show the inside page, but it does print. If your printer does not have a duplex attachment, then you simply print page 1 only, flip the paper over and then print page 2 only. I'd suggest trying this once or twice with plain paper, so you know exactly how to flip the paper for your particular printer.To me, these products fall in the etiquette scale between a hand-written note on your personal letterhead and a greeting card you bought in the grocery store. They do show you put some time and effort into the communication.",5,Good product - Usable with Mac OSX,1289174400,"11 8, 2010",0.2103
