,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1EYGH2HDZ2TB,B00004Z6NA,602keyboard1,"[0, 0]","This is an excellent quality paper, I used it to create photo Christmas cards, and special gift photos. It does a good job!",5,Good paper! Great Amazon purchase!,1325462400,"01 2, 2012",0.6893
1,A261DBYQZ9N06P,B00004Z6NA,Alyson,"[0, 0]","I used these to print signs, and they worked well. On the back of the paper, it does say EPSON in small letters. Overall, this was a good product.",5,Good Quality Paper,1395964800,"03 28, 2014",0.2379
2,A3S87ZOPB3UM9N,B00004Z6NA,atmj,"[9, 9]","Believe me paper matters. When you put the wrong paper in your printer, you get very weird results.P.S. This review was before I had used Kodak's One Touch to better Pictures. Please see my Kodak Paper review prior to making your buying decision. I was really impressed with what Kodak did.REVIEW IS BASED ON USE ON THE EPSON 890:When I bought my Epson 890, I bought several different packs of Epson paper, this 8 X 10 one, an 8.5 X 11 one and some 4 X 6 sheets as well as the roll paper. See my separate reviews on the others items (including the printer) also on this site, if you are interested in them. However, finally, I got around to trying the 8 x 10 paper. You see you wait until you have the perfect picture to do an enlargement.NICE QUALITY IN SEVERAL DIFFERENT USESIt did not dissappoint. Wow, the colors were great. I took several types of pictures and different lighting and the result were great. Now that I've tried it I'm hooked. People who have seen the pictures first of all can't believe they are off an inkjet printer. Then they marvel at the color and sharpness of the photo.PAPER AND PRINTER INTERATION:One caution, those of you that think you can use any paper on any printer... Forget it. I had some paper from another supplier and when I used it on the Epson, the ghostly images were terrible. It seems not surprisingly that the printers are optimized for their papers. And to be honest, it is not worth the money to me to try a bunch of other manufacturer's paper only to find out the results would be bad.EASIER TO FIND ON THE WEB THAN IN THE STORES:This paper is easier to find on the net. I have looked in my usual spots for this paper off the web and considering not only computer, office supply and grocery stores it is just not out there.Great product... Enjoy.",5,"Wow, great results",1007078400,"11 30, 2001",0.2325
3,A27M75LRSJ788H,B00004Z6NA,Bruce Sobocinski,"[1, 1]",I bought this to print 4x6's in my pixma. These are really nice quality for the price. I found them to be just as nice as higher end 4x6 paper. It prints great on an inkjet. I recommend this product. Any questions please ask i am always looking for advice so i enjoy giving it when i can as well.,5,Used in my Pixma,1360540800,"02 11, 2013",0.4572
4,A3P4VEVY5E7B06,B00004Z6NA,Bruce S Shumaker,"[0, 0]","Nice product,produces very good pics.Nice heavy paper thats works well in my Canon printer.Should last a long time !!! Great",5,Excellent !!!!,1356134400,"12 22, 2012",0.7319
5,A3OXHLG6DIBRW8,B00004Z6NA,C. Hill CFH,"[0, 0]","The Epson High-Gloss Premium Photo Paper is very high quality inkjet paper that produces fantastic looking, smudge resistant prints from myEpson Stylus Photo 2200 Inkjet Printer.This paper is very quick drying so prints can be stacked without worrying that they will stick together. I also like that it is fairly heavy stock so prints have the feel of professional lab quality.Highly Recommended!CFH",5,"High Quality, Quick Drying Photo Paper - Highly Recommended",1254614400,"10 4, 2009",0.5522
6,A3HEIIQCP02IBM,B00004Z6NA,Deena A. Peters,"[0, 0]",I knew this was a good price and the quality of the paper was excellent. I ordered it because I had previously ordered the Epson printer. Product was received within a few days.,4,Paper,1295049600,"01 15, 2011",0.255
7,ATFBVUXDIRXT6,B00004Z6NA,D. Matheny,"[0, 0]","We've been using HP inkjet printers for years and we have a pretty good stash of 4x6 photo paper that we had planned to use with our new Epson Artisan 710 printer. Unfortunately, when we printed our first 4x6 photo we knew immediately that something was wrong since the colors were extremely blotchy and it took the ink several minutes to dry.I tried changing every printer and quality setting I could find, then it occurred to me that the problem might be the HP paper. I was skeptical, but I figured I would buy a pack of this paper just to test the theory since it is fairly inexpensive.Anyway, I know it sounds crazy, but this paper completely solved the problem and we're getting beautiful prints from our new Epson Artisan 710 printer! If you're planning on using HP photo paper with an Epson printer; take my advice and give it away instead - then buy some of this Epson paper for awesome results!As far as the quality of the paper goes, it feels just like the paper used by professional labs. It also has the right level of gloss to print photos that are sharp and colorful.I highly recommend this paper for use with Epson printers.",5,Beautiful photos compared to HP paper on Artisan 710 printer!,1272412800,"04 28, 2010",0.2775
8,A36K2N527TXXJN,B00004Z6NA,Dr. Bojan Tunguz,"[1, 1]","Recently I got a newEpson XP-410 Printerand was extremely dissatisfied with the quality of the photo prints. After complaining about it to a friend, he told me to try using Epson's own photo paper (I had used HP paper before). Sure enough, the quality of prints improved dramatically. Since my Epson printer is WiFi AND AirPort compatible, I'd much rather use it than my old HP printer. Which means that from now on I'll be shopping for Epson photo paper as well, and my stockpile of old HP paper has become useless. I may still hang on to it just in case I switch back to an HP printer at some point in the future.The paper itself is very nice. The prints are smooth and glossy, as advertised. They are on par with the prints you'll get from the numerous online photo printing sites, but the exact outcome may depend on the quality of the printer you have, as well as on the ink. I am also not sure how durable these prints are, but since I still have many digital photos gracing the walls of my house that are over a decade old, I am pretty confident that this paper will endure for a foreseeable future.",5,THE ONLY photo paper that should be used with Epson printers,1376352000,"08 13, 2013",0.2391
9,A2U0LY01LK9C3E,B00004Z6NA,EddieE,"[0, 0]","This photo paper was quite cheap price wise but works great in my Lexmark, HP, and Epson printers with no problem at all. The quality is decent enough for me and at this price it's super cheap. Performs well, seems to work in a variety of printers, and very inexpensive, I would recommend this for the casual user wanting a few frame picture of the kids etc.",5,"Great product, great price and performs great for me.",1371859200,"06 22, 2013",0.7176
