,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AQCJWSMSURQI2,B00006B8G0,A Customer,"[1, 1]","As a boutique consulting and travel firm, image is important to us, as well as cost control. We use labels of various sizes constantly rather than getting envelopes and folders pre-printed as a cost saving measure and a way to offer easy customization of our brand to our clients.As others have stated here, a label is a label is a label...right? Not always. There are many factors that I look at when buying labels, especially in quantity:1. Price. Big variances between 'generic' and 3M, Avery, etc.2. Glue. Good glue won't come through the label.3. Adhesive Quality. Labels shouldn't come off an envelope (which could result in a dead letter), and they shouldn't come off in the printer (which could result in the need for a new printer).4. Ease of removing from sheet. If they are not easy to remove, the label can be easily torn. Sometimes I've had to use an X-acto knife to lift labels.Avery labels here are great value, and have the other characteristics of good labels. Whenever I have a choice between an Avery label and another product (even at a much lower price) I buy the Avery.",4,Labels are NOT Commodities!,1282780800,"08 26, 2010",0.0959
1,A209D61DH0HZMA,B00006B8G0,Agatha Kristy &#8226;The secret of getting a...,"[0, 0]","These stickers are wonderful! They not only hold printer ink without smearing, but when the sticker is stuck onto the package it stays put without the corners peeling up!",5,Sticks and stays put!,1282176000,"08 19, 2010",0.0958
2,A3H7NPNDMGLOU4,B00006B8G0,Amazon Enthusiast The Lucky One,"[0, 1]","These shipping labels work great for recycling mailers. I've used them to mail several packages & it's a great convenience to no longer have to spend five minutes or more trying to peel off old labels before re-using padded mailers.With Avery's TrueBlock technology, it's a snap to quickly print a label that completely covers the old label. These labels work just like conventional laser labels--just use Avery's template to print the labels you need. The magic is in the dark, vinyl-like coating on the sticky side of the label. This dark screening coat completely blocks out the label underneath, so nothing shows through. Just a clean, neatly printed new, bright white label.Elegantly engineered recycling solution; Highly recommended!",5,TrueBlock Covers Previous Label Perfectly; Great Solution for Recycling Mailers,1285200000,"09 23, 2010",0.3375
3,A3C0380R9NMLHD,B00006B8G0,Andrew W. Johns ResQgeek,"[0, 0]","It will come as no surprise that these labels are easy to use. They're an Avery product, so the templates for using these labels are built into almost every application you're likely to use with them, so formatting the print data is a snap. What makes these labels different is their construction. They're thicker than the typical mailing label, with a white front and a dark gray sticky side. This makes the labels truly opaque, so that they block any previous writing or labels that they are applied over. I've tried to see through them, and I haven't been able to. This allows envelopes to be re-used while protecting the privacy of the previous addressees.",4,Addressing privacy,1280793600,"08 3, 2010",0.0289
4,A2ZY3S7SD3QO8Z,B00006B8G0,Anonymous,"[0, 1]","These are great, functional labels at a very reasonable price. The 2x4-inch size is big enough for hand-written addresses and still fits 10 to a sheet for economy's sake, many more labels per sheet than the slightly larger sizes without much loss of usability. The TrueBlock ability to hide what's behind them -- seemingly due to a gray layer behind the labels' white surface, like primer under a coat of paint -- is nice, though this was never a real problem for other labels to begin with. Simply put, these work great for their purpose.",4,Functional labels,1285632000,"09 28, 2010",0.5726
5,AOEP96629WHHA,B00006B8G0,A. Reid,"[0, 0]","It's a label. I'm not going to try to wax poetic about it. But it's a very good label. The basics:*The labels feed smoothly into my laser printer and emerge the same way. No jamming, no smearing.*The TrueBlock (TM) Technology works well. This allows you to reuse manila envelopes and boxes without looking so much like you're recycling them...as long as the original label isn't larger than 2 inches by four inches. (A fairly generous size for a single address; small to include address of origin alongside the address of destination.) They retain a professional, clean appearance.*The bright white of the templates contrasts beautifully with dark print, keeping visibility clear. Again, professional and clean.*In addition, Avery will give you support as you use them. On the back of each sheet they've printed (in two languages) tips for use and directions for where to go on the web to get templates for Microsoft Word on the web or through e-mail. (Not sure why they need my name and e-mail address for me to download these templates, but they promise not to Spam me. I'm trusting that it's because it gives them the opportunity to ask me to opt-in to e-mails...the default. I opted out.) In addition to the blank template for mailing labels (be sure you enter the product number, 5263, to easily access the right ones!), there are specialized templates for use particularly with color printers. Current themes include holidays, seasons, special events (birth, wedding, graduation), patriotic and a host of various business ideas (dental, salon, etc.) They currently have 57 downloads available in support of this one product.All in all, a good solid product with really exceptional support from an industry leader. I'll feel confident in ordering this product again.",5,"Smooth feed, great coverage, easy to use & versatile, with downloadable templates",1280707200,"08 2, 2010",0.3797
6,A3KXR8L3CJMWW6,B00006B8G0,A. Sullivan RedbugSullivan,"[0, 1]","These labels are exactly what they say they are- truly blocking. We use them within our elementary school reading program. Finally, we have labels that allow for reuse of pocket portfolios without compromising the identity of its previous owner. Besides, no one wants to use a folder that has the shadow of a name behind your own! These labels look good, save us money and time. At home, we use them when reusing shipping envelopes and boxes. My co-workers, husband, and students love them and you will too!",5,Fine Labels Support Reuse,1285200000,"09 23, 2010",0.1915
7,A1V4VVBQBFXRHC,B00006B8G0,Big-D,"[0, 1]","Avery labels have been considered the best when you need or want labels that you can print from your computer. These are no different. Whenever mailing anything, from letters to packages through the US Postal Service, using a pre-printed label allows your item to travel faster without having to be handled by human hands. This prevents loss, mis-sent, delayed or damaged letters and packages. Avery brand labels are the most trouble free labels available.",5,Absolute Best Printable Labels,1285200000,"09 23, 2010",-0.0353
8,A1Z16630QMH8Q6,B00006B8G0,Bill Raley Vista Bill,"[0, 0]","How many times have I used a magic marker to cover an old package label... lots! I was surprised and very pleased to see these labels with TrueBlock Technology! It works! A real time saver and no more ink on my fingers from the marker. Add a package of these labels to your shipping arsenal. And, if your word processing software doesn't have a template for them, you can download it from Avery's website.Once you use them, I bet you'll be sure to keep a supply on hand. Highly recommended.",5,Avery does it again!,1280966400,"08 5, 2010",0.1863
9,A2OW356OMJNAVH,B00006B8G0,BMAR,"[0, 0]","A long time user of Avery labels, I was especially drawn to these because of the promise of smudge-free labels with sheets that pass easily. I have a finicky, but expensive, printer that on occasion wrinkles sheets that pass through the manual, non-drawer feeder. This happens most frequently with labels. So I was happy to see that after using more than 2 dozen of these sheets that they do indeed pass smoothly as described, furthermore no smudging!!! This is vitally important as with these big labels pressing them onto envelopes sometimes requires quite a bit of handling. I'm very happy with these labels and will definitely be switching from the regular 2X4 labels to these with TrueBlock that work seamlessly and smudge-free.Highly recommended!",4,Smudge free and smooth passage through the printer every time..,1281398400,"08 10, 2010",0.4011
