,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1U0131NE06V15,B00006B8HT,bb,"[0, 0]","i was looking for a good book stand for a while, i'm happy i found this one. tried it with a big hard cover book and it holds nicely. it's light and neat, and it easily folds for easier storage or transportation. i love it",5,Impeccable folding tool,1375142400,"07 30, 2013",0.6413
1,A20IIR0422G3A5,B00006B8HT,B. Marold Bruce W. Marold,"[1, 1]","I used various book stands similar to these for several years, until I got my big desk, and I needed something to hold BIG books open. For that I got four of the deluxe book stands in wood, which could hold the largest study Bible. But now, that BIG desk is filled with monitors, and I have far less room for beefy book stands. Enter these small stands which, by the way, are perfect for Kindles, and which can fold away when not in use. They have an air of delicacy, but if you use them carefully, they have an important role in the changing face of bookpropology.",5,Very portable. Nice for tight spaces.,1364169600,"03 25, 2013",0.2043
2,A2J39GPS8D4YJI,B00006B8HT,Booklover Jerry,"[57, 62]","I like this. It holds books well. It is holding up well and gets the job done. It is more for books you put would put on a table or desk to read. Not for say taking on a bus to read a paperback. The flipklip is great for doing that. This one is more of a I have to type from a textbook onto my computer kind of thing. It holds all books but thick volumes like a dictionary. This one is great for holding a cookbook while you are stirring a pot, for learning to type and it holding the book open, for hardbacks that you just don't want to hold with your hands and have it hold it open for you, things like that.",5,Nice Product!,1192752000,"10 19, 2007",0.3093
3,A2LEIANN1UZTHP,B00006B8HT,brainout,"[0, 0]","Golly, I'm so grateful I found this on Amazon. It just arrived yesterday, ordered two days prior, God love Prime! I had another one for years, which I somehow misplaced. Its flexibility makes it more than just a medium-sized book holder. On the surface, it seems to be good only for your average NASB-sized hardback Bible (about an inch thick). So the rest of this review is about how ELSE you use this thing.Right now, as I type, I've got the left 'hook' hanging over my flat-panel monitor. So the thing is hanging by that left hook, diagonally (askew), and upside down. The back long 'legs' are folded out, so think of the thing as in standing position.. but upside down. A plastic clamp (could use even a big paper clip) holds a bunch of papers together, for input (about 10). So this 'sturdy stand' also acts like a monitor clamp at eye-level, without the adhesive and flimsy plastic holders which so easily break. The stand's rubber feet protect the metal ends from harming the monitor; frankly, the one hanging off the monitor isn't even touching the screen. So two vital uses, not just one.You can also use the thing to prop up large/heavy books. Or, to hold any size book yet allow you to turn the pages. So, now it props up my huge Shakespeare book (about 2 thick?), also here in Amazon, by Royal Shakespeare Company. Or, ponderous short 3-inch (maybe 2+?) notebooks. You just use the stand differently. [A European style X-shaped dish rack, especially wood, is also useful.] How? Again, upside down. I put the Shakespeare book on a mat, turned the 'sturdy stand' upside down and turned the back legs TOWARD each other. Could use a rubber-like place mat, if reading from a table. Something to give more traction for a heavy book. Much better than your typical book holder, because it tilts backwards, and the upside down 'hooks' add support.Okay, so now suppose you don't need to read a book. You can fold the thing sideways and store it just about anywhere.. or, you can HANG it, using the forward 'hooks' for clothing, accessories, you-name-it.That's a lot of sturdy value, for five bucks. In fact, why did I buy only one? My bad!",5,More than just a bookholder,1319760000,"10 28, 2011",0.1561
4,AMBIFRHLCFVGS,B00006B8HT,Cheryl Fontaine,"[2, 2]","I thought this was going to be something else and was prepared to send it back, but then discovered it is the perfect size to hold an iPad. The iPad can fit on the stand either horizontally or vertically and the stand is sturdy enough so it doesn't cave in when using the iPad to play games.",5,Not using it for reading books,1306195200,"05 24, 2011",0.6786
5,A3R4794K2RVU1S,B00006B8HT,Danny Yu,"[0, 0]","I bought this cheap stand, hoping that it can make my reading and homeworking a lot easier. I cannot sit at a table for hours, bending my neck forward to read a textbook, etc. All in all, it does hold small to medium sized books, as well as light electronics like tablets. However, I've found that it can be unreliable when turning pages.Design - the wires used are of good strength and quality, and is very easy to fit into place. Very intuitive to use.Strength - as I've mentioned, it can hold a small to medium book. Sometimes, wider books can be difficult to position.Turning Pages - I struggled with with this stand when I was turning pages. Sometimes pages would get stuck, but most of the time, the stand slightly moves, forcing me to fix the stand again.Overall, a great idea and great value falls short because it can be unreliable sometimes. However, keep in mind that this may just be my own unique experience. Others may have better luck than me.",3,I really want to like it - but this stand falls short,1319673600,"10 27, 2011",0.3547
6,AEMZRE6QYVQBS,B00006B8HT,David A. Baer,"[106, 113]","This is a very cool product made with just three pieces of stainless steel.It folds up into a very small space and holds a small to medium sized book in a near-vertical, open-face position with a certain panache.But if you're working from a very thick book, you need a different bookstand. The convenience disappears when you have to be finessing some of the pages of a large book onto the outside of the vertical 'placeholder' and the rest of them on the inside.I like the idea. 'Shame they don't make a large size, too.",4,"design matters, so does size",1167955200,"01 5, 2007",0.04
7,A37IHRVO8JWYF2,B00006B8HT,Emily D. Agunod,"[0, 0]","As a student, this came in very handy. I was studying coding so looking at my textbook and typing the code on the computer was getting tedious. This stand helped make it so much easier. It's sturdy and folds practically flat so when I'm not using it, I just stick it between my books. Thanks, Fellowes!",5,Ingenious,1387238400,"12 17, 2013",0.1931
8,A28X0LT2100RL1,B00006B8HT,Eusebius,"[0, 0]","Excellent little book stand for the desk - but will hold a book no more than 1-1/2 thick, so don't expect it to hold a dictionary. It's made of heavy solid wire and is sturdy and stable. A good value.",5,Good little book stand,1296604800,"02 2, 2011",0.3182
9,ARRKEMHZJY9VB,B00006B8HT,Herbert L. Anderson,"[0, 1]",Smaller than I expected but it works just fine for what I purchased it for.,4,book stand,1261526400,"12 23, 2009",0.296
