,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3D8STMS7SUR4I,B000067QMK,Adult Star,"[0, 0]",I gave this a 4 star because the hard caps are larger than average pads out there but I took off a star because there's absolutely no padding beyond the hard caps when other pads out there have thick padding that extend beyond the hard caps. These pads are too small to fit over clothing. There good for shorts and t-shirts. Also good for wearing underneath clothing. I wore the knee pads under my snowboarding pants and they where hardly noticeable.,4,No padding protection beyond the hard caps.,1303257600,"04 20, 2011",0.1372
1,A2LAS014NSRW72,B000067QMK,Amy Henry,"[1, 1]","I bought these for a seven year old who is learning to skateboard. These are not a great fit (much too big) for his legs, and the plastic dome portion just slips around. He also has trouble putting these on himself and it takes me quite some time to help him.",2,"Awkward to fit, poorly made",1395187200,"03 19, 2014",-0.2201
2,A3SDI9RFNDMNTI,B000067QMK,B Chandrasekaran,"[0, 0]",My son who skateboards and bikes a lot comes with knee injury every few days. We bought this and it has helped us a lot from worrying about him. I have seen him falling a few times and he is not complaining which is really good. I would strongly recommend for boys who bikes/scooter/skate on roads and is worth more than what we would have spent on his doctor trips.,5,Great pads for kids,1385683200,"11 29, 2013",0.1001
3,A1B3B7OBPDMEFJ,B000067QMK,Clinton W. Davis,"[1, 3]","However did I survive without all this stuff, but given youngest grandson's first attempts at riding a bike, a good purchase! Matches the Razor helmet well! Cool means they'll more likely wear it when you're not standing over them!!",4,elbow/knee pads,1261526400,"12 23, 2009",0.3371
4,AV8Y6HRKXCKN8,B000067QMK,Diane Jackson,"[0, 0]",Good protection when using the skates as well as any outdoor equipment such as skate boarding. I would recommend this product,5,good product,1362268800,"03 3, 2013",0.4868
5,A2V1J3JT5OOZFO,B000067QMK,Dragonwort Castle,"[0, 0]","These fit a 6 and 8 year old very well. They offer great protection and will be used with biking and a Razor scooter. I recommend, would buy again, and I hope this helps someone.",5,Fit a 6 and 8 year old,1389830400,"01 16, 2014",0.6786
6,A3KARGJSQR5LKI,B000067QMK,Edward Robert Hogan,"[0, 0]","Fit my big 6 year old quite nicely. They are bulky, but seem to do the job without limiting mobility.",4,Bulky but good,1369785600,"05 29, 2013",0.3451
7,A14AWPTKBI4JTS,B000067QMK,Francis Wong,"[2, 2]",These pads offer good protection. It does not have the sock like material that covers the whole knee or elbow but the Velcro does the job pretty well and offers better ventilation. The only shortcoming is the Velcro for the knees. It seems a bit short for the top strap. I measure the maximum it can fit 10cm above the knee is a circumference of 42 cm. I think that is a important point to note when purchasing this item. Other areas should fit well as the Velcro is long enough..,5,Mongoose Knee and Elbow Pads,1400284800,"05 17, 2014",0.3821
8,A2507ZYWGMY9BK,B000067QMK,Gcat,"[1, 2]","These pads are made nicely. I like how you can put on the pads without having to slide them up the limb. This helps if you already have the rollerblade on.The sizing is way too big for my 3 year old. The elbow pads barely fit my child's knees.The main drawback of this set is that it is missing wrist guards which I think are extremely important. The most likely fracture point is the wrists.Overall, I prefer theRollerblade Pro Junior In-Line Protective 3 Packwhich are smaller in size and come complete with wrist guards.",4,Nice. But lacking wrist guards.,1367020800,"04 27, 2013",0.2913
9,A1QX4FGHSRNC65,B000067QMK,gehrig2130,"[0, 0]","After reading the other reviews, I thought these would work perfectly for my 4 and 5 year old children. I was wrong! They are huge! They kept falling down, and the kids weren't the least bit interested in wearing them, and they are truly very safety conscious. After realizing they were way too big for them, I tried them on, and they fit me! They are really nice knee pads, but definitely not for little kids. The elbow pads could probably work for knee pads for them, if you don't care about elbow pads. I wish I had only bought one pair instead of two. I will say they are priced well, though, as long as they fit!",4,"Great quality, just didn't fit!",1381017600,"10 6, 2013",0.3334
10,A81UQY2JL2F6A,B000067QMK,Genell S. Baun,"[0, 0]",These pads can take on a 9 year old boy any day- now getting him to wear them regularly- that's another story.,4,Sturdy pads,1234656000,"02 15, 2009",0.0
11,A3T3HANTEQWE0S,B000067QMK,Gloria Friedman,"[0, 0]",They fit perfectly. I'm a 5'3&#34; woman who is thin and the knee pads are wonderful. I don't use the elbow pads.,4,Great reasonably priced knee protection for clumsy hiker.,1375142400,"07 30, 2013",0.4479
12,A2WQOAHQ9U8R9X,B000067QMK,Guy,"[0, 0]","Originally they were said to be delivered, I did not have them. I made a request, had them in 2 days. They seem solid, my son is not born yet to try them, but they look durable.Thank you",5,got`em,1378944000,"09 12, 2013",0.0257
13,A3VNHG7QKXRS4V,B000067QMK,heli a angarita,"[0, 0]",These knee and elbow pad are perfect for kids getting there first skate boards or skates they are well padded and give protection kids need .I am happy with this purchase.,4,protecting my little girl,1390176000,"01 20, 2014",0.8591
14,A1E7WAR6UR2DNR,B000067QMK,Hillel Gorelick,"[0, 0]","These are comfortable for your kids, and will do a good job of preventing injury. Too bad more parents don't think to use them. I guess it doesn't occur to them that bones can break. Anyhow, these are good.",5,Well made pads,1389225600,"01 9, 2014",0.1022
15,A10X9ME6R66JDX,B000067QMK,Hugo M. M. Rabson,"[0, 0]",My daughter hates wearing this stuff when she's riding a bike (I don't blame her) but she admits that it has saved her from a few scrapes and cuts.,5,Good for a young girl,1362960000,"03 11, 2013",0.5053
16,A265B1IZE5RVG6,B000067QMK,internetshopper72,"[0, 0]","My kids are learning to ride their bikes. Hopefully we don't test these out but so far so good. The kids love to wear them, they are comfortable, easy to put on and a good fit. I am surprised how good the quality is given the price.",5,Perfect for my 5 & 7 year olds,1345852800,"08 25, 2012",0.5857
17,ABVYGB2TKBO8F,B000067QMK,J. Donaldson Cal-diver,"[2, 2]",My 4yr old son used these once at the BMX track but he wanted them taken off because we couldn't get them tight enough for his little arms and legs. We'll keep them for when he is older but will have to seek something smaller for him.There's nothing wrong with the product. For reference our son is 38 inches tall and weighs 33 pounds.,5,Product is fine but too large for my 4-year-old,1397952000,"04 20, 2014",0.1719
18,A1VXIY1511XQK2,B000067QMK,J. Evans,"[9, 10]","Bought these for my son when he was learning to use roller blades. They are comfortable and can fit many sizes. I wouldn't get them for kids under 50lbs because they can only get so small, and i think at 50lbs these wouldn't sag and you could get them to fit snug enough. These would be too big for my 4yo who is only 35 lbs. My son says they're comfy and overall we're very happy with this purchase.",5,Great price for great pads,1309219200,"06 28, 2011",0.3346
19,A10CRW7XRJBJ2G,B000067QMK,jjme9,"[0, 0]","have a grand daughter who is not yet a balanced on her bike as she should be so protection is necessary, these do the job.delivered quickly",4,childs bike pads,1384300800,"11 13, 2013",0.4588
20,A8X8D4BUY5DFU,B000067QMK,Joseph M. Seda,"[0, 0]","I complained when I saw only 2 pads but upon closer look, they were not the same size. So doing some actually thinking, I took the package apart and lo and behold, there were 4 nested in two pairs. They are small but should fit up to a typical 12 year old. Quality is only OK, but a good deal for the price. They are not real comfortable as I would have expected with gel pads, but fit is OK. I suspect they will chafe with long wear, but I expect they will be fine for my requirements.",4,Only elblow or knee pads not both - Woops stupid me. There are 4,1378512000,"09 7, 2013",0.2289
21,A38MP0W92KR956,B000067QMK,Josh,"[0, 0]","I bought these pads for my 8 year old. They fit him well and protect his knees/elbows well. They aren't the highest quality pads I'd say, but they get the job done.If nothing else, get these pads to save skinned/scraped knees and elbows for your little riders!",4,Good pads for kids doing any biking/skating/scootering,1356307200,"12 24, 2012",0.4958
22,A18K5RTT7D8T1S,B000067QMK,JulzGaye julzgaye,"[0, 0]","They perform as described, serve their function, are not unattractive, and I would purchase from this line again. Good decision.",4,Served Purpose,1380326400,"09 28, 2013",0.3908
23,A3IJ4Z18FTIIP,B000067QMK,K. Halloran bridgenet,"[0, 0]","These are great compared to the toys I've seen elsewhere. Fit my 5 year old great for skate boarding or bike riding. Others I've seen were either too small or too big, these are just right.",5,Great quality compared to others,1334880000,"04 20, 2012",0.4633
24,A116J3D6C3172T,B000067QMK,Levi Smith Levi,"[0, 1]","The other kids pads just seem like toys. The elastic on these is thick and the pads have gel on the inside. Not the nicest looking set, but more durable and functional than the alternatives.",4,Pads that will actually protect knees and elbows,1388188800,"12 28, 2013",0.0518
25,A2VH0UT5EQFB6P,B000067QMK,Loveguitar,"[10, 13]","Unless you are an adult the size and weight of an average 10 year old girl, don't buy these for yourself. Luckily, I have a kid who can use them since they were too small for me. However, they are well constructed and she seems very comfortable wearing them for several hours at a time. They haven't been tested in an actual scootering fall yet, but by looking at them I am fairly certain they can take quite a hit and keep elbows and kneecaps from serious impact damage. At least I hope so. Also they are very cool to look at being deep black with orange buttons.",4,Good For Kids Only,1244937600,"06 14, 2009",0.2575
26,APEFX3AHOR14V,B000067QMK,Mark Twain999,"[0, 0]",Bought these for an 8 year old .They fit well and offer good protection.They would fit a wide range of ages.,5,"Nice pads, wide size range",1374883200,"07 27, 2013",0.8402
27,A3JQ58CZBV3FOZ,B000067QMK,M. Wang,"[4, 4]","My biggest concern while ordering this item had been the size. Most pads seem to fall on the small side. My son has already outgrown two sets of those, and he is only 4'5 tall. Fortunately, this set is reasonably large, enough to accommodate him for two or three more years at least.",5,The perfect size for pre-teens.,1348012800,"09 19, 2012",0.0
28,A2B3T42QBKDFFX,B000067QMK,Raymond Holderman raaymond1,"[0, 0]","They fit both my small 8 year-old and 5 year-old grandkids nicely. They seemed to be well-padded and fit for the job of pprotecting their skinny joints. Price was right. They both liked the looks, and stood about posturing their superpowers.",4,Mongoose BMX Bike Gel Knee and Elbow pads,1242777600,"05 20, 2009",0.3606
29,A6T098A9B0GZC,B000067QMK,"Robbi Dobbi Quality, Value, Community!","[27, 30]","Biking, skating, kickboxing, deck cleaning..you name it, these pads can be worn to give your elbows and knees the protection they need at a price you can't beat. Delivery was prompt and all was in good order. Definitely recommended!",5,All purpose protection-inexpensive price,1181174400,"06 7, 2007",0.2431
