,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2BM4EHFAGCOSQ,B00007E1M1,Alaskan Jordan Moxey,"[0, 0]","The Flash is an inexpensive EDC assisted opener. Very light, great clip comes sharp out of the box. Mine had a little vertical and horizontal blade play. I reinforced the lock spring, lock-tited the blade screw and completely removed the lock and basically eliminated the blade play. Overall good knife, not great. I will post a video of my modifications on youtube just type AKmoxey in the search",4,Great Knife Little Loose,1288656000,"11 2, 2010",0.191
1,A2GQS16NHRJGPM,B00007E1M1,Cadd,"[0, 0]",Excellent value for the money. End of story. Quality is excellent. I've had several SOG knives over the years. They have been very durable. This one is no different.,5,Great value for the money,1316390400,"09 19, 2011",0.1671
2,A3FJ7K6XRP3MPM,B00007E1M1,Chief,"[25, 27]","I have used and collected a number of knives over the years. I have to admit I am Totally Brutal to my knives and I find out quick if a knife is well made or not.In my honest opinion My SOG knives especially my Flash II knife is a great knife to have!These knives are well made and well designed with a great life time guarantee, Not too many knife companies give you a lifetime gaurantee and shapening too! No other knife company besides Cold Steel will give you more Bang For The Buck !I've Never Ever had a problem with any of my SOG knives and I'm sure you will find the same true too.",5,A great knife at a Great price !,1099353600,"11 2, 2004",0.3815
3,A3OXHLG6DIBRW8,B00007E1M1,C. Hill CFH,"[0, 0]","This SOG Flash II pocket knife is an excellent every day carry knife. While I personally prefer theGerber 22-47162 Fast Draw Spring Assisted Opening Stainless Steel Fine Edge Knife, my son did not due to the weight so we found someone that was willing to trade the SOG for the Gerber. Here are my observations:Pros:+ Quality; this is a well made knife that will hold up to daily use quite well+ Speed; opens one-handed quite quickly+ Blade; comes razor sharp and holds an edge quite well+ Pock Clip; very sturdy, no worries at+ Positive Locks; this locks open/closed with a sliding buttonMisc:* Weight; this a very light knife compared to my other pocketknives, I prefer a little more heft but (as noted above) my son doesn't, so this is a matter of personal preferenceAn all around good knife at a reasonable price!Highly Recommended!CFH",5,Very Good Knife - Highly Recommended,1363564800,"03 18, 2013",0.5563
4,A35WLQ1OY2CB8X,B00007E1M1,Cory BS,"[1, 1]","I have owned SOG Flash II knives for a couple years now. Lost one, bought another knife for some variety, and have retired that one in favor of the Flash II once again as my every day carry knife.Pros:- Lightweight- Pretty small knife overall, but the blade is large enough to be capable of basically any normal job.- Assisted opening allows for quick deployment, but it stays closed even without using the lock.- Sturdy- The blade holds an edge- Very sharp out of the box- Offered in a variety of blade types. (I have owned the Tanto, and now this partially serrated version)Cons:- The clip has a tendency to get hung up on things, but it's a fixable issue. Just remove the clip with a hex wrench and bend both ends down so that A) it has a smaller opening at the end and is less likely to be hung up on things and B) so that it has a tighter hold generally.- I'd rather not have the lock. You can use a carefully applied drop of super glue to disable it if you like.- It can be closed with one hand, but you could definitely get cut if you aren't careful. Use two hands or your pant leg to help with this.Buy it.",5,The Flash II is a great knife,1390867200,"01 28, 2014",0.2889
5,A3EZ0U0RIIRW4O,B00007E1M1,Danny Difalco,"[0, 0]","I work at Dicks sporting goods and i deal with these knifes, kershaws, gerbers, and many other knifes daily. I always pick the SOG's i love the feel, texture, strength, and looks. You cant beat these knife for the price. I EDC mine.",5,Great!,1329782400,"02 21, 2012",0.2031
6,A1VLY2GSXC19ST,B00007E1M1,Gary,"[1, 1]","Background:The Spyderco Tenacious and the SOG Flash II are popular choices and because I have both in half serrated, and they are in the same price range, I compare them both here. The flash II is more popular in stores and I think Wal-Mart even sell them.I have had and still have several Flash II's and one Spyderco Tenacious. I have carried both as EDC for extended periods in tough use, so thought I would add my experience with them. I currently carry the flash II and a SAK, but carried the Tenacious and SAK for about a year and still have it and prefer it in the woods. I have carried Benchmade's, but they are a little expensive and I fear loosing one. I fly the airlines a lot on spur of the moment notice and have given several knives including at least two Flash's to TSA having no time to go back and store/ship it or something. I gave one to some Mexicans doing drywall work in the terminal in front of TSA screening rather then give it to TSA. I try to keep a knife in my desk, boat, backpack, and a couple of cars. So more expensive knives haven't been indicated for me.I carry a folder clipped inside the pocket (clip outside), with the point down, weak hand side.Spyderco Tenacious:Pros:Solid construction. Feels better then the Flash in use (in the hand). It has Stainless Steel liners under the G10 scales. It is more conventional and probably stronger then the Flash.Good blade steel. Better then the Flash II IMO. The 8Cr13MoV sounds better when sharpening too. Ha. But, that may be due to the heaver construction of the whole knife, less dampening due to the aluminum sides under the G10, and the thinner blade near the edge (flat ground). So even though the edge is thinner, and I have put a finer angle edge on it, the Tenacious holds an edge better.Blade shape - really nice for a wide variety of tasks with a wide leaf shape. Leaves plenty of room to get your thumb against the spider hole to open the knife.Good lock up. I don't like liner locks much, but it locks solidly and secure.Size of the Blade. I like this size knife for EDC.Easy enough to open with either hand.The belt clip is more durable and versatile then the Flash. The Flash clip breaks at one of the multiple 90 bends. The Tenacious clip is lower profile, stronger, grips better in a pocket, and can be mounted up, down, left and right.Cons:Difficulty closing with one hand: I am not a big fan of liner locks, but I like them much better then spring detent locks like old school pocket knives. I pretty much cut a thumb pad off once with a Tenacious so maybe some of it is psychological. You can get your thumb caught and sliced in the blade trying to close it with one hand. Just pushing the liner lock in will will drop the blade against your thumb if you hold it in the wrong position. Not a problem with two hands using the other one to control the blade closing, but with a bolt lock on the side you can close it with one hand and never need to get your finger/thumb under where the blade goes. This doesn't happen with a assisted opening knife as the blade is always trying to open until almost closed.Heavy (this is not a big thing for me, but it is noticeably heaver then a flash due to partial aluminum sides under the G10).Made in China. But, quality and steel is very good in the case of this knife, so Made in China is more about ethics and politics then quality in this case.SOG Flash IIPros:Assisted opening. Get it past 5 or 10 with light pressure on the thumb and it snaps open. Great one handed operation, even if injured. A little more wow, or cool, factor then the Tenacious.Light weight. Feels quite a bit lighter then the Spyderco. Perhaps even less then substantial (personal preference). The flash is all plastic actually glass-reinforced nylon (GRN). It has some kind of metal bushing between the blade and (GRN) sides.Size of the Blade. I like this size knife for EDC.Lock up is solid, as far as staying open/not closing. There is a little slop though when open in both directions. I have never tried to tighten it up. I have never worried about it closing on me in use.Safety. You can lock it so it wont open in your pocket.Easy to sharpen.Made in USACon's:Slop when open. Not bad, but not as tight as the Tenacious.Safety - I have had it come open in my pocket a couple of times in active situations. It wasn't locked when this happened. Pretty scary. I knew it was open, or partially open; in one case when I reached in my pocket and cut a fingers, and two other times when I felt the point sticking into the front of my hip. In the later two I stopped moving and then moved real slowly until I got it folded back up and under control. Front pocket, bad place for an open knife. For some reason a Benchmade Barrage assisted open has never come open in my pocket (even unlocked). Of course the Benchmade is a great knife, but at more then twice the cost. I think the flash lacks a tendency to stay closed. Better spring assisted knives seem to have more force toward closed until you pass the point where it springs toward open. It's not like the safety is a plus, so much as it is just plain needed, because of the tenancy to come open if the thumb nut is bumped in the pocket. However, the safety will come off, or turn on, in pocket. This further aggravates the above problem.Steel is softer then Tenacious and doesn't hold an edge nearly as well. Easy to ding and dull the edge. Supposed to be AUS-8, 56-58 Rockwell (same hardness as Tenacious's Chinese 8Cr13MoV, but I perceive all three Flashes to be softer than and not hold an edge as well as the Tenacious based on use and response when sharpening ).I have broken 2 belt clips. SOG replaced them for free though. There is a place on there web sight for this.Belt clip can be mounted for left or right but not up or down. It only mounts for point down (that is it will be point down if opened).Fairly complicated to disassemble if needed to clean. Goes with the territory for an assisted.The glass-reinforced nylon (GRN) frame may feel cheap to some. It doesn't have any metal liners, but is very strong and works well.Summary:I like both knives for different reasons.I give the edge to the Tenacious for the Blade design & hardness, build construction, and belt clip. Opening is good and easy but requires moving the blade all the way open, or a strong flip on a well broken in knife.The Flash II is lighter (may be good or bad). I like the bolt action lock better, mainly for ease of closing with one hand, and the spring assist opening it great. The flash has more pzazz.Both knives are about the same price $30 to $45 depending on options and seller at the time of this post, with the Spyderco starting on the lower end of the overlap price range and the Flash topping out the range.A cross between these with the Spyderco blade design and steel, assisted opening and an axis type lock like the Flash, would be real cool. Better then either one IMO. My Benchmade Barrage is the best of both worlds or better, and I like it better (who wouldn't), but too expensive for EDC for me.Conclusion:Even though this is my EDC knife, I have to say the Spyderco Tenacious may be the more practical and possibly a better choice for most applications. It has better steel, seems to be stronger, better blade shape, etc. I still carry the flash because of the assist, weight, and the safety issues. It's almost like it's not there.Best choice is to get them both.Hope this helps someone decide.",4,My current EDC knife.,1385337600,"11 25, 2013",0.1971
7,A3TA1A3PXA42T4,B00007E1M1,George S. Nieldan,"[0, 0]","I already own one of these as an EDC knife and that is why I have purchased more. This knife is quite sharp out of the box and it opens quickly. I like the safety feature that locks the blade so that it doesn't open accidentally. The best feature for me is the low profile clip that allows the knife to be carried but not seen. It is elevated a bit off the end of the knife so that no part of the knife shows outside your pocket. All that is visible is the clip. Most knifes have a small portion of the knife end that sticks out of the pocket. With this style of knife, you can't see any of the knife outside the pocket. This makes this a discreet EDC knife that is also functional and of an excellent quality.The handle is quite sturdy and has textured feel that increases the grip. The partially serrated blade is quite helpful in getting through boxes, rope, plastic, etc. Overall this is a lightweight and handy knife that is worth the price and superb for EDC. If it is stiff or doesn't open the way you like, just adjust the end screw and lubricate it with a drop of oil. I have also used WD-40 on this style of knife and it does wonders cleaning it and making it look brand new again.",5,Excellent Every Day Carry (EDC) Knife,1292112000,"12 12, 2010",0.1859
8,AOU5JPGKD601J,B00007E1M1,Greek Monkey,"[0, 0]","As a knife, the SOG Flash II is good. Not great, but good.The grip feels too flimsy for you to trust it as a work-horse knife. I certainly wouldn't want to use it for more than light utility, for fear of the handle coming apart.The blade is too thin to allow for much prying or to be used as a heavy-cutter (I would not, for example, want to use it as a survival knife; i.e. tapping on with a branch to wedge-cut kindling apart). Though the partial serration works well for cutting most anything.But, of course, none of that is why you're buying the Flash II. It's a combat-style tactical folder, and for that it's pretty dang solid.The assisted opening works well; shaving a few tens of a second off of the opening-time for other lock-blades of this type.The handle is shaped fine for all three standard knife-fighting grips (forward, reversed, and side-gripped with thumb on flat of blade)...though it lacks any kind of metal for breaking windows, etc.The blade itself holds an edge well, and has a shape conducive to both cuts and thrusts. The ambidextrous thumb studs, and reversible belt-clip, make it good regardless of how you carry and open it.The lock is easily engaged for simple one-handed closing.All in all, it's a great tactical lock-blade for the price.",4,"Quick opening, decently useful",1389312000,"01 10, 2014",0.3767
9,A1X03P3XI63F9A,B00007E1M1,Jeep Fanatic,"[0, 0]",Quality is excellent. Price makes it a no brainer! The safety works great to prevent accidental openings in the pocket and the pocket clip allows you to put the knife inside your pocket which is nice if you don't want to advertise it. Great tool. The assisted opening works better than expected.,5,Excellent Knife!,1393545600,"02 28, 2014",0.4258
