,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A30UHM6OOPVHNA,B00000I1BQ,A. C. Doyle Sniperbait1966,"[0, 0]","As part of the core Team at SONY Computer Entertainment that worked on the development of the Crash series, and helped propel Naughty Dog into the Video Game Industry as a premier Developer, with these million seller Crash games. I'm proud of what we did, and I STILL enjoy the Crash Bandicoot gameplay and graphics. Buy them up folks. I had to buy these because my little girl gave my copies to her little friends back in the '90s. I hadn't given it much thought until now, and realized that I just had to have my own copies again. Yes, I STILL have PlayStation 1, 2, & 3 consoles and WILL buy the second generation PS-4.",5,Crash Bandicoot LIVES!,1401926400,"06 5, 2014",0.1667
1,A1QT6PHXDA5XDF,B00000I1BQ,Amazon Customer UbbBlubb,"[0, 0]","This item was purchased as a gift for my Grandson, it was requested by him and his mother, they both love the game. It has worked flawless since they received it.",5,PS2 Video Game,1193443200,"10 27, 2007",0.6535
2,ADRRC2UIJ64S3,B00000I1BQ,Ambrosia,"[0, 0]",i used to play this all the time when i was little. the graphic quality is low because its the first one but i still love this game.,3,CB,1355011200,"12 9, 2012",0.5395
3,A2582KMXLK2P06,B00000I1BQ,B. E Jackson,"[4, 23]","Wasn't the very first Crash Bandicoot game supposed to become one of the all-time greatest Playstation games? That's what Sony thought would happen back in the day. After all, they promoted the game to death. Well look at that... didn't happen! And with good reason. The game is horrible. I can't believe ANYONE would prefer this junk over Sonic the Hedgehog or, especially, the Mario Bros. series.You have to give Sony a LOT of credit for all the attention they put into Crash Bandicoot in an attempt to put the game on the same extraordinary level as Mario and Sonic, but gamers never really caught on to Crash the same way. When you think about it, the Playstation already HAD a huge selection of games to choose from around the time Crash was released, therefore Sony didn't even NEED a mascot. People were buying Playstation games like crazy anyway! Crash Bandicoot never even had to exist.You'd think for a debut game (a BIG debut, considering all the advertisements on TV commercials) Sony would have made the game a *little* easier for younger or inexperienced gamers to play. Instead, Sony started off the Crash series with impossible bonus levels (impossible to complete AND find- I didn't even KNOW the game had bonus levels until I looked it up in the instruction booklet!)Even if you ignore the bonus levels, the challenge overall is pretty high anyway thanks to all the difficult stages (such as the one where you're crossing a bridge way up in the sky and continue falling through the wooden cracks- a NIGHTMARE of a level!) All the lives you earned up to this point in the game will go away. A mascot debut game shouldn't have the difficulty THIS high because the idea is for players of ALL ages to enjoy the game. Children will not like the nonstop frustration.I think the biggest reason Crash Bandicoot isn't remembered today the same way Mario and Sonic's debut games are is because Crash is basically just a blend of Mario and Sonic, but featured in a 3D world. Think about it. Crash collects berries throughout the game (Mario collects coins, Sonic collects rings). Crash has a spin attack (Mario and Sonic already had spin attacks YEARS before Crash's existence). Sony just didn't have enough creative ideas to come up with something entirely different, and that's why most gamers tend to ignore Crash Bandicoot. When you already have the best (Mario and Sonic) you don't need imitations.Crash Bandicoot may have improved later on (not enough of an improvement to earn its mascot reputation, however) but the series certainly did NOT start with a bang. I will always remember the very first Crash Bandicoot game as being this uninteresting, frustrating experience. Heck, just the fact that only 62 reviewers have submitted reviews for the game right here on amazon goes to show Crash Bandicoot's first adventure was meant to be gone and forgotten. Add to the fact that right now in the year 2006 NO ONE is talking about ANY Crash Bandicoot game anymore. This means you can ignore Crash Bandicoot entirely, and not really miss out on anything.",1,dull,1153872000,"07 26, 2006",-0.0733
4,AVF5WI7VA49RB,B00000I1BQ,Charity T Luvinit219,"[0, 0]",It doesn't get much better than Crash!! I love all his games! note to those ps2 UNsavvy people as myself... this will play on ps2 but you CANNOT save!! You can write down all the little shapes they give you to save but be careful... one mistake and you loose your game! This was irritating. So... I got out my old PS1... Memory cards from ps2 are NOT compatible with PS1... so I ordered a PS1 from ever reliable Amazon and all is good now in Crash bandicoot world. People who live and breath Playstation... stop rolling your eyes at me and saying duh. This is just a hobby. Live and learn! Happy gaming!,3,Crash,1248825600,"07 29, 2009",-0.0882
5,A2F9AGLWLR7PFN,B00000I1BQ,christine,"[0, 0]","Crash Bandicoot is one of my oldest games on my oldest system, the Playstation. Still, I have never grown tired of playing levels, which used to be challenges that now I pass with a breeze. The levels are awe inspiring. Water is flowing without a crack, the jungle is incredibly lush, and the characters have no mistakes from their hair to their sneakers. Story is interesting too-you have to save Crash's girlfriend Tawna from Dr. Neo Cortex. The only disadvantage is the limited controls-jump and spin. This game brought two sequels and two other games that involve racing and mini games. No wonder.",4,One of My Favorite Games on the PSX,1002672000,"10 10, 2001",0.085
6,A1ZTIEPQQE2220,B00000I1BQ,Dance_fan,"[0, 0]","This is a classic game that I come back to every now and again. The graphics are great and the content is really satisfying. But I do have a complaint of the actual difficulty of the game.1st island - The easiest to beat if you have all of the different coloured gems. The hardest level here is Native Fortress.2nd island - Slightly harder but still fun. The hardest level here is Sunset Vista.3rd island - The most frustrating. I spent half an hour to beat Generator Room with Perfect and another half an hour with Toxic Waste. The hardest level here is Slippery Climb.I don't get why a kid's game can get difficult to beat. I mean, I own mature games like Jak 2 and Oblivion and they are a whole lot easier by comparison. If you are looking for a challenging game, this is your cup of tea. But if you want a kid's game that you can just glide through, I recommend Spyro.",4,Great but too difficult in some places,1235001600,"02 19, 2009",0.2075
7,A3J8ZMGDTADUN5,B00000I1BQ,Daniel Garcia Montes,"[2, 2]","Seeing as how this is the first Crash game, it pains me to have to give this game a 3. The only thing that makes this game not quite as good as the others is it's lack of a very big story(and not to mention a horrible ending). Otherwise, this game isn't so bad. I give this game a 3 and a half. The graphics, gameplay, and music are fairly good. This game got me into the whole Crash Bandicoot Trilogy; and the games just get better along the way!",3,The one that started it all! It's easy to tell.,1019347200,"04 21, 2002",-0.0604
8,AN9UUK838XEC6,B00000I1BQ,David,"[0, 2]","Great game, fun old classic, very basic and easy to catch on to. Much funner than the first one.",5,Very fun,1286323200,"10 6, 2010",0.692
9,AA50ZQDY2TPK5,B00000I1BQ,game-dude,"[3, 3]","Crash Bandicoot's my favorite video game character and all his work is genius. I'm looking forward to his latest video game installment, Crash Tag Team Racing. The game's graphics are good, the gameplay itself sounds amuzing, and the trailer (on GameSpot) prove how visually stunning it's going to be too. But, Crash's humble beginning is not the same as Mario and Sonic's were. It was much better, more creative, and bigger.Mario's was just an arcade game. It was hard, but it didn't take to long to master it, and I don't even know if there was a boss. Sonic's debut was better then Mario's. A game you could play without spending money, good levels, challenging, better bosses, and a special ending you could view if you collected all the items necessary. But, these debuts lacked what Crash's had. Most challenging, best bosses, better secret ending, and most of all, a 3-D world to play in.Crash's world is not fully 3-D in this game (in fact up till Crash Twinsanity, none of them have been), but it is very good as far as it goes. The VIRTUAL world looks like the REAL world. That's one of the game's strongest points. The controls are very solid and Crash responds amazingly well to your commands. This spoiled me. I'd play a Crash game and then go play something else with looser controls and be upset by the lack of response. I became versatile after a while though. Crash lacks moves in this game, but he has more then Sonic and/or Mario had in their debut games. Crash has 3, Mario and Soinc only had 1. Crash's moves are running, jumping, and spinning. The spinnig move is an extremely creative thing. To make up for Sonic's spin, Naughty Dog brought out the bigger and better guns. Crash's spin is much easier to control and is much more effective. It also doesn't threaten you in a strange, almost indescribable way. Sonic's spin reqired that you dash in the direction that you were facing before you started spinning. Sega called this the spin dash. This could throw you to your death. Not Crash's. Crash could move or stay still when spinning. Note: Soinc didn't have the spin dash in his debut game. Mario and Sonic's jumping, I'll admit, was better. They were tighter then Crash. Their direction could be changed much, much easier then Crash when jumping. Crash jumps higher though. Crash runs kind of slow, especially when you need to get something done. But he's slower in Crash Twinsanity. Crash's camera control is hardly ever a problem. Every once in a while you'll have to strain your eye a little, but it's still a better camera then Soinc's. Mario's is best out of all, though, 'cause you could see the entire level all at once.As for the other features of the game, they're pretty outstanding. The levels are big and challenging. There's also secret levels in Crash. I've never seen anything like that in Sonic 1 or Donkey Kong, have you? No, I didn't think so. Crash's biggest flaw is the saving system. In the game, you must collect 3 tokens of Crash's girfriend's head (hidden in the level) to get to a bonus area. You must get to the end of the Tawna (Crash's girlfriend's name is Tawna) Bonus Round, touch Tawna (who's just standing there), and then exit the Tawna Bonus Round via a warp pad in order to save. If you don't do exactly what I said had to be done in order to save, you don't get to save. Not fair at all. But, it's still better then Sonic 1 or Donkey Kong, 'cause you can't save at all in those games. There are also two other kinds of bonus rounds in the game, The Cortex (main bad guy of the game) Bonus Rounds and the Brio (Cortex's right-hand man) Bonus Rounds. You can't save in these bonus rounds, even if you get to the end of them without falling off the platforms. Oh and get this, there aren't Tawna Bonus Rounds in all the levels, so you don't have a chance to save if your parents tell you to get off and you're in a level like Hog Wild where there's no bonus rounds. Big flaw. The 2nd biggest flaw is the way you have to collect gems. In the game you must collect 32 (I think; don't quote me on that number, because I'm not sure) gems in order to see the secret ending. However, it's a little too hard to collect them all. I understand most people think the game's not hard enough, but I think it's a little too hard. To collect a gem, you must destroy every single crate in a level and get to the end without losing a life. I'm all for destroying every crate, but I think you should be able to lose a life and still get the gem. It should only matter if you destroy all the boxes.So, if you're wanting to compare Mario and Sonic to Crash, I'd say Crash all the way. And, as you can see, if you're reading this, Crash's 1st game was much better then Mario and Sonic's. I say Crash is best, no matter what anyone else tells me.",4,My Favorite,1121299200,"07 14, 2005",0.0687
