,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A14IQPHOQ9LAYH,B00000I1C1,Adam Hatton,"[0, 0]",like play game as fun and enjoy. haven't play for long time and final get so like play what I can say that all,5,cool,1402444800,"06 11, 2014",0.7416
1,AXYRE3ET1R5F4,B00000I1C1,Batman The bat,"[0, 1]","Twisted Metal 2 is one of the best Twisted Metal games, I still like Black better. I liked the movie where Axel goes back to his father and rips his arms out of his machine. I hate the T rating. Buy this game NOW!",5,Cool stuff for all,1094860800,"09 11, 2004",0.178
2,A2582KMXLK2P06,B00000I1C1,B. E Jackson,"[0, 0]","Twisted Metal 2 was a HUGE game back in the day. The graphics were really good for its time, and the play control, while some will probably argue with me, was always accurate and responsive. This is truly a classic game. It had many imitators that hardly anyone remembers these days. Stick with the Twisted Metal series though. You can't go wrong with the amount of destruction this game has to offer.",5,a classic,1174176000,"03 18, 2007",0.2186
3,AX9OGYDSOZ48N,B00000I1C1,Caleb Abisai Nuila Caleb Abisai Nuila,"[0, 0]","When I got this game I was thrown back to the days I went to my uncles house just to play this game with him. Its fun and its cool that they use real locations for the battle, because you get to blow things up and find secret path ways and weapons to defeat your enemies. I have most of all the TM games and I can't wait to have them all, even the games that where made from different game company. Because the game play over all is the same.",5,Yeah Boy..,1366329600,"04 19, 2013",-0.0117
4,A2N2ROALE43S54,B00000I1C1,David Moore Dave,"[0, 0]","This game is awesome, it is better then black except for the graphics, sound and story. But, gameplaywise, this game excels!Innocent pedestrians, secret goodies, destorying the eiphel tower, while you find and destory these things you take on several different competitors out there and utilize their special attacks to YOUR advantage. ON single player this game is kinda tedious, but on 2p, HELLO FUN. I had a buddy who played this with me every time he came over to my house. We beat the game several times, but exploiting new characters attacks and finding more goodies as we traversed really ruled!IF this game had sound and graphics, and some better storyline, this would be in the top 20 games of all time!ALso Twisted metal 4 and 3 [was not good], get tw1 or tw black instead.",5,"The best TM, the best car combat, one of the best ever",1050969600,"04 22, 2003",0.3011
5,A3PPPKFRLJKP70,B00000I1C1,Hott Nikkels,"[0, 0]",Now this one was way more fun than TM-1. What was fun was the endings etc where it would show the little video clips. Liked seein them they were crazy. This game was fun though for sure to play with friends and all.,5,Super Fun Game,1121126400,"07 12, 2005",0.5119
6,A3IWODMA0CNX8J,B00000I1C1,Internet Dude Guy,"[0, 0]","Being a long time Twisted Metal fan this game would have to be my favorite in the series. Amazing Soundtrack, Great level design, unique characters, and an overall fun experience, especially with friends. I highly recommend this to any fan of action games.",5,Best in the series,1393891200,"03 4, 2014",0.7372
7,ASHK9LB9MU5ZI,B00000I1C1,isams,"[2, 2]","I rented this game because I am a big TM fan. I'll tell ya', this game is pretty old and doesn't have the best graphics, but it's awesome. The levels are cool. My favorite is Holland: Field of Screams. The characters are awesome too. My favorite is Minion. One of the things that I almost immediately noticed about this game was the machine guns. I don't even know why they give you machine guns on TM 3 and 4. They don't do anything. On TM 2 the machine guns actually do some damage and debris flies off other vehicles when they are hit. It would take a week to kill someone with your machine guns on TM 3 and 4. Actually you would be killed in less than a minute if all you use is a machine gun on TM 3 and 4. If you want a good vehicular destruction game, you can buy any TM game, they are all fun, but I recommend TM 2. It will provide hours of fun, especially deathmatch mode.",5,One of the best Twisted Metal games,999475200,"09 3, 2001",0.1327
8,A3LRIXA76RTRDE,B00000I1C1,John Moscarelli Disturbed,"[1, 1]","Introduction:When i bought my playstation i had now clue of any twisted metal games until I played this one. I never was able to get my hands on the first one but this one is amazing.The Game:Twisted metal is a car compitition almost like demolition derby except with crazy characters and weapons. Many games have tried to copy this gameplay but none could ever create one like this. The competition is held by Calypso and he gets people in search of help to join his competition and if they win through the 8 levels of demolition they get one wish from him. Calypso is all in this for entertainment while the characters are in it for something important.The Good:This game is one of a kind and has many good points. First of all is the gameplay. It is replayable and you can chose from any vehicle/character and take him through the end of the game and see his ending story. All of the characters are unique in an individual way and they each have their own special to terminate enemies. There are plenty of weapons to pick up and fire at opponents like the homing missile and fire missile and napalm. The levels are well designed and there are eight of them to battle through. The co-op mode makes the game especially fun but takes away the story aspect at the end. Also each vehicle makes their own sound when using there special.The Bad:The graphics can be a little bit choppy at times and many of the obsticals are flat. Some of the story lines are not worth playing through the whole game, you just have to be careful who you pick.Conclusion:Overall the game is excellent and is a must buy even if our deciding to buy it now and you have a ps2.",5,One of my Favorite Playstation games,1151798400,"07 2, 2006",0.1222
9,A2U0DKQPZSD50Y,B00000I1C1,M. A. Miller,"[0, 0]",this was the first game I ever played with interavtive environments it was really cool to blow the eifel tower up or make ice sheats fall with your opponet on them this game was awesome and i still play it even though i have a PS2,5,awesome,1063238400,"09 11, 2003",0.8883
