,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A13QVE6RCEFJGX,B000052YMR,AC,"[0, 0]","I was just recently diagnosed with Guttate Psoriasis and initially, this was the only thing that keept my skin moisturized. Then it seemed as if I need something thicker. Cetaphil is good but not thick enough for the kind of moisturizing I need. I no longer use it.",3,Purchased for Psoriasis but not as good as Eucerin,1321574400,"11 18, 2011",-0.0144
1,A27I4SNG31S63E,B000052YMR,. Anne Fischer Annie,"[0, 0]","Love Cetaphil! Used to spend big bucks on those fancy dancy products at the dept. store. Tried this at the recommendation of a dermatologist who told me all that I really wanted was a good moisturizer....that a prescription would be needed by those companies if they lived up to their claims.....I've been using Cetaphil ever since....also the cleanser.You just can't go wrong. It's non -greasy, keeps your skin moist all day....and before you go to bed, after washing your face, all night! It can be used all over your body actually: those elbows!I get told all the time that I look much younger than I am, and also that my skin is beautiful....well, I dunno about all that, but any help I get is because of Cetaphil. I also like bare minerals radiance (slight shimmer) and Nars for some of their liquids (blushes) that I put on to make my skin have a dewy look.",5,Used to spend a mint! not any more......,1372204800,"06 26, 2013",0.3609
2,A2XNJJ9TF70P4J,B000052YMR,Aurora,"[17, 20]","I love this stuff. I use it as a facial lotion. This tub has lasted me over a year and I use it on a daily basis. I have extremely sensitive skin and this lotion hasn't irritated my face at all. It also has NO smell at all, no weird chemical smells or anything. It goes on a tad bit greasy if you use too much, but it quickly absorbs. It also doesn't irritate my acne. When I don't use this product, my face gets really dry like it usually does, but it works great when I use it. If I had to pick a con, it would be that I hate that this product is in a tub.....since it lasts so long, I don't like the thought of dipping my hands into a tub, it feels unsanitary. If you accidentally forget to put the lid on, the product gets hard at the top......either way, whatever. It still works great.",5,Perfect for my sensitive face,1273190400,"05 7, 2010",0.1043
3,A1UNBTS4Y7JKSV,B000052YMR,Blueflower77,"[2, 2]","My dermatologist recommended Cetaphil. I tried the lotion and the face wash and honestly nothing special. Then I saw this in Costco while looking for my daughter's cream (she has ezcema) and thought why not try this. I fell in love with this cream after the first try. This is woooonnnderful!It has a non greasy feel, doesnt leave skin sticky, lathers and absorbs really nicely and quick enough for my toddler to get her clothes on post bath time. I also love it for myself on my arms and shoulders (i dont use this for my face though). I find that this doesnt clog my pores, since I have acne prone skin on my chest, back and shoulders I was worried it would be a problem there. Nope not at all. I live in a very cold climate and with the drying heat always being on, I get dry patches of skin, this will eliminate them 90% overnight and totally by the next day. Im so happy I finally found something that works well with my sensitive skin and acne. :)",5,"Awesome, awesome",1390003200,"01 18, 2014",0.2557
4,A1UGPIBPZGWJKF,B000052YMR,CaraDawn CaraDawn,"[0, 0]","This lotion was recommended by my pediatrician and sister who also uses it on her child. I love it! It is very soothing and moisturizing, especially when you are washing your hands a million times a day after changing diapers. It keeps my baby's skin soft and my hands from drying out. It's great for the whole family.",5,Love it for me and baby,1300579200,"03 20, 2011",0.3754
5,AMDZ6MZR6CRG9,B000052YMR,Carla D. Harnack,"[0, 0]","Originally purchased to help with my grandson's excema, now the whole family uses it! It doesn't have much of a smell to it, and moisturizes very well.",5,Works well,1369440000,"05 25, 2013",0.3979
6,A2137H75OSD20T,B000052YMR,Carol W fruit fanatic,"[1, 1]",My grandson has dry & sensitive skin and his parents need to lotion him 3 times a day. This cream generally goes on his face soothingly. It keeps his face lubricated and helps minimize eczema when used diligently. This is a quality name brand product.,5,Works without irritation,1389484800,"01 12, 2014",0.0954
7,A1XBU3HXSGSM05,B000052YMR,C. P. Bell media enthusiast,"[1, 2]","Well, you've no doubt heard from some other reviewers that cetaphil's moisturizing lotion formula is greasy so I won't beat that into the ground. It does bother me that a product with the 'lightweight' and 'non-greasy' monikers does not live up to expectations. However, if you put a very very small amount of water into the bottle (several drops), just enough to curtail the thick viscosity, you should be fine.Aside from that the product does the job. If you are looking for a non-comodegenic, hypo-allergenic product then this is for you. If you are also looking for an oil-free product, then this is not for you.",4,Pretty greasy...,1268179200,"03 10, 2010",0.0311
8,A14JA9D7VUTILY,B000052YMR,CurliGirlie,"[0, 0]",I have been using Cetaphil products for the last 15 years. These tubes are great to carry around and fit easily in my purse. The cream can be used on face or body. It is unscented and is very easy on my sensitive skin.,5,Best for Sensitive Skin,1358208000,"01 15, 2013",0.3332
9,A33AQPJYH7UUXR,B000052YMR,Desert Gypsy A Brooklyn Girl Out West,"[2, 2]","I moved to the high desert plains a couple of years ago and the combination of low humidity and hard water began to wreak havoc on my skin. I've tried many different products at many price points, including some extremely expensive ones. Lotions did not last and most creams I tried felt too heavy or either looked *or* felt greasy. This Cetaphil formula has the perfect balance for me; it is light enough to sink in deeply and thick and creamy enough to make my skin feel incredibly soft and have that feeling last.TIP: I buy this extra large size to keep the cost low but I reuse small cream containers to make this portable.Leaves my skin soft and supple. Doesn't leave a scent. Doesn't cause breakouts. Quite simply the best!",5,amazingly softer skin!,1328572800,"02 7, 2012",0.0351
10,A2G7B7FKP2O2PU,B000052YMR,D Leschke,"[0, 0]","I didn't expect to like this cream as much as I do. It's an excellent value and I don't plan to be without it in the future. Cetaphil now sits on my bathroom vanity and is used as a routine moisturizer for my face, elbows, arms and any other moisturizing needs.The scent is clean and very minimal so it doesn't iterfere or offend.It hasn't caused any breakouts and seems to hold moisture longer than many of the high-end moisturizers I've tried.Excellent product and a terrific value.The glowing reviews here were my reason for trying it and I'm very glad I did.",5,Wonderful Cream!,1321228800,"11 14, 2011",0.4177
11,A2ZAFIWPFIQGC4,B000052YMR,Empress red cat,"[0, 0]","After many different skin moisturizers for my sensitive skin, I stopped at this one to balance my skin type. No perfume and not greasy.",5,My favourite skin moisturizer,1368489600,"05 14, 2013",-0.2611
12,A366XQUDSSYGRQ,B000052YMR,Enrique A. Lopez Enrique,"[0, 0]","Absolutely love this cream. I have combination skin with oily t-zone but my skin dries out near my cheeks, near my eyes and chin. I use this cream twice a day--once at night after a shower and once in the morning after washing and cleaning my face. A lesser moisturizer would result in dry skin by lunchtime but this cream really keeps my skin moist and soft. Super safe around eyes and works into skin really well. No added scents! I've tried lots of different moisturizers and this one is by far the best.",5,Fantastic everyday moisturizer,1371513600,"06 18, 2013",0.2564
13,A52Y39SZ0HMRX,B000052YMR,Ezlypist,"[0, 1]","another great subscribe and save product. It's the only hand cream that I can rub on and it actually rubs in. Doesn't feel greasy and over time, do notice a softening of very dry, well used hands. I'm a dirt digger, so if it works for me, it'll work for anyone. I also have sensitive skin and can break out with the wrong stuff...not w/Cetaphil.",5,great stuff...keep it coming,1376006400,"08 9, 2013",0.164
14,A3VZEBBLZU111C,B000052YMR,Grace,"[0, 0]","This is my go-to day to day moisturizer. I liberally apply this after showering to keep my skin smooth & moisturized through the day. Being able to buy two 16-ounce jars from Amazon has been great! This product was originally suggested by my dermatologist to help with my very dry skin, and after I've been delighted with it!",5,Great daily moisturizer!,1371772800,"06 21, 2013",0.3672
15,A2Y4S4CNGKF21S,B000052YMR,H. Swanson,"[4, 6]","Uhh, did I get a bad batch? I love Cetaphil's face wash, but this was a dud. I couldn't use it on my face because it made me break out. It also was impossible to blend into the skin, leaving a white film for a few minutes until it soaked in on its own. When it did soak in it left a sticky feeling on my skin. Cetaphil failed me here.",1,"Uhh, did I get a bad batch?...",1327795200,"01 29, 2012",-0.1499
16,AM4CTYC2C0PMC,B000052YMR,Irish-a-go-go,"[0, 0]","I'm a product junkie. I have bought every expensive cream, lotion, anti-aging product out there and spent tons of money doing so. This cream is amazing. Seriously!About my skin in case this helps: I have very dry skin that is prone to break out. I felt I had wrinkled prematurely because of sun damage so I was focusing mostly on the wrinkles when I bought products. Often my forehead would be flakey and my chin would have breakouts. Frequently I had red patches on my skin and a very uneven skin tone in general.Since using Cetaphil: I have NONE of the flakiness and have not had one single break out. Also, my skin looked more wrinkled than it was because it was so dehydrated. Cetaphil has seriously taken ten years off my face and body. Oddly the place that I can tell the most difference is in my neck as I don't have that crepeiness (Not sure this is a word!). I've thrown everything away and have started stockpiling this stuff.I have NEVER had a product that made such a difference. My make up now looks better, I actually glow and I don't feel like I look my age anymore. I use it on my whole body and for the first time ever, I have an even skin tone. I cannot recommend this highly enough.",5,My Skin Looks Ten Years Younger!,1393977600,"03 5, 2014",0.0028
17,A1JUF8HCOHA6UU,B000052YMR,Jackie,"[5, 5]",My kids have eczema. I was walking around Walmart looking at soap section. A woman saw my kids and told me to use Cetaphil soap/body wash followed by Cetaphil cream. My kids are 9 and 10. I ask them how their skin feel after using the Moisturing Cream. The 9 year old said her skin felt softer and smoother. The 10 years shares the same opinion. I felt it was softer too.,5,Cetaphil Moisturizing,1277596800,"06 27, 2010",0.037
18,AMV9D5D7VOCO6,B000052YMR,Janet,"[0, 0]","I have tried many different lotions and this is the best one I have ever tried. It keeps my skin moisturized without being overly oily and sticky. It doesn't dry out my skin after and it is fragrance free. It doesn't leave a noticeable residue or layer of oil on my skin. It is well priced too. I have used expensive brand lotions that only dry out my skin more, leave my skin too oily or irritate my skin.Cetaphil is amazing.",5,BEST LOTION,1388448000,"12 31, 2013",0.2648
19,A146H6A41B26QT,B000052YMR,J. Marren jtm497,"[3, 4]","This cream is teriffic for dry, chapped, cracked hands. This cream is totally non-irritating and totally fragrance free. I slather it on at night and wear a pair of inexpensive white cotton gloves, although you don't really need them because the cream is not greasy.White Cotton Parade Gloves(By the way, no need to buy expensive medical gloves--the cheap ones work fine.) Works like a charm! Also keeps cuticles soft and preserves that manicure. Highly recommended!",5,Solves skin problems,1230249600,"12 26, 2008",0.243
20,A3NCB51ODGDZ3,B000052YMR,J. Snow,"[1, 1]","Our pediatrician recommended this when our 3-mo. old had moderate eczema, and after 1 or 2 uses, we had a baby with very beautiful skin. To this day, he's 14 mo. old now, we still use it every night after his bath. Great for infants and toddlers.",5,Great for Infants/Toddlers,1313712000,"08 19, 2011",0.2927
21,AYYZH8KL2Y6D3,B000052YMR,Kamal O Rowe,"[0, 0]",My dermatologist recommended I use this product after I developed acne in my mid 20's. Thus far it's been perfect and keeps my well moisturized and breakout free.,5,Great product at a great price.,1362528000,"03 6, 2013",0.5232
