,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1J5D4YI4X1CIY,B000086211,Amazon Customer,"[2, 2]","I wear a 40DD but got the 40DDD instead since it was my first time ordering bras from Amazon. The fit would have been ideal if it wasn't padded. Women who already have large enough 'girls' do not need the padding. The bra looks perfect online, however, the workmanship left much to be desired. For example, the black lace flowers design that covers the beige material needed some more attention to be paid to it. While the flowers were pretty, each flower bud and petal had thread sticking out (the flowers are sewn on). All the manufacturers had to do was just clip off the extra pieces of thread. I plan to do just that.",3,Could be better but I've had worse.,1376092800,"08 10, 2013",0.2707
1,A1UM39DYC08GYR,B000086211,Anna,"[0, 0]","this bra is really comfy and supportive. the only downside i have is that it actually rides a little high, so you can't wear it with lower cut tops or it will show.",4,great :),1358467200,"01 18, 2013",0.0517
2,A6FH8LMP30NYJ,B000086211,BettyGee Senior Citizen Tech,"[2, 2]","This bra is one of the most comfortable garments I've purchased in a very long time. It provides the support I want while being comfortable and quite pretty also. I have been purchasing bras at a much higher price, they were excellent; however, at this price and the satisfaction with the garment I'll be happy to purchase this item again.",5,Comfort and Support,1382400000,"10 22, 2013",0.7695
3,A36SZSBL6X3GGJ,B000086211,C. Woolf,"[0, 0]",This bra fits properly and is beautiful. It's nice to find a pretty bra in larger sizes. Most of the pretty one stop at size 40.,4,"Good bra and pretty, too",1376611200,"08 16, 2013",0.5427
4,A28X13Z3YQUA2V,B000086211,D. Tholen home project by me,"[0, 0]",I love this bra. doesnt ride under arm or didn't even need any adjusting. Plan to buy a few more soon,5,great fit,1357603200,"01 8, 2013",0.2123
5,ATG8XQ8AAMVNZ,B000086211,ebrady,"[0, 0]","I ordered the black one first and was so pleased with it that I ordered the navy one. Love the satin finish on the back. VERY comfortable with GREAT support and coverage. If the rating went to 10 stars, I'd try to give 11. :-)",5,love this bra!,1356480000,"12 26, 2012",0.6157
6,A2L9H4Y4P7IPQA,B000086211,Eileen S. Cockerham Gramaleen,"[4, 4]","Love, love, love this bra. It fits well, the underwire doesn't poke into my arm, and the bra cup stays put. I wear it all day long and it is still comfortable at the end of the day. I usually get home from work thinking I can't WAIT to get this bra off. Not with this one. It's pretty and it fits and it's very comfortable.",5,Best Bra EVER,1352332800,"11 8, 2012",0.4148
7,A2K351CN98U6G6,B000086211,gary fire,"[0, 0]","This bra fits perfect and I bought it to go with my blue dress. It looks so sexy to, love it",5,sexy,1363564800,"03 18, 2013",0.7209
8,A3PYL1CS4PCIX1,B000086211,Janet Marmaro Janet M.,"[1, 1]",I'm usually a fan of playtex but this one just didn't cut it for me. I had to return it because it was so uncomfortable on me. There was no problem with the return. I appreciate that.,2,Playtex bra,1387497600,"12 20, 2013",0.1561
9,A2OOWJJVIW6RH2,B000086211,Kate G,"[0, 0]","Lovely, fits, and the lace pattern is gorgeous. Only 4 stars because I had to bend the underwire in the middle to make it not poke me in the underarm.",4,Nice bra,1376092800,"08 10, 2013",0.4158
