,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,ARUQAU51OAMTQ,9625993428,A. Jackson,"[0, 0]","I bought this for my iPod 2G. I wanted to take advantage of Skype calling my family. The mic itself is small, about as big as a horse pill or a paperclip to you youngins who don't know that a horse pill is any big a** pill you try to swallow...LOL I have a little pouch in my purse I keep it in so I don't lose it...because you will lose it. The sound was good when I recorded a voice memo. But you have to remove it to hear anything back. THAT's the kicker!It's a restriction of the device, not the mic. I thought I could use the mic to speak and my Bluetooth headphones to listen at the same time. No such luck. You have to get the iPod headphones with built in mic/recorder to do that. So all I can use this for is to record stuff and listen later. But it was cheap, so it's still a cool addition to my toys. Oh, and I also got the iPod headphones with mic... those too live in my little pouch of goodies...LOL",5,Pretty darn cool mic for iPod 2G,1316736000,"09 23, 2011",0.0156
1,ALKT8NT9YS9MR,9625993428,ALK,"[1, 2]","Worked well for my older iPods, but it was purchased to enhance iPhone recording. However, there is no increased quality or functionality with the iPhone over the built in mic.",3,"Okay for iPods, unnecessary for iPhone",1270771200,"04 9, 2010",-0.0325
2,A288QFC30VQKN2,9625993428,Amazon Customer,"[0, 0]","Works as advertised. A bit large, so interferes with plugging in usb charge cord. And, of course, with this plugged in it turns off the speakers.",3,Works fine,1363910400,"03 22, 2013",0.0
3,A1ONY0WZAL2I3U,9625993428,Amazon Customer Mar,"[1, 1]","This little microphone transforms my iPod into something much more useful for recording events. There is no way to listen at the same time, but that was advertised as such. Thank you.",5,Works Great,1335225600,"04 24, 2012",0.2336
4,A2462LPFBLFKT6,9625993428,Anton Lemeza,"[18, 19]",I just got my mini mic and my Chill Pill Rapcap in the mail today.I bought both for my iPod Class 120gig for recording lectures. I didnt want to get one at a time to compare so I just bought both. My mini mic cost me $.34 and just under $4 shipping and rapcap was $14.50 and free shipping.I compared both for sound quality and distance at which they pick up sound. Turns out the only difference is the rapcap is white plastic spray painted pretty while the mini mic is either white or black plastic. Also the Rapcap is about .5mm smaller in diameter but same size in length. The caps construction is identical. Both work identical. Everything is the same. The only thing to test is durability but I'm confident it will be the same.So save the money and buy this one over the RapCap. They pick up sound great from a distance if you have it about 10 feet away from an instructor so just plug it in and stand it up near the instructors desk or sit near where he or she talks and youll be fine. I have a flip open case so I can plug mine in and stand it up so ill pick up sound great.Only complaint I have is that I bought the Rapcap too.,5,Identical to RapCap,1270684800,"04 8, 2010",0.1652
5,A1KGMLV9UME4EX,9625993428,A. R. Kushmir Kush,"[0, 0]","When I wanted to use my iPod to record some reminders to myself I looked around for a compatible microphone expecting to pay $25 to $50 or more and having a twenty page instruction book to study, but then I found this little gem at a great price and no instruction book to study and it works like a charm for me, just plug it in and go. I wish all tech stuff could be this easy.",5,"Simple, inexpensive, solutions",1280534400,"07 31, 2010",0.806
6,A25KZDHFZKWC4V,9625993428,BOBdotEXE,"[0, 0]",Ipod 5G/5.5G DO NOT SUPPORT LIN IN MICROPHONES!!!!!!DO NOT BUY UNLESS YOU HAVE A 6g 120GB,1,DOSE NOT WORK ON IPOD Video!!!!,1286755200,"10 11, 2010",-0.3041
7,AM3N5LZ7BETCB,9625993428,Bon Ochs,"[0, 0]","We received our order in three days which was super fast. The microphone that we received is actually white but that is not an issue for us. We put it on our 5-6 year old I-pod touch that our son plays with so that he can play all of his talking animal games. Despite reviews that stated it didn't work because the I-pod thinks there are headphones in, we have not had that issue with any of our talking games with the exception of the talking Angela game. I put the mic in and rebooted the I-pod and it worked perfectly. I thought perhaps I would have to remove the case based on other reviews but there was no issue there either. I was actually ready to take my I-pod to the Apple store and see if we could have a mic added but this $3.00 dollar microphone was the answer for us.",5,Updated our older I-pod touch,1361923200,"02 27, 2013",0.2188
8,A2U0ZD08F7EJ87,9625993428,canada,"[0, 0]",I have a ipod touch i bought this item before i realized that my ipod already has a built in mic and so haven't used this mic and never needed it.,3,wrond item,1360454400,"02 10, 2013",0.0
9,A9IP685WQXGQ2,9625993428,chery,"[0, 0]",These work for the itouch 64gb but they sometimes skip when recording. You can not hear what you are recording. The sound quality is okay.. I did get this product fast through the mail.,3,Mini microphone,1310428800,"07 12, 2011",0.0566
