,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3NSPDT7PQAUA5,B00000J061,ALC gadget lover,"[0, 1]","I bought this radio in order to listen to an AM station in my area that is very weak. Prior to getting this radio, I couldn't get it to come in on any radio in my house. Now, I can get it very strong and clear. The only complaint I have is that the dials on the front for volume, etc. don't seem well made and seems like they could break or come off. Since I leave it on the same station and same volume all the time, it probably won't be a problem. It also looks sturdier in the picture than it feels. It's pretty lightweight plastic. But, the only reason I got it was to receive this one station, and it does that job well.",4,Good reception for weak AM stations,1167868800,"01 4, 2007",0.1433
1,A29G75YOG3SOW2,B00000J061,Andrew Hildreth,"[11, 14]","Being one of those people that likes to chase late-night AM signals, I was convinced that this was a radio I had to have. I was a bit disappointed in some areas, but still see it as something good. This radio is big. Period. Once loaded with D batteries, it can be used to tone those upper arms during long listening sessions. Quality control seems to vary from set to set, but a few things off the bat that I found were awry for my $50 were:1) Build quality. The switches and dials seemed on the flimsy side, with the chrome finish easy to rub off.2) Dial Markings. For claiming to be a DX Machine, both AM and FM fequency marks are more for wishful thinking than accuracy. Best bet is to find your local stations and re-mark the dial with whiteout or tape and the actual frequency re-written by hand.3) Audio. For using a large woofer,tweeter, and separate bass and treble controls, the audio quality could be better than it is. It still sounds good, but should be better.On the plus side:1) AM reception is fantastic. By turning the radio to null signals, I was able to pick up a small local on 1040 AM near Rochester, NY, then turn it again to cleanly pick up another station on 1040 AM in Salt Lake City. The wide/narrow setting helps greatly in picking stations from the weeds2) FM reception is quite good. Picking up low-power locals and larger 75+ mile stations is no problem for this unit. I didn't realize there were so many FM's around until I purchased this radio3) AC power cord. Fits neatly in the back of the radio (albeit a bit cramped), and having its own power supply instead of an adaptor eliminates any humming while trying to find faint signals.Although not quite as good as its predecessor the SuperRadioII, it does what it is designed to do - allow good reception of AM and FM without any bells or whistles to get in the way.If you can find it discounted, then pick one up and listen away. Otherwise, there are better choices to be found in this price range.",3,A Good 5-Cent Cigar For Only 7 Cents,1129680000,"10 19, 2005",0.2783
2,AZBELVP7XNQ2W,B00000J061,Barbara L Dickinson,"[0, 0]","So great, I bought one for everyone in my family. The ultimate Christmas present. Great range, clear sound and when plugged in it charges the batteries. Incredibly durable too.",5,The best radio ever,1369353600,"05 24, 2013",0.3349
3,A38SHOPZADNOLN,B00000J061,Bigrin,"[15, 16]","For the price, you can't beat this sturdy radio. Great sound, and durable. Use it in the garage and around the deck and it's got great volumn and clarity. You can't beat the deal that GE is providing. Second model owned, had their original model for 13 yrs and was so impressed I got a new one.",5,Great Radio - Great Sound,1129852800,"10 21, 2005",0.4291
4,A2T70SN2VZHOR4,B00000J061,Bill,"[17, 17]","Most radios you can buy have pretty cabinets, nice paint, and will sound pretty good if you're tuned to a station whose radio beams are about strong enough to cook an egg. They're designed to impress you in the big box store, where looks and the sound of the most powerful station in town are all you have to go on. It isn't until you get them home that you find out how miserable they are in real-world performance, trying to pick up that weak station that's the only one carrying the game you want to hear.The GE Superadio is a whole 'nother deal.It's just an AM-FM radio, aggressively avoiding any other features whatsoever. But it's the gold standard of the type. When a radio geek wants to say whether some other set is good on FM and, especially, AM, s/he will compare it to the Superadio.To give you an idea how good it is; I live in a semi-remote area without any really strong AM stations. Sitting side by side on my couch, a typical 'personal stereo' type radio picks up one AM station. A cheap transistor radio picks up three. The Superadio picks up 37.I recommend my friends get these as part of their blackout kits. For one thing, it will run about two hours less than forever on its six D-cells. For another, this set can pull in AM stations at least two, three hundred miles away, in daylight, any time. If your blackout extends farther than this radio's range, you've got more important things to worry about.Incidently, it runs off AC also. It switches to AC automatically when you plug it in, switches back to batteries automatically if AC isn't available.Sound quality is excellent. It's mono, but it has a good and large speaker and enough audio power to drive it properly. It also has separate treble and bass controls.I give it four stars instead of five for three reasons:1. Some of them don't work. The first one I bought didn't.2. Stations are hard for me to tune toward the upper end of the AM band. They're packed very tightly together there, and getting from one to another nearby is fiddly.3. The wide bandwidth is useless to me. There is no radio signal in my area strong enough for it. I have to use the narrow setting, intended for weak and distant stations, for everything.Still, it's a heck of a radio for remote areas, for camping trips, or if you want to know how well a radio can work if somebody at the company gives a darn.",4,The Standard,1107993600,"02 10, 2005",0.1168
5,A2QAS68TU5KOZT,B00000J061,bills bills,"[6, 6]","A friend of mine had this radio for listening to sports. We live in a small town and have trouble receiving AM stations from the city on normal radios. With the Superadio, there's no problem. The tuner is sensitive and easy to use, the speaker sounds good, and the dials are tough. I think this radio is a perfect part of anyone's emergency kit. You'd be able to tune in stations from far away in the event of a power outage in your area. So far I've used mostly the batteries for power and they're lasting nicely (the product instructions say they'll last for 460 hours of on time). Do yourself a favor and buy this radio, it's a fun toy and a useful tool.",5,Everything you've heard is true.,1002499200,"10 8, 2001",0.3249
6,AXCWZ8HUF332W,B00000J061,Brett Buck,"[16, 16]","I got this radio to pull in both remote stations, and to have better reception. I also wanted something battery-powered for emergency purposes in case of power failures/earthquakes, etc.First impression is that this is one big, ugly, heavy radio. That impression never goes away, because it is big, ugly, and heavy. The apparent workmanship, fit and finish, looks like it was put together in the dark, by a developmentally-challeneged monkey, who had lost the instructions. It just looks, frankly, awful. Cheap plastic, poorly made (with all sorts of color swirls), with chrome paint. About like the interior of a mid-70's Chevy.It uses no fewer than 6 D cells. But the radio is so big you hardly notice. Most of the size comes from the 6 diameter of the speaker and the enclosure behind it. It probably to about half a barrel of oil to make all the plastic. There's also a very crude perforated metal grate over the speakers. All the knobs and switch *seem* like they will fall of at any moment, and the tuning dial and linear indicator are similarly questionable. It has a handle, and while you can carry it around, it's a portable radio in the same sense that the original beige toaster 128k Macintosh was portable.As far as entertainment products go, this radio is the opposite end of the spectrum from the iPod Nano.You might think that you will get some pretty great sound from a 6 woofer and a about a 3/4 tweeter. But no - the sound quality, overall, it not very good at all. It always sounds tinny and while it's plenty good enough for AM voice it's really not much better on FM.But, by golly, it does have absolutely terrific AM reception. Right away, all theproblem stations I had before were perfectly clear. With a Terk loop antenna, I spent a few late nights trying to see how many of the 50kW clear channel stations I could get. With care in tuning the antenna and the radio, I got the Hartford, CT, station on the first try. Didn't last too long, but I got it. This from *Sunnyvale, California*. It's relatively easy to get stations in Wyoming and Nebraska on good nights. Seattle, LA, Salt Lake, no problem anytime, even with the internal antenna.The tuning indicator is nowhere close to accurate and in any case the markings are so crude that you can't reliably set the radio using the existing marks. I just put some paper correction tape on the scale and marked the frequencies with a pencil.One thing that I didn't see in the other reviews, or anywhere else except the instructions, is that the radio is capable of being set to use 20 kHz bandwidth instead of the usual 10, meaning you get a lot better sound than normal. The speakers stink, but the reception is better and the incoming information is less compressed. Of course you want narrow for long-distance listening but if you listen to nearby stations it helps quite a bit.The FM performance is nothing to write home about, hardly any different from any other radio you might buy. It has AFC to help control the drift, and it seems to work just fine. But it's a mono radio, and the speaker quality limits the sound quality. It's bad enough that it will wear you out if you listen to music for long. There are tone controls, but no amount of fiddling with the bass and treble will fix it. If you want a good-sounding FM Radio, get the Tivoli Model One. It's about 3x the price but the sound is about 10x better. It's clear to me that virtually all the price of the GE went into the AM receiver part, and the rest of it was compromised to meet the *very low* price.With the huge battery pack, I suspect it will run a very, very long time on one set. Of course, it can also use AC.Crudity aside, the radio works exactly as advertised, has brilliant AM reception, will probably run forever on a set of batteries, and is so inexpensive for the performance that you really can't go too wrong.p.s. to clarify, my review is for the *GE* version, not the RCA version, which is still big, ugly, and poorly made - and also has terrible performance. The GE version works well, the RCA does not",4,"Great AM reception, hard-to-believe worksmanship",1128124800,"10 1, 2005",0.1038
7,A384UZZIZDHSNJ,B00000J061,Clark Johnson,"[17, 18]","As someone who worked for the GE Audio division back when the first Superadio was developed, I can attest to the fact that the product was seriously designed as a very high quality piece. The engineers had their GE radio reputations on the line, and the concept of good mono vs. bad stereo obviously had market appeal.Over the years, inevitable cost compromise decisions have undoubtedly been made (I was part of some of these types of discussions as well), but when I was looking for a good portable radio, this version was high on the list. We have been satisfied with our recent purchase and would recommend a listen to anyone interested in good reception and sound. One problem is that there are relatively few retail outlets at which to check this out, but that's why we have Amazon, right?",4,A bit of history,1050278400,"04 14, 2003",0.3427
8,AW8UBYMNJ894V,B00000J061,Cognizant Consumer C Campbell,"[0, 1]",I bought the original version of this radio back in the late 70s. We've had this one for over two years. It's a great basic radio with loud enough sound for shop/work use. We left it in the Vegas sun and it melted the case a little. It still works!,4,"Careful, it melts!",1202601600,"02 10, 2008",0.1886
9,A3J4DJ03W3UF8O,B00000J061,David Swanger dave,"[0, 0]",This radio does a great job of receiving local channels and picks up AM stations from hundred of miles away.,5,Killer radio,1359936000,"02 4, 2013",0.6249
