,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2XPPAMKIMK3VE,B00000J1UQ,AJ,"[0, 0]",It is a good cord. Simply packaged. Nicely priced.There is not much more to say about a simple cord.,5,It's a good cord.,1388620800,"01 2, 2014",0.2936
1,ARNWCQZHZWKW8,B00000J1UQ,Amazon Customer,"[0, 0]","Not really much to tell. I needed a replacement power cord for a computer (puppies chewed the old one), bought this one from Amazon.com, plugged it in, the computer works. As Jerry Pournelle has said before about Belkin products, it Just Works. And the price is right.",5,Excellent replacement AC cord,1252713600,"09 12, 2009",0.0
2,AJ4NMYPGJ43BY,B00000J1UQ,Andrew,"[1, 1]",I needed a replacement cord for my computer and this one works great! Very easy to hook up and at a great price!,5,Great replacement!,1369094400,"05 21, 2013",0.7403
3,A183S80WADLOCU,B00000J1UQ,Andrew Levesque,"[0, 0]",Not really much to say other than it being exactly as expected. Lost the cord to my TV (moved it around a lot) and this fit perfectly. Cord doesn't get hot at the connections and fits sturdy into the plugs on each end.,5,Exactly as expected,1360195200,"02 7, 2013",0.2327
4,A11F8JSQ206D9J,B00000J1UQ,Andrew Simmons,"[0, 0]","Cables either work or they don't. Belkin works great; it's now my brand of choice, and I don't look at any other cable other than an Amazon brand cable.",5,"Works great, excellent brand",1373760000,"07 14, 2013",0.3502
5,A2NOQZINOJVPV2,B00000J1UQ,Anonymous,"[0, 0]",This extension cord is a waste of money and I feel like a tool for ordering it. I should have ordered a cheap one instead. I guess I bought the brand name instead lol FML,5,Waste of money,1370476800,"06 6, 2013",0.1148
6,AIU5R82TF1ID2,B00000J1UQ,A. Perez,"[0, 0]",I just built a new PC when it dawned on me that I didn't have a power cable. I borrowed my printers and bought this one right away. Cheap and it works. What more could you want?,5,Pleased,1320710400,"11 8, 2011",0.036
7,A1JLW42JHQRJBP,B00000J1UQ,Arachne Born to be wild.,"[0, 0]","A friend of mine gave me an old computer of hers, but the computer lacked a power cord. Low and behold, Belkin comes to the rescue. The power cord was perfect for the old PC, but would be good for a new one as well. It never hurts to have extras on hand when it comes of cords and cable for ANY computer.Great product from a reliable company.",5,A quality replacement,1390262400,"01 21, 2014",0.5248
8,A3LG0DU1ALKTH3,B00000J1UQ,Audio Video Obsessed,"[1, 1]",For such a low price it is great! It is true to Belkin quality-low price high quality product; can't be beat,5,Excellent quality,1367452800,"05 2, 2013",0.4654
9,A87N6UTYA6NOB,B00000J1UQ,B. Clark G35,"[0, 0]",Somehow in my piles of cables and connectors I managed to lose one of these. I bought this as a replacement for my Thecus n4100pro server but also tried it on my PS3 and Samsung 26 LCD tv. It worked fine on all of them.,5,Replaced a lost AC cord on my Thecus n4100Pro server,1340064000,"06 19, 2012",-0.0665
10,A3BTBXXZ7LG6LW,B00000J1UQ,Casey G In AZ,"[0, 0]",This power cord fit the monitor and the outlet. What more could I ask for? Worth the $ if you need one of these.,5,It works as advertised,1388966400,"01 6, 2014",0.1958
11,A1Y9VZ0TXTSWWD,B00000J1UQ,Chris Crawford,"[0, 0]","If its wire, I perfer Belkin. In my opinion its a quality cord. This cord is being used on a monitor and I like the way it lays. It doesn't have a mind of its own. It stays where you put it.",3,Where the heck did I put that original cord?,1384819200,"11 19, 2013",0.0722
12,A1HWSRLE5IBCTV,B00000J1UQ,cnelson,"[1, 1]",Works great! I plugged it in to my Acer monitor and image is as it should be. No cut outs and good quality.,5,Good Product,1355443200,"12 14, 2012",0.4109
13,A61UIWC9N8CJK,B00000J1UQ,Consumer Advocate,"[0, 0]","I needed another power cord because I forgot to bring it with me on a trip, so I ordered one from Amazon and got it in two days (Amazon Prime).This Belkin cord has a higher quality than the one that originally came with my PC, and the price is very reasonable.I recommend it highly.",5,Excellent Quality,1318032000,"10 8, 2011",0.6344
