,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AF12T5NUGPDWD,767015533,Angelica,"[0, 0]",Too bad the Avengers series are no longer being made. Netflix use to stream it but no more. If Amazon could snag the series I might reconsider Prime. I use to watch this as a little girl and it brought back a lot of fond memories,4,Glad I grabbed this,1369526400,"05 26, 2013",-0.1235
1,A55DWAFXRTZXG,767015533,arthur,"[0, 0]",Thank's for the outstanding job in keeping and sending this video in perfect shape . I will enjoy it for manny years to come. ART,5,GREAT JOB,1359763200,"02 2, 2013",0.4403
2,A1TONI9A0YFOD6,767015533,Bruce Rux,"[2, 2]","The concluding black-and-white episodes of the Diana Rigg series had a more than usual tendency to show off her figure to fullest advantage. Such is the case especially with A Sense of History, in which she dresses in a leg-revealing Robin Hood outfit, and A Touch of Brimstone, where she wears next to nothing as the Queen of Sin (and is attacked with a whip, to boot). How To Succeed...At Murder has her in a bodystocking/leotard, practicing ballet for a good portion of the story. And when she isn't dressing down, she's quite the clothes-horse, wearing a gorgeous white pants suit, for instance, in The House That Jack Built, a memorably striking bit of surrealistic sci-fi.Oh, yes - Patrick Macnee is here too, lest we forget that he was the only actor to have starred in every season of the show. And he gets to play dress-up in these episodes, as much as Diana Rigg dresses down.As usual, the interplay between the two is delightfully witty and sparkling, their interaction with numerous flamboyantly unusual villains (and more common thugs) well-choreographed and exciting.",5,Steed Dresses Up - Emma Dresses Down,1020988800,"05 10, 2002",0.0981
3,A1QYNNYK83VI0D,767015533,Calvin Peake Cal,"[0, 0]",Mrs. Peel elevates all scenes she is in to the edge by not knowing what to expect from her role as a mystery solving investigator while working hand in hand with Steed. Excellent program writing which is what we have come to expect from the Brits.,5,Avengers Hit The High Spot In The Road For the Brits.,1356393600,"12 25, 2012",0.7017
4,A3GQKB1KF0CRPE,767015533,"Deborah MacGillivray Author,","[13, 13]","The Second set of 1965 era has Steed and Peel gelling as partners. Rigg and Macnee have the perfect sizzle of chemistry. Admiration in their eyes, the flash and fire, but all kept quite under control as they function together to stop the evil menace against Britain. I have seen some say this series came about because of the success of the Bond Film, but it was already on the air with theearly episodes, and follow in the trek of Patrick MacGoohan's Danger Man, which turned into Secret Agent (and then into the Prisoner). These seven episodes are still in B&W;, which I think even added to this mysterious ambiance of the episodes. Being able to film in lower light, permits those deep shadows, giving a sinister touch.1) The Murder Market takes Steed and Emma undercover at a marriage bureau, ending with Steed rescuing Emma from being buried alive as she gets too close to the black widows at the center of this evil plot2) A Surfeit of H20 A freak rainstorm drowns locals in the fields. Fearing this is the return of the Great Flood, they villagers have begun building a new Ark. Emma is stylish even in a Mac!3) The Hour That Never Was Steed visits his old RAF airbase in Hamlin.Hours are missing in people's memories, so Steed and Emma must uncover brainwashing saboteurs, threatening England.4) Dial a Deadly Number have Steed and Emma investigating a device called a Bleeper. The Bleeper is designed to help millionaires keep in touch, but an evil doer has set it to reach out and kill.5) Man-Eater of Surrey Green When a outer space artichoke, lands and takes root, and begins killing eminent horticulturists, Emma and Steed get out the Roundup. Rocky and Bullwinkle fought a similar plant in the cartoons - wonder who was first...lol?6) Two's A Crowd Russian agents had let loose a doppelganger for Steed, in order to infiltrate a defense conference7) Too Many Christmas Trees is one of my fav episodes. Steed has been having a strange nightmare, so he welcomes the invitation for Hols in the country at friends. He invites Emma to tag along. They dress up in period costumes, and all seem to have a good time, but Emma begins to suspect Steed's dream is not a dream, but someone trying to control Steed's mine through telepathyJust great fun to have these on DVD.",5,second sets of DVD with Emma Peel,1097452800,"10 11, 2004",-0.1737
5,A00295401U6S2UG3RAQSZ,767015533,Donald J. Sullivan Worker11811,"[0, 0]","Item delivered on time and well packaged, slip case a bit worn. Essential Diana Rigg episodes from 1965 in B&W. It's called '65 DVD Set 2 (in case you get as confused as I do with the chronology nomenclature). Volumes 3 & 4. Vol 3: The Murder Market, A Surfeit of H2O, The Hour That Never Was. Vol 4: Dial a Deadly Number, Man-eater of Surrey Green, Two's a Crowd, and bonus episode Too Many Christmas Trees.",4,Essential Mrs Peel,1353196800,"11 18, 2012",-0.0748
6,A2SB4TL38H4VCU,767015533,Dr. Denny,"[0, 0]",I love the vintage Avengers. This set of episodes is exciting and contains some that I have not seen before. I recommend these editions of the Avengers to anyone who appreciates the show as it appeared back in 1967.,5,Avengers always a favorite with me,1389139200,"01 8, 2014",0.6104
7,A2Y8FKS50E1YGB,767015533,Ernest Caldwell Jr EC,"[3, 6]","A lot of reviews of this set were great, especially the episode that related to picture (Queen of Sin). I've been an Avengers fan since its original airings, & I've always found Miss Peel right attractive, but Queen of Sin is the worst episode I've looked at on DVD so far. Her outfit is not really that sexy, & the story to that episode was absolutely lousy (& loud). If you're buying individual sets & not the whole Emma Peel megaset, then skip this set; don't let the cover fool you. The rest of the episodes in this set are better however, so if you're making complete year purchases, then buy this set too....you decide.",3,avengers,1220140800,"08 31, 2008",-0.3022
8,A11ERZ44ABTEPO,767015533,George Duncan verogolfer,"[0, 0]","The Avengers was a classic television series. It had intelligence, wit, great characters, good plots - if sometimes they did stretch credibility - and the incredible chemistry between Patrick Macnee and Diana Rigg. The shows here are not, in my opinion, the best of the series but even the second best are top grade. Rigg is as beautiful and charming as I remembered her and no actor has portrayed an English gentleman better than Macnee.",5,One of the Best Television Series in History,1366848000,"04 25, 2013",0.6561
9,A7Y6AVS576M03,767015533,gobirds2,"[1, 2]","What a provocative cover! If you fondly remember that great British import that we watched on TV way back in the 60s then you no doubt know about the content of what you are getting. You are more likely concerned about the quality of the product. Like John might say to Emma, You scratch my back and I'll scratch your back. Just watch the hat please. John and Emma are back and are here to stay. Being on DVD, the aesthetics about the actual episodes are not in question here. More appropriately one may ask how they look. They look good, very good, excellent in fact. Still can't get that great theme out of my head. You get seven on this one.",5,This Is the House that Steed Built,996969600,"08 5, 2001",0.172
