,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AAMU00SSB7TYG,B00005U2P3,akb--bookworm,"[0, 0]",Got this ball for my 7 and 9 year old sons who have loved this ball. It is great out of the box and is a great weight. They boys have been playing with this ball outside all over the neighborhood for weeks now and the grip is still great and the ball is still inflated.Worth it.,4,Great Grip,1342569600,"07 18, 2012",0.719
1,A1HBC0NBQJHT7X,B00005U2P3,Bookphile,"[0, 0]","My daughter had been in desperate need of a basketball for her outdoor hoop, so we decided to give this one a try. The surface has a good, slightly textured feel that was a little bit tacky, which made for a nice contrast to the cheaper rubber basketball she'd previously been using, which had been worn nearly smooth.We've had the basketball for some time, and it's survived nicely in our garage over the course of the change of seasons. Unlike a lot of the other sports balls we have, this one holds air well. It has a good bounce, and the surface is still in good shape after all this time. Being bounced against the cement on our driveway hasn't left it any worse for the wear. I can't say how it might function in an actual court, but it's a good choice for some outdoor basketball.",4,Good for outdoor use,1365120000,"04 5, 2013",0.2728
2,A1NOBRCN20NGD5,B00005U2P3,Bradley Bevers,"[0, 0]","If you are looking for a decent ball to use indoors this is a good, affordable choice. It feels great out of the package the tack on the ball responds well for shooters. I found that the ball rotation was better with this than a well worn basketball. Here are the grades:Weight: C- , could definitely have been heavierInflate Quality - B+ , Holds air wellFeel - B+, more tacky than other basketballs, but feels greatBounce - B, GoodOverall - B+Durability - C- , I would not use this ball outdoors. It does not have the right feel and I think it would fall apart after a few uses. Stick with indoor ball and its a good choice.Good quality ball for the indoors, recommended.",3,A Good Buy For The Price - Use Indoors Only Though,1341532800,"07 6, 2012",0.3972
3,A23GS4UGLQBG2V,B00005U2P3,C. Boudreau,"[0, 0]","This Spalding Tack Basketball is very tacky. It makes it easy to palm the ball and provides a light soft touch. Using the ball mainly on indoor courts, it holds up well. I'm doutbful that the texture could withstand a lot of use on an outdoor court, but after a few uses outside, it is still in perfect condition.I like this ball a lot, but I only gave it 4 stars, because I noticed that whenever we pick the game ball for our pickup games, everyone shies away from these balls.",4,Very tacky (in a good way) basketball,1343088000,"07 24, 2012",0.3914
4,A2WB4OWBUH2VQX,B00005U2P3,HardyBoy64 RLC,"[0, 0]","This is the perfect ball for a family game of 2-on-2. While it's the standard size for a basketball, the softness is very nice, especially when playing with little children. They seem to be able to handle this ball a bit better than the harder basketball that we own. It's quite easy to palm this ball compared to our other ball as well. The color is a rich, dark orange and quite a bit darker than the standard ball. I recommend this product for many hours of fun!",4,I love the soft feel of this basketball,1341187200,"07 2, 2012",0.5962
5,AVKV8RO3PTDCM,B00005U2P3,Jerry Ayers,"[0, 0]","I love this ball. It feels great and professional. First time playing with it, it felt brand new straight out the box. After about a week of playing, everybody wants to use my ball for games. It feels good that your ball becomes the game ball out of all the other balls but I feel bad when its time for me to leave the gym. lol...Jerry Ayers",5,love this ball,1398297600,"04 24, 2014",0.2068
6,A1DY0CRKZEY0FB,B00005U2P3,J. Perkins,"[0, 0]","The main feature of this ball is a tacky surface that makes the ball easier to grip. This feature works really well. This ball has a noticeably better grip than the Wilson indoor/outdoor ball that I have been using for casual driveway basketball. Otherwise, it is a typical indoor/outdoor ball. It is well made and keeps inflated. One interesting fact about this tacky ball is that when wet it becomes much slicker than a standard ball, which grips about the same when playing on a wet driveway.",4,"Nice ball for casual, everyday play",1347926400,"09 18, 2012",0.3674
7,A2V2URLB31HG59,B00005U2P3,JT,"[0, 0]","If you play outdoor hoops, this is a good value for less than $25. I never bring an expensive ball to outdoor pickup games - harsh on the ball plus decent chance of forgetting your ball or someone getting it mixed up with theirs and walking off with it.Upon shipment arrival my new Spalding Tack 29.5 did need some air but I've found that to be typical plus if you own a basketball you should expect to need a ball pump once in awhile. I'm partial to tacky (sticky) balls because I just seem to shoot better with them (better rotation since I can't palm a ball) - this Spalding was right up my alley with the stickiness factor. Nice dribble, nice feel - actually the best sub-$25 I have used and probably my future choice for outdoor ball.Now of course I've only used this ball for less than one month and only a few times per week so I can't comment on the durability yet (will update review if anything notable) but so far the ball is holding up nicely - I've found that I don't get more than 6 months use out of regularly played outdoor ball anyway.So overall, 5 stars thumbs up for value.",5,Good ball for under $25,1342656000,"07 19, 2012",0.5302
8,A3KCKECEO3E2AN,B00005U2P3,K. Dubose,"[0, 0]","This ball provides grip and feel for ball handlers and shooters with a composite cover material. I have 2 boys that lllooovvvvee basketball and this ball is their favorite. This ball emulates the feel of leather, that also offers the durability need for mixed surface use. It seems like they had ball handlers and shooters in mind when making this ball. The ball has a wide channel design, suitable for indoors or outdoors use, the ball meets official NBA size and weight requirements. Can really speak on the durablilty but for the most part, we are really impressed with this ball. Buy it, you'll love it!",5,AWESOMENESS,1344902400,"08 14, 2012",0.3099
9,A3U1WPDQLP9CQ,B00005U2P3,Lemon,"[0, 0]","The Tack Soft compound on this ball makes it terrific to grip and control. I have not had it long enough to comment on durability, but at least out of the box it is the most pleasant and controllable ball I have ever played with. A great product!",5,Great Ball To Grip,1340668800,"06 26, 2012",0.6584
