,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2381PRHDWHZNZ,B00005UDHY,AlwaysAmyBrand,"[0, 0]","I occasionally swim at the gym and these have worked fine for me. I don't need anything fancy and these generally do keep the water out. I readjust them a few times each swim. Leakage will all depend on your face shape, depth of eyes, etc.",4,Fine for occasional swimmer,1391817600,"02 8, 2014",0.0506
1,A1ZJAQ7728RKXD,B00005UDHY,Amy Love,"[1, 1]","Simple, comfortable. Absolutely what I needed for my nightly swim. Really flexible strap -- gotta tell you I really life these goggles!",5,GREAT Goggles!,1368403200,"05 13, 2013",0.2895
2,A9R6BTJP1BD2O,B00005UDHY,Bumpus McGee,"[0, 0]",I swim at the local gym 1-2 times a week. Found this pair of googles with great reviews and a decent price so I pulled the trigger. I have been wearing these goggles for over 6-months now and am very happy with them. The goggles are comfortable around the eyes and the strap stays on in a secure and comfy fashion. I bought my gf a pair as well and she uses them several times a week with no complaints. If you are looking for a comfy pair of goggles to use for recreational swimming that come with a decent price tag then you should look no further!,5,Perfect Googles for Recreation Swimming,1399420800,"05 7, 2014",0.3479
3,APU31S57AO2WV,B00005UDHY,Christian S.,"[0, 0]","This is a good looking, swin google, but I think it is not easy to adjust,I bought the blue lenses and sometimes I couldn't see. I prefer to buy another from other mark. I don't not recommend it.",3,Swin Google not the best,1397692800,"04 17, 2014",-0.0264
4,A1SIGYJ5VS5J7P,B00005UDHY,cordellia,"[0, 0]",Super water proof and easy to see through. I bought these for post-eye surgery so I could take a shower while my eyes were still not able to close. So nice to see and wash my hair with.,5,Clear and a great fit,1385856000,"12 1, 2013",0.4179
5,A2DXISH3UX7EPJ,B00005UDHY,CP,"[0, 0]",Am a beginner swimmer. These work really well and would get another pair like them. Probably will get a tinted pair for swimming in the lake.,5,swim goggles,1359504000,"01 30, 2013",0.1995
6,A293VL9NIXP7D4,B00005UDHY,CS,"[0, 0]",No complaints - these are good goggles. No issues when worn as directed - I think other reviewers have not been putting on incorrectly. They are comfy and meet my needs. Recommended to others.,5,Comfy and good goggle - no complaints,1359676800,"02 1, 2013",0.0769
7,A85ZY7XYIKFCS,B00005UDHY,Cyoder,"[3, 5]","I don't know much about goggles or how to swim fast, for that matter. I do know that these goggles do what I needed them to do, so they get 5 stars!They look cool, they stay on your head, and they keep the water out (when properly adjusted). What more can you ask of a pair of goggles??",5,Great!,1367539200,"05 3, 2013",0.1015
8,A22R3FVF2B1B0I,B00005UDHY,Flyguy,"[0, 0]",Pros:They have a solid nose piece.They act as sunglasses.They are comfortable.They barely leak at all.They form a great seal.Cons:The anti-fog coating wears off after about two weeks.They are a little hard to adjust.,4,My favorite goggles.,1313539200,"08 17, 2011",0.5402
9,A2W0GY64CJSV5D,B00005UDHY,FreeSpirit,"[35, 41]","I guess goggles is one of those things that either works for you or it doesn't. Most of Speedo's goggles have great reviews so I wasn't sure which ones would work for me. Ordered the oversized Baja model which wasn't up to the mark for me because it hurt after wearing it for some time. Replaced them with these Hydrospex goggles and these are PERFECT! Very comfortable to wear, keep the water out completely, do not get foggy (I ordered the black ones), and do not hurt at all.",5,Best googles for me,1312070400,"07 31, 2011",0.2701
10,A3GI49VPO87K26,B00005UDHY,Itsheathers,"[1, 1]","They do the job just fine. I do not like to pay a lot because I am not easy on my goggles, so these are perfect",5,Great inexpensive goggles,1366675200,"04 23, 2013",0.1955
