,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2582KMXLK2P06,B000006OVJ,B. E Jackson,"[3, 3]","Finally, after YEARS of seeing Mega Man in 2D shooter side-scroller gameplay, Capcom began to realize the video game scene was changing, and realism was becoming more important than ever. So in 1997 Capcom decided to take the classic gameplay of the old Mega Man games and bring Mega Man to an ENTIRE new 3D world. I finally got to experience the 3D Mega Man adventure a few days ago, in July 2006. So it took me NINE years to finally play it! What can I say? I'm slow!I have a few problems with certain parts of the game but overall, I'm happy to report that the jump to 3D was a good one (not to mention a NECESSARY one!) Mega Man spends the entire time in Legends jumping and shooting through a unique 3D environment.I'm surprised so many people hate the graphics in the game. They're quite wonderful if you ask me. Sure, the graphics may be dated because the game is nearly 10 years old (and walking around in Mega Man Legends is sort of like walking around in a giant land of legos) but none of that should matter because you have to take into account the amount of FUN a game provides. Mega Man Legends provides a LOT of fun.I really loved one of the very first boss fights in the game where I had to keep running and hiding behind buildings because these giant walking blue, red and yellow machines were throwing bombs and shooting laser beams at me. The first time I completed this battle it took a good 30 minutes ONLY for a bigger, badder machine to come in and defeat me in seconds. At first I was angry because the game wouldn't let me SAVE before fighting this fourth boss. A half hour of work flushed down the toilet was the thought that went through my head.That led me to think the game might be too hard for me to handle, but it turned out I just didn't have the right upgrades for my X-buster equipped (actually I didn't have ANYTHING equipped!) so when I went back to do the battle again I defeated him (her, actually) rather easily.Most of the enemies throughout the game are rather easy to defeat (including the boss fights). Many of the boss fights will keep you on your toes, though. The strategy to defeating many of them is to KEEP RUNNING and only turn around when the moment is right and BLAST them! The only boss who isn't easy is the very last boss (who sounds like Michael Jackson) because he has TWO forms. The first form you can figure out with practice, but on the second form he turns into a giant machine and THEN the challenge increases. But it's possible to find enough money to carry up to 10 Sub-tanks to help you out DRASTICALLY. If you were to carry 10 Sub-tanks he would be a VERY easy boss! Despite that, the game provides a nice challenge because the way the story unfolds forces you to do a LOT of things. You have to go HERE, you have to go THERE! You have to collect THIS, you have to collect THAT! You'll find out just how many items and weapons are in the game when you hit the Start button and see everything in your inventory. It's borderline INSANE.You see, to help make the game easier, what you have to do is go around searching for things (things located in treasure chests or holes in walls) and then you have to bring the things you collect back to this yellow vehicle where your female friend (or sister, I forget who she is) will be inside. She can find ways to turn many of the things you collect into important weapons for you to use. She must be smart!I think I explained myself correctly, there. It's kind of confusing because there's so many things you have to collect and that's the main reason I can't give the game a perfect 5-star rating. TOO MUCH! In Mega Man Legends you will find SO many weapons and SO many upgrades that it can easily confuse someone (like me) who's normally not exposed to this much activity in a video game.You have to find a little dancing monkey to save your game. When you're lost, he can also help you by telling you where to go, unfortunately many times he doesn't provide enough information. So you can be left wandering around for hours until you finally have no choice but to find a strategy guide on the internet to help you out.The music in the game is nice. It's usually played quietly which is odd because most Mega Man music is RIGHT in your face. If you can actually hear the music, it's pretty much what you'd expect from a Mega Man game.Listen to those sound effects!! Sound familiar? Think South Park! One of the children (or pirates) sounds JUST like Butters, and a newswoman who appears later in the game sounds like Kyle's mom! Some of the animation looks like South Park, too. When did South Park come out? 1997? Hmmm, makes you wonder...Once again, the graphics. They aren't as bad as I thought they'd be. Sort of blocky, of course (since this IS Playstation ONE we're talking about here) but I can't bring myself to really hate the graphics because there's a certain mysterious charm about them. Mega Man Legends LOOKS like a children's game but it's not, really. Most children wouldn't be able to complete the game because some boss strategies require careful timing and it would be difficult for a child.The play control... goodness. It's definitely not easy to figure out at first. To make Mega Man walk straight, you have to hold down the L and R buttons (this rotates the direction Mega Man is facing) while at the same time you have to use the up, down, left and right buttons to make Mega Man walk forward. So, because you have to do a lot of running in Mega Man Legends, when an enemy is chasing you and RIGHT behind you, you have to turn around, use the L and R buttons to face him, and THEN hit him. In the middle of hitting the L and R buttons will probably be the time you take the most hits. It may take a few hours to properly pull off but you *should* become better at it with practice.A trick to help you: when an enemy is chasing you, run as far away from him as possible and THEN turn around. Usually the enemy will be far enough away that you will have time to control Mega Man so he's facing the enemy directly. Then, simply wait for the enemy to get close and fire away! I wouldn't blame you if you couldn't figure out the controls- it's not the greatest way to control a character. I'm not sure if Capcom improved the play control in Mega Man Legends 2.I find it funny and insulting that when you find a hole in a wall, many times a *very* small amount of money will be located there. Small enough to not be able to afford ANYTHING. It's funny because Capcom made it like wow, you found money! only to insult you with sofa cushion money. To find a LOT of money you have to run around shooting enemies.Just running around shooting enemies and collecting zenny (money) is a lot of fun, not to mention addicting. A pretty good game worth picking up.",4,Mega Man in 3D,1153094400,"07 17, 2006",0.1206
1,A34J6E4NHBS7W9,B000006OVJ,Cregg Lee,"[0, 0]","Looking anywhere else people will charge more than $80 for an old wonderful game like this. Classic games like these are hard to come by, wish I had traded in LESS of my games when I was young.",5,Classic game,1397001600,"04 9, 2014",0.6605
2,A3S7W9UNOYD1N1,B000006OVJ,D,"[0, 0]","Megaman legends is capcoms answer to bringing Megaman into the 3d realm on the original playstation. However this game is extremly diffrent then any other megaman game out there. In fact it has a lot in common with zelda: ocarina of time and a few rpg elements such as final fantasy while still somewhat feeling like a Megaman game. Coming from the NES and SNES Megamans I never thought I would ever compare zelda and megaman together but surprisingly it works well. Its not the greatest game or even the greatest megaman game ever but it is really fun in its own way.Most people do not like the graphics in this game but i think there done really well. The only problem graghicly is due to the early psx hardware most 3d games looked blocky and pixely at the time and this on tries to smooth things out kinda cel shadish but not quite this leads to some blockeness but its still better then most 1998 and before graphics. Kinda a 3d playable anime style to it. The sound isn't to bad in this game. Voice acting can be really good or painfully bad andThe music is catchy maybe not as much as the nes megamans but still good. However there is moments without any music. Technically speaking I would say the game has aged well.The thing I find most memorable about this game is the gameplay. Like I mentioned earlier this game takes megaman into zelda like enviorments with a few rpgs elements. There is a open world which was decent in size for its time, which the game takes place in a small town. There are dungeons to explore which you do so in order to find upgrades to your equipment. Speaking of which you can purchase and find diffrent armor and weopens with diffrent specs (attack, fire rate, etc) in a rpg like menu. With that being said it still manages to feel like a megaman game. There is plenty of missions of which you are running and gunning while jumping on platforms. The bosses while set up like zelda can be taken down easier by weopens you find around in dungeons.As for the story it isn't to bad. It is a little childish but its still pretty good. The characters while the voice acting can be off at times can be good are very memorable. Tron Bonne makes her debut here as a villian who became popular enough to get her own game misadventures of tron bonne and a apperance in marvel vs. capcom 2 and appearing without megaman in the 3rd. There is also a N64 port of this game which isnt as good but if you dont have a psx its still playable plus a sequel. Anyway while the hardcore 8bit megaman players may be turned off by this i would still recomend getting this game",5,MegaMan: ocarina of final fantasy,1392854400,"02 20, 2014",0.2786
3,AVGEP46YTOH9Q,B000006OVJ,Happosai Happy,"[0, 0]",This game was very good. The first 3D megaman game to be released.,5,Good Game,1174003200,"03 16, 2007",0.2464
4,A3DWKWSY4D8LWI,B000006OVJ,Jantzen S. Gambill,"[0, 0]",I remember playing this when I was 12. The story was great and I played it through more times than I can remember.,5,Love This Game,1361836800,"02 26, 2013",0.4801
5,A2GW1DBM406VU1,B000006OVJ,Jarrett P. Suhr naraku junior,"[0, 0]","This was a very chanllenging game for me it. Took me about three months to beat the even old original 64 verison way back in mid 2000 I think it was when back when I was about and was midway through my final and last growth ssuppert. I belive I later when I was about 14 got the newer playstation version. I unfortunatley due to a couple years lack of experience had to use the invulerability and zeeny to comple in a lower completion time of about maybe 10 to 40 hours compared to the original completer time of about maybe 30 to 80 hours maybe more or less. This game will be fun once you get used to some changes. One megaman like in the later games of the original series was original drastically increased in size at a huge height of abou 4 to 6 six feet tall and abhout probaly weighs about 130 to maybe 350 pounds witrh his armor on this is the biggest mega man ever made. Once you learn how to concort the stroneger boss with high atatck strenght and to dog them this may be a piece of cake. To beat Jungo increas e every thing one the midssle launcher to max this will give you infinite ammo. With this one the ammo update to unlimited if you pay up enough zeeny You cane beat juno easily. Just hold down the button the missle will shot of function like heat seakers. As long as you have infinite health slash cantina points one you can sit there turning your missle into the ultimate automatic fire weapon. Pushbed the out fire down and keep shooting them of at rapid speed. Even if you get hit you should be able to take this boss down and complety both parts of the battle in about maybe 45 second 20 minutes maybeless. This is a fun games I hope you enjopy it even though roll is now longer robotic, and Rusha and Beta no longer exist. If you like this and want a really challange to test your patience and enduranc eplay the insanly hard megaman legends 2 also avilable in playstation format.",4,some weird changes but interesting,1186790400,"08 11, 2007",0.1216
6,AMZCQIDUWDHLC,B000006OVJ,John. N,"[10, 11]","To me, Mega Man Legends is one of those games you'll remember years after playing it. The game itself doesn't break any new ground and has its share of flaws, but the overall experience is definitely rewarding.Mega Man Legends pretty much plays like the earlier Tomb Raider games control wise. Unfortunately, there are a few problems with the control scheme, such as a lock on system that doesn't allow you to move while locked on an enemy (which was fixed in MML2), and the fact you also must contend with moving the camera manually in order to compensate for the lack of a better lock on system to hit your mark.Legends also uses a pretty similar graphic engine as Tomb Raider as well, complete with all the flat, 2D scenery that rotates with the camera and all the pixilated surfaces and clipping problems that accompanied that era of Playstation gaming. Unlike Tomb Raider, the environments in Mega Man Legends are much brighter and colorful, adding to the games cartoon-like feel, rather than the dark, dank death-trap ridden tombs that Lara Croft raids.The pretty low difficulty level of the game is also an important factor to look at as well. Considering this game is somewhat geared towards an younger audience, this isn't an error so to speak, but older, more experienced players will fly through the game in a handful of hours (especially considering most of the game bosses can be defeated by constantly circling around them and firing). Thankfully, Capcom added an unlockable difficulty setting to make the game harder for those looking for an additional challenge (oh and is it ever a challenge). Add to this Capcom increased the difficulty on Mega Man Legends 2 a few notches, and all can be forgiven here.So with all these problems, why is Legends such a good game? Heart, and lots of it. Mix in a good story, a wonderful cast of characters (and enemies), and throw in some of Capcom's more respectable forays in voice acting department, and you got a winner. While some may claim that Legends carries a kiddy tone, I actually find this to be one of the game's charms and strengths. Honestly, if you don't laugh when one of the Lego Men, err, I mean Servebots messes up and angers Tron, there is something wrong. Seriously, it isn't anymore kiddy than a Mario or Zelda game (or most of Nintendo's gaming library for that matter).The other thing that makes the Legends series so great is the fact Capcom decided to quit while they were ahead. While I myself still wish they would churn out a Mega Man Legends 3 (considering some of the unresolved issues in Mega Man Legends 2's ending), at least Capcom didn't make a zillion sequels and drain the series of all it's fun and respectability, of which they have done a fine job of doing to the original series and X series.In the end, Mega Man Legends is not a game you'll remember for amazing graphics, razor-sharp control, or challenging quests. Instead, you'll walk away with a overall memorable experience.",4,A good game with lots of heart...,1118275200,"06 9, 2005",0.2418
7,AQ0IPFCF1UM92,B000006OVJ,Kevin M.,"[0, 0]","Well as far as the person who sold this to me goes, the game came as described and in a well timed manner and I would shop here again. However, the game itself is just not as fun as I remembered.",3,Hmm,1390608000,"01 25, 2014",0.0458
8,A2W6SI073FIRMA,B000006OVJ,KlownArt,"[1, 1]","Megaman LegendsThis is my undisputed favorite game of all time. I bought it in 1998 or so because I had played and lovedMega Man 3for theNintendo NES System - Video Game Consolewhen I was young. This game was nothing like that game or any other Megaman games. It was in 3-D and had a story that would blow your mind. I have played through this game around 50 times and no every single part of it by heart.Graphics- 7/10The transition to 3-D for Megaman isn't an ugly one, but a decent one. Most of the trees have a 2-D look to them and a lot of characters are blocky. Still, you can tell what everything is easily and there is no slowdown at all. Not to mention, there is hardly any load time to wait through in this game.Story- 10/10You are Megaman Volnutt. Roll Casket and her Grandpa, Barrel Casket, have raised you since they found you when you were a child. Following Barrel's footsteps, Megaman and Roll become Diggers. Diggers are people who search through ruins, infested with Reaverbots, to find parts and other things. The main thing a lot of Diggers are looking for are Refractors, which are extremely powerful crystal-like objects that power society. The world is almost entirely ocean so people must use flying machines or boats to get around. Megaman, Roll, and Barrel crash-land their flying ship, The Flutter, on an island called Kattelox. You go on to discover the island's many secrets and fight off the treasure hungry pirates.Sound- 7/10The music and sound effects in this game are decent. Nothing will blow your mind away but nothing will annoy you to death. Some tunes even become catchy, like the Apple Market tune.Gameplay- 10/10You play as Megaman: exploring ruins, fighting pirates, and just helping people out. There are a lot of side quests you can do. You can join a secret gang, fill a museum with underground arts, help a little girl recover, play in game shows, and so much more. The main storyline has you exploring the Sub-Gate ruins in hopes to learn more about the Island's great treasure, or disaster. While in Sub-Gates you can find all kinds of items to do things with. It's not just in the Sub-Gates either; you can search in other digging sites for parts. You have a primary weapon called a Buster Gun, which can be upgraded with 2 buster parts initially. These buster parts can be bought or found and change different aspects of your Buster Gun's shooting. You have a secondary special weapon that can be equipped and upgraded as well. You will get many different special weapons in the game and one of the most fun parts of the game is upgraded your weapons to perfect ability.Difficulty- 4/10 (Note- This is how much I like the difficulty)Since this game is more story based, the difficulty is slight. There is hardly a time where you feel that you are going to die, minus a few bosses. Once you beat the original game, you can go back and play it on a new Hard Mode option. The game is still not that much more difficult but some of the bosses will give you more trouble. Also, to top it off, the game isn't that long. Even the player who likes to talk to every single person and gets lost often can still beat this game in less then 15 hours. That includes the main storyline and all side quests, minus special weapon upgrading. I can now beat the game on Hard Mode in around 5 hours.Overall- 10/10Despite the game being easy and not having the best graphics or sound, it's still 5 stars. The game's storyline and gameplay is so good that the rest doesn't even matter. You'll still find yourself going back and playing this game over and over again.",5,My Favorite Game or All Time,1209859200,"05 4, 2008",0.0601
9,A1TFN5GG54MAI5,B000006OVJ,Lyver5,"[0, 1]",Mega Man Legends is a great new series for mega man. The story takes him to an island searching for energy crystals on his dig adventures. Game play is fun and easy to learn. The game has plenty of secret goodies for you too discovery adding hours of replay value. easy and fun to play but not easy enough that you'll only spend oh...one week or so one it. Loads of fun a most have for hardcore mega man and new mega man fans of all ages!!!,4,Legends is loads of fun,996624000,"08 1, 2001",0.4432
