,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1FHRRXCD3U8GP,B00000IZS1,C. YARBROUGH,"[1, 1]","I love the three person tag teams, the trios run togeather, but you can tag the next leader by pushing circle. Every character on each team has their own special moves, but the teams are all pretty well balanced, they all have a fast hero, a strong hero, and a hero that can fly.The grapics are great, fast and great! It has a great third person view, the camera is behind and above the team, you can move to either side, you can jump up, you can fall down, it's just a great 3D game!It's soo easy and plays smoth, my only complaint is it that it is too fast in some places, like in the giant loops I easily lose track of the Sonic, with him moveing from side to side he will run off a cliff and I won't notice it until he is dead",4,I Love This Game! The Best Sonic Game Yet!,1080172800,"03 25, 2004",0.7393
1,A7CKXET12XIAV,B00000IZS1,Daniel,"[0, 0]","Sonic Heroes! Sonic freaking Heroes. Gosh I love this game, I remember loving it as a kid and I still love it now that I'm older and playing it again. I like having four different unique teams and stories to play and the play style is a lot of fun too. You should definitely get this game if you are a fan of Sonic!",5,sjfdhsjkdfa,1394150400,"03 7, 2014",0.6256
2,AIS2BDHLILDK6,B00000IZS1,darrenandrita,"[0, 0]",Who does not love someSonic. Our six year old reallywanted this game and only played it afew times. Will pick another game toplay instead. All personal preference.,5,Sonic,1316649600,"09 22, 2011",-0.0454
3,A2WD3G8KAUD4YZ,B00000IZS1,Dean Bielanowski OnlineToolReviews.com,"[0, 0]",The kids love it. A 3D twist to the classic sonic series. Some interesting gaming inclusions that often catch you off guard.Recommended.,5,Great family game,1180915200,"06 4, 2007",0.3463
4,A66XWTJLHVJQH,B00000IZS1,Espio,"[1, 1]","I have heard many negative things about this game, but I had to try it for myself.I got hooked on it the minute I started playing.The story may be a little sketchy, but it is the gameplay that matters the most right? You still get the same high good-looking jumps and loop-de-loops,but the actual fighting is one of the best parts.You get excellent combo moves and on Team Dark and Sonic a nicely well-done finisher attack.All four teams have a finisher attack,but half of them are stupid. What really caught my eye is the two player battle mode.There is something about knocking a team off a cliff is entertaining to me. I also agreed with some of the other people.Team Rose is corny,and falling off a cliff is way too easy,but over all,this is one of the best and most original games I have ever played.",5,Still going strong,1084233600,"05 11, 2004",0.3391
5,A2290OIJTU42QP,B00000IZS1,Female Spy,"[3, 3]","Sonic Heroes is a lovely platformer. Lately I have been hearing people saying terrible things about this game, as well as other 3D Sonic platformers. Here is my message for them: WHAT'S WRONG WITH YOU PEOPLE?! It's true that Sega hasn't exactly perfected the camera system for this game as well as the other Sonic 3D games, but please give Sega some credit for this good platformer. To start with the good in this game, and there is a lot of it, the voice overs are totally sweet. I normally don't pay much attention to the voices of the characters, as they little interest me, but this game struck a cord there. Each voice, matches his or her corresponding character's personality, species, and gender perfectly! There is no question about it. The graphics are good, regardless of the very occasional jerky camera, and the video clips and the stories are also some of the best I have seen. How each story begins, collides with other stories, and ends is masterpiece, and unlike many other games, once you finish a story, you can watch all of the movie clips of that story in the options menu! The music totally rocks, especially the team themes, and the levels all have a good moral lesson for kids: that you need to work with others as a team! Speaking of team, this game is very team oriented, the teams are:Team Rose: which consists of Amy Rose, Cream the Rabbit (and, as always, accompanied by Cheese the chao), and Big the Cat. This team has adventures that are beginner difficulty. This is good for young children, and getting beginners used to the game. You may also enjoy this team's cuteness.Team Sonic: this consists of Sonic the Hedgehog, Miles Tails Prower, and Knuckles the Echidna. This team has a journey that is a little harder, normal difficulty to be exact. This is good for those who want a little more of a challenge, and enjoy the light bantering of this somewhat humorous team.Team Chaotix: the members of this group include Espio the Chameleon, Charmy the Bee, and Vector the Crocodile (who is apparently The Head Honcho). This team's adventures have been dubbed dubious. The difficulty, in my opinion, varies from easy to hard. If you like detectives, mystery, and treasure hunting, this team is for you. Most of their missions consist of finding a certain amount of something (five keys for example). Not all of them, but most of them. My last comment on them is: this is easily the most comical team in the game. I have been set off laughing by a comment from these dudes several times. You should have fun with them.Team Dark: this team has Shadow the Hedgehog, Rouge the Bat, and Omega (who is an ex-eggman robot). The mercenaries of this team are shrouded in mystery. First off, I must comment that it's like a soap opera for children, that they brought Shadow back from his presumed death, and with amnesia included. This team has hard difficulty, and often makes you go farther in the levels than you would normally have to with other teams. This group would be extremely boring if it wasn't for Rouge. Shadow and Omega take things very seriously, which makes Rouges role the person who lightens things up. It's an interesting contrast of personalities.So, like I stated earlier, I believe it is good for children to see teams of all kinds. This basically teaches them you can team up with others, no matter how different they are, and work together on a task to make it easier. Moving on, Sega also brings the special stages to 3D. That's right, rather than collecting the emeralds in the storyline (like with the Sonic Adventure series) you actually have to collect a key, hightail it out of the level without getting hit, and complete a special stage in order to get a chaos emerald. Oh, and true to form, the last special stage is once again the hardest. There is also the Last Story that I will not go into detail here, but trust me, get all seven chaos emeralds and access it. It is definitely worthwhile. The only flaws I have to list for you is these:1. Because of all of the team action, each individual lost something move wise. I am talking about things like Knuckles' gliding and climbing abilities as well as Sonic's somersaulting. Big no longer fishes like he did in Sonic Adventure, and the flight characters (Tails, Cream, Charmy, and Rouge) cannot fly as long or fast as they originally could. Which sadly makes sense, seeing as those little things are carrying all of the weight of the rest of their teams. Their cool team moves make up for most of the lost abilities, but you still have to miss Knuckles' climbing skills in those tight situations.2. The flight members each have a special attack that they can do alone, but there is little point to them having it, seeing as they are almost never alone. So your stuck just doing thundershoot. While powerful, I do believe flying characters lack variety in their abilities.3. The camera doesn't operate 100% smoothly. It is slightly better than Sonic Adventure 2:Battle, and doesn't matter much anyway however.4. There isn't enough variety in the chaotix missions. It's always either find a certain amount of something, sneak past someone, or get from point A to point B before time runs out. I guess it would be difficult to make it more than that, but still, the missions lack that investigative thing that detectives do.5. There is no water to swim in. This isn't exactly a huge problem, but I did enjoy confronting and swimming in bodies of water the other games throw at you. Here, the only water you get is Seaside Hill and it behaves more like a bottomless pit. It would have been interesting to see how each team adapted to a swimming pool, and maybe see what funny thing Sonic would have to say.6. Finally, the zones are not as expansive. It just puts you on one path and makes you go forward. The advantage with this is that you can never get lost, but it loses that go wherever you want to charm.That's it. The 2 player mode is also great for those who are interested, and Omochao (a robotic chao) can colorfully guide you through the menus. This game is well thought, well planned, and well designed. There is even a zone for pinball fans in Casinopolis so this game has something for absolutely everyone. GET THIS GAME! Trust me, you will get hours of enjoyment from it.",5,Sonic Heroes come to the Rescue! (by Laura),1176163200,"04 10, 2007",0.2067
6,A2QS6Y2IWZNQZK,B00000IZS1,J. Wood,"[3, 4]","This title marks Sonic's first launch on more than one platform...three to be exact. Finally a Sonic title is available on, not only Game Cube, but PlayStation 2 and XBox as well. The Story: Dr. Eggman has devised a new plan to take over the world, a newly reincarnated, and upgrated, Metal Sonic. That's right, Sonic's old rival from Sonic CD is back and ready for all new mayhem. It will take more than one hero to foil Eggman this time, It'll take twelve. But when Metal Sonic gets enough power to change into the all mighty Metal Overlord, will Sonic and his friends be enough to stop him? Heroes features a uniqe team based gameplay which includes four teams of three including: Team Sonic (Sonic, Tails and Knuckles), Team Rose (Amy, Big and new comers Cream and Cheese), Team Chaotix (Vector, Espio and Charmy), and Team Dark (Shadow, Rouge and new comer E-123 OMEGA). To add to the fun, each team has their own themed challenge i.e. Rose is easy, Sonic is medium, Dark is Hard and Chaotix is mission based. Also each member has their own affiliation: speed, flight and power. The game will tell you where you will need to use each character's uniqe skills. Overall, it's a bit challenging for a Sonic title, but it's worth checking out.",4,Sonic Goes Multi Platform!!,1139702400,"02 12, 2006",0.2915
7,A3MAT1NQF6UC4O,B00000IZS1,Kayla,"[0, 0]","I was hoping this was a racing game, but it's an adventure game, so I am not very happy with it at this time.",2,Not what I thought it was,1390435200,"01 23, 2014",-0.121
8,A2M9TD6DDMPH01,B00000IZS1,Kristina A. Mayfield,"[0, 0]","This is a very fun game for kids and kid-like adults (like me) who are kind of nostalgic about the good old days playing Sega Genesis and NES, and watching AoStH and Sonic SatAm. This has some old (speed and loop-de-loops) and some new. Graphics are ok. I expect Sonic to be cartoony and I don't understand people who complain about it.I really enjoy the teams feature although I tend to abuse the power characters (ie. Knuckles, Mr. Big the Cat, Omega, and Vector). Each team has 3 members each attributed with either speed, power, or flight. Typically you will be required to use them all in each level. Also certain teams are easier to play than others with Team Rose the easiest.Here is a quick breakdown of the teams:Team Sonic: Sonic, Knuckles, and Tails. Sonic is the speed character, Knuckles is power, and Tails is flight.Team Dark: Shadow (speed), Rouge (flight), and Omega (power).Team Chaotix: Vector (power), Charmy (flight), and Espio (speed).Team Rose: Amy Rose (speed), Cream and Cheese (flight), and Mr. Big (power).",5,Great for kids,1302393600,"04 10, 2011",0.1241
9,A1EYCR72FHJL7T,B00000IZS1,MAMA LO,"[0, 0]","I was hesitant about buying yet another Sonic game. However, my grandson absolutely loves this game, and honestly I enjoy playing it with him too. It is very entertaining.",5,My Grandson Loves It,1369526400,"05 26, 2013",0.3809
